Date,rate_HSY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.4555,-3.7423
2016-03,4.1513,0.3764
2016-04,4.8028,5.1946
2016-05,2.9139,3.5695
2016-06,2.8309,4.8356
2016-07,23.1954,4.3651
2016-08,18.7326,7.2005
2016-09,5.1153,6.5176
2016-10,0.3976,5.8316
2016-11,7.0552,2.6321
2016-12,1.0923,6.5262
2017-01,8.4923,8.6002
2017-02,9.5933,9.8701
2017-03,13.9751,14.9815
2017-04,12.8812,12.5254
2017-05,9.8131,13.1716
2017-06,18.8091,14.581
2017-07,9.1666,14.626
2017-08,6.938,16.4591
2017-09,7.2075,15.9061
2017-10,10.461,17.2911
2017-11,7.5229,19.4181
2017-12,12.1488,21.7575
2018-01,14.1519,22.6249
2018-02,3.8357,28.3844
2018-03,-1.6253,21.0506
2018-04,-0.402,18.8566
2018-05,-8.0813,18.843
2018-06,-8.4663,22.0592
2018-07,-5.077,20.962
2018-08,-1.371,24.4135
2018-09,3.4851,27.7869
2018-10,4.5276,28.1445
2018-11,10.2458,19.3954
2018-12,11.6731,19.8359
2019-01,10.1939,8.7501
2019-02,7.4544,17.203
2019-03,15.6207,21.2677
2019-04,16.8697,23.6016
2019-05,25.7333,25.5902
2019-06,35.0386,17.8911
2019-07,36.5301,26.7327
2019-08,53.3038,25.8061
2019-09,59.673,24.2046
2019-10,54.7571,24.595
2019-11,41.8457,29.5299
2019-12,46.7295,32.3145
2020-01,44.5923,35.5516
2020-02,51.6863,34.7733
2020-03,40.5467,23.2161
2020-04,27.7822,2.6957
2020-05,28.0965,17.923
2020-06,32.0524,27.1545
2020-07,25.3763,29.2791
2020-08,39.5913,35.3897
2020-09,42.5253,45.4969
2020-10,37.4877,38.8421
2020-11,30.6884,33.8054
2020-12,42.8404,49.4413
2021-01,44.2931,52.4925
2021-02,36.7608,52.5474
2021-03,36.9958,57.1165
2021-04,49.1553,62.2404
2021-05,53.5636,68.0147
2021-06,61.2479,67.9506
2021-07,61.2926,71.7835
2021-08,65.159,73.9065
2021-09,64.4205,78.108
2021-10,56.6598,70.559
2021-11,59.4079,79.7147
2021-12,60.1411,74.8714
2022-01,75.6053,83.8439
2022-02,76.6074,74.2485
2022-03,84.5687,64.4857
2022-04,95.8945,72.8765
2022-05,100.859,56.3809
2022-06,86.1318,54.7432
2022-07,95.0052,43.9638
2022-08,101.5008,54.5402
2022-09,99.199,48.4061
2022-10,91.8041,33.808
2022-11,105.6373,43.6413
2022-12,100.1998,51.6237
2023-01,98.7388,42.3283
2023-02,92.2264,52.4008
2023-03,101.6616,45.8599
2023-04,115.5374,52.4428
2023-05,132.6977,54.1535
2023-06,118.1089,55.8684
2023-07,108.4788,63.7729
2023-08,91.4217,67.9151
2023-09,77.587,65.3142
2023-10,65.3695,56.4671
2023-11,54.6073,54.158
2023-12,57.5753,66.8181
2024-01,53.242,72.7134
2024-02,62.5117,77.0248
2024-03,57.8756,84.7703
2024-04,65.8336,89.0895
2024-05,61.3671,80.3005
2024-06,65.3231,89.1407
2024-07,51.8778,96.817
2024-08,65.6185,94.9948
2024-09,62.9617,101.4737
2024-10,61.3065,104.2286
2024-11,50.211,104.0979
2024-12,48.2706,114.1559
2025-01,42.1313,108.1307
2025-02,24.9204,112.719
2025-03,48.8713,109.0154
2025-04,45.77,97.097
2025-05,43.2266,95.2965
2025-06,40.8518,105.2137
2025-07,53.7083,114.7559
2025-08,64.7458,115.142
2025-09,63.1878,122.2543
2025-10,67.1399,129.8729
2025-11,49.6334,133.4127
2025-12,64.0112,131.7276
2026-01,60.7376,131.8756
2026-02,107.3346,131.1612
