Date,rate_XBI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-17.0145,-1.8027
2016-03,-6.1168,4.5695
2016-04,-1.1589,3.6217
2016-05,6.5709,4.6859
2016-06,-1.7049,4.2011
2016-07,12.475,7.3141
2016-08,7.1003,6.5393
2016-09,17.2166,5.8417
2016-10,-2.1491,3.4057
2016-11,9.2606,7.0013
2016-12,2.6896,8.6582
2017-01,12.3211,9.9058
2017-02,20.5364,13.4199
2017-03,17.5761,12.5861
2017-04,19.995,12.9516
2017-05,12.5742,13.7442
2017-06,27.8456,14.6714
2017-07,27.9946,16.2352
2017-08,35.8058,15.7466
2017-09,38.4262,17.3266
2017-10,32.0577,19.2474
2017-11,30.0224,22.0133
2017-12,31.3568,22.6523
2018-01,43.0906,28.4864
2018-02,36.873,22.6807
2018-03,31.6062,18.8927
2018-04,29.3628,18.6249
2018-05,39.6378,20.8091
2018-06,39.0079,20.9812
2018-07,37.8938,24.5763
2018-08,43.6487,27.7899
2018-09,36.2702,27.6747
2018-10,11.6327,18.1983
2018-11,14.7047,19.8597
2018-12,0.4636,8.8011
2019-01,17.0089,17.1215
2019-02,24.2611,20.4441
2019-03,25.502,22.1999
2019-04,17.5115,26.5012
2019-05,9.2205,17.9266
2019-06,20.323,25.7011
2019-07,17.0638,26.9004
2019-08,9.4535,24.2426
2019-09,3.6492,26.142
2019-10,10.9131,28.3311
2019-11,26.8943,32.3256
2019-12,28.3018,35.5485
2020-01,19.6927,34.7719
2020-02,19.379,23.2511
2020-03,3.3686,7.5779
2020-04,24.6727,21.2186
2020-05,37.769,26.5774
2020-06,48.1527,28.3766
2020-07,43.8245,35.3325
2020-08,46.2835,44.0777
2020-09,45.013,37.914
2020-10,45.9478,33.7633
2020-11,71.4509,47.7098
2020-12,80.165,52.3667
2021-01,94.2036,49.9654
2021-02,86.4796,53.2453
2021-03,69.639,60.4049
2021-04,69.7392,67.83
2021-05,58.1537,67.8968
2021-06,66.2382,70.6358
2021-07,50.5918,73.7106
2021-08,61.2886,77.7187
2021-09,51.7803,68.3779
2021-10,49.9552,79.119
2021-11,38.9978,76.6949
2021-12,33.3777,83.6042
2022-01,10.9382,72.9303
2022-02,6.5084,66.8181
2022-03,6.4916,72.1992
2022-04,-12.6072,56.2223
2022-05,-18.4249,55.8933
2022-06,-11.6486,42.4002
2022-07,-3.3847,54.8512
2022-08,-0.2573,47.8158
2022-09,-5.4939,33.7039
2022-10,-2.0585,44.0824
2022-11,-0.2936,51.4429
2022-12,-1.0207,42.1877
2023-01,6.0157,50.5828
2023-02,-1.2617,46.2373
2023-03,-9.15,52.2586
2023-04,-4.2899,54.0684
2023-05,0.1678,54.1996
2023-06,-0.708,63.548
2023-07,0.5993,68.1942
2023-08,-5.4636,64.7317
2023-09,-12.7993,56.2636
2023-10,-20.7751,52.2886
2023-11,-9.4579,65.5989
2023-12,7.1046,72.448
2024-01,4.8051,74.4576
2024-02,17.8819,82.7177
2024-03,13.4552,89.0282
2024-04,1.0799,80.6052
2024-05,6.4159,88.8335
2024-06,10.7579,96.0415
2024-07,18.2201,97.3583
2024-08,20.6675,101.128
2024-09,17.5467,105.7758
2024-10,15.2884,102.865
2024-11,18.1938,113.7798
2024-12,6.7126,107.7813
2025-01,9.7375,112.3595
2025-02,4.9689,108.6721
2025-03,-4.0639,96.0839
2025-04,-1.8066,93.6359
2025-05,-6.2313,104.9003
2025-06,-1.7511,114.5225
2025-07,1.4935,118.4064
2025-08,6.4338,121.8959
2025-09,18.613,128.6764
2025-10,33.2133,133.0211
2025-11,45.2458,132.409
2025-12,43.9238,131.4906
2026-01,46.8767,133.7386
2026-02,49.5655,130.7823
2026-03,49.5837,117.6098
2026-04,53.3794,139.3863
2026-05,59.1923,150.8374
2026-06,83.9184,146.5232
2026-07,70.2581,145.3136
2026-08,75.3249,152.1156
