Date,rate_MSTR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.5807,-1.8027
2016-03,4.2868,4.5695
2016-04,2.5702,3.6217
2016-05,6.1569,4.6859
2016-06,-1.3334,4.2011
2016-07,-0.9985,7.3141
2016-08,-5.2516,6.5393
2016-09,-4.333,5.8417
2016-10,11.7832,3.4057
2016-11,10.2588,7.0013
2016-12,11.4076,8.6582
2017-01,12.711,9.9058
2017-02,6.7427,13.4199
2017-03,3.9737,12.5861
2017-04,5.0318,12.9516
2017-05,0.4034,13.7442
2017-06,5.3858,14.6714
2017-07,-26.1853,16.2352
2017-08,-28.0107,15.7466
2017-09,-27.3905,17.3266
2017-10,-23.5189,19.2474
2017-11,-19.9402,22.0133
2017-12,-22.281,22.6523
2018-01,-17.5473,28.4864
2018-02,-22.7839,22.6807
2018-03,-21.2007,18.8927
2018-04,-21.3856,18.6249
2018-05,-19.4271,20.8091
2018-06,-19.9397,20.9812
2018-07,-17.783,24.5763
2018-08,-5.3147,27.7899
2018-09,-10.4814,27.6747
2018-10,-19.4384,18.1983
2018-11,-16.515,19.8597
2018-12,-17.2785,8.8011
2019-01,-17.3707,17.1215
2019-02,-7.3869,20.4441
2019-03,-5.4009,22.1999
2019-04,-1.7459,26.5012
2019-05,-12.5812,17.9266
2019-06,-5.4276,25.7011
2019-07,-9.5923,26.9004
2019-08,-5.0106,24.2426
2019-09,-1.5318,26.142
2019-10,1.7682,28.3311
2019-11,-0.2114,32.3256
2019-12,-5.3131,35.5485
2020-01,1.0358,34.7719
2020-02,-10.1798,23.2511
2020-03,-21.3268,7.5779
2020-04,-15.3268,21.2186
2020-05,-16.2238,26.5774
2020-06,-20.0719,28.3766
2020-07,-15.8823,35.3325
2020-08,-1.6414,44.0777
2020-09,2.4975,37.914
2020-10,13.6969,33.7633
2020-11,132.6727,47.7098
2020-12,161.3379,52.3667
2021-01,310.9122,49.9654
2021-02,393.334,53.2453
2021-03,340.5741,60.4049
2021-04,321.3246,67.83
2021-05,197.8369,67.8968
2021-06,316.7602,70.6358
2021-07,288.205,73.7106
2021-08,325.8345,77.7187
2021-09,250.8333,68.3779
2021-10,329.1632,79.119
2021-11,328.2684,76.6949
2021-12,219.8392,83.6042
2022-01,114.1792,72.9303
2022-02,155.9197,66.8181
2022-03,178.5821,72.1992
2022-04,101.1895,56.2223
2022-05,49.4063,55.8933
2022-06,-7.5214,42.4002
2022-07,61.0643,54.8512
2022-08,29.8207,47.8158
2022-09,18.7274,33.7039
2022-10,49.3177,44.0824
2022-11,10.1967,51.4429
2022-12,-21.3055,42.1877
2023-01,40.2849,50.5828
2023-02,45.5928,46.2373
2023-03,61.6987,52.2586
2023-04,80.8429,54.0684
2023-05,65.3566,54.1996
2023-06,86.8853,63.548
2023-07,137.7307,68.1942
2023-08,92.913,64.7317
2023-09,76.2409,56.2636
2023-10,126.2226,52.2886
2023-11,164.6514,65.5989
2023-12,233.1767,72.448
2024-01,162.5025,74.4576
2024-02,432.1937,82.7177
2024-03,779.4478,89.0282
2024-04,444.7023,80.6052
2024-05,673.3866,88.8335
2024-06,592.8618,96.0415
2024-07,705.2957,97.3583
2024-08,555.044,101.128
2024-09,727.2466,105.7758
2024-10,1089.6799,102.865
2024-11,1769.1477,113.7798
2024-12,1284.9895,107.7813
2025-01,1487.3229,112.3595
2025-02,1100.8097,108.6721
2025-03,1243.9683,96.0839
2025-04,1657.3279,93.6359
2025-05,1592.0033,104.9003
2025-06,1737.9384,114.5225
2025-07,1712.1942,118.4064
2025-08,1395.8607,121.8959
2025-09,1329.8018,128.6764
2025-10,1086.5219,133.0211
2025-11,674.0876,132.409
2025-12,559.0849,131.4906
2026-01,544.8195,133.7386
2026-02,453.9311,130.7823
2026-03,487.7502,126.4154
