Date,rate_SYM_5D,rate_VOO_20D
2021-03,0.0,0.0
2021-04,-1.5618,4.4138
2021-05,2.9984,6.4324
2021-06,-3.8665,4.8692
2021-07,-2.6304,6.6466
2021-08,-3.3083,7.2686
2021-09,-3.468,9.2863
2021-10,-2.6877,4.0323
2021-11,0.5368,9.7219
2021-12,-0.0338,6.3684
2022-01,-0.0404,11.8118
2022-02,-1.3452,5.6103
2022-03,-0.9413,-0.1805
2022-04,-0.7764,5.4702
2022-05,-0.6279,-4.4226
2022-06,-8.1084,-4.6913
2022-07,19.7975,-10.6576
2022-08,86.0718,-3.0517
2022-09,19.3659,-6.3283
2022-10,10.8246,-14.9035
2022-11,15.3607,-7.5697
2022-12,3.5718,-1.697
2023-01,13.5836,-7.2789
2023-02,44.5006,-0.0322
2023-03,49.6483,-3.9407
2023-04,110.5192,0.9207
2023-05,141.7558,2.4147
2023-06,216.8083,3.8707
2023-07,268.9606,9.4258
2023-08,384.0298,12.3381
2023-09,242.8879,10.6772
2023-10,167.1925,4.8712
2023-11,158.8301,3.5689
2023-12,336.2766,12.3704
2024-01,285.7967,16.4483
2024-02,244.4488,19.3895
2024-03,195.1783,24.6021
2024-04,221.8441,27.4228
2024-05,167.1843,21.3821
2024-06,170.764,27.3177
2024-07,138.9475,32.3841
2024-08,63.3888,30.9998
2024-09,26.2918,35.2214
2024-10,55.9848,36.895
2024-11,84.6394,36.6256
2024-12,72.8602,43.1854
2025-01,50.9632,38.9287
2025-02,85.5285,41.8193
2025-03,42.1125,39.163
2025-04,30.0505,31.0886
2025-05,36.4464,29.8447
2025-06,76.6397,36.411
2025-07,142.4313,42.6614
2025-08,207.2299,42.7736
2025-09,182.9854,47.3537
2025-10,242.569,52.2287
2025-11,371.2594,54.3637
2025-12,389.7183,53.0363
2026-01,236.909,52.9424
2026-02,112.9253,75.936
