Date,rate_FTNT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.4618,-0.6039
2016-03,5.872,5.2168
2016-04,10.3572,3.9893
2016-05,13.6171,4.6886
2016-06,2.6145,4.1237
2016-07,12.147,7.1795
2016-08,15.1274,6.3603
2016-09,15.7154,5.6281
2016-10,-0.9469,3.196
2016-11,-6.8822,6.7601
2016-12,-5.9885,8.3626
2017-01,3.8083,10.2536
2017-02,16.2372,13.6522
2017-03,18.1293,12.7005
2017-04,18.8843,12.9818
2017-05,18.6747,13.693
2017-06,11.8887,13.5288
2017-07,9.672,15.0481
2017-08,12.9668,14.5515
2017-09,5.3445,16.1037
2017-10,15.4581,17.9557
2017-11,22.5261,20.6805
2017-12,26.2203,21.3029
2018-01,33.0088,28.0338
2018-02,44.2905,22.1441
2018-03,51.3615,18.3021
2018-04,54.4158,18.0902
2018-05,68.3728,20.2208
2018-06,69.2547,20.3415
2018-07,68.0508,23.8746
2018-08,120.5841,27.0072
2018-09,142.9938,27.7347
2018-10,112.2996,18.1437
2018-11,87.5407,19.7418
2018-12,76.2889,8.5778
2019-01,91.6538,17.1263
2019-02,114.0584,20.3748
2019-03,103.932,22.0514
2019-04,123.608,26.2651
2019-05,70.9254,17.5943
2019-06,79.3045,25.308
2019-07,85.2737,26.4355
2019-08,80.5931,23.7232
2019-09,75.0743,26.1617
2019-10,84.0534,28.2707
2019-11,134.31,32.1761
2019-12,134.8307,35.3247
2020-01,153.7467,35.2749
2020-02,121.3769,23.5454
2020-03,116.5986,7.7105
2020-04,127.9679,21.425
2020-05,191.0888,26.7132
2020-06,183.0399,28.4357
2020-07,181.3608,35.3124
2020-08,165.0945,43.9511
2020-09,133.7037,37.6938
2020-10,116.4935,33.4637
2020-11,139.2454,47.2943
2020-12,185.2518,51.8455
2021-01,177.9928,50.305
2021-02,220.4326,53.4604
2021-03,245.6187,59.4101
2021-04,277.9411,66.6882
2021-05,299.2922,66.6274
2021-06,329.682,69.2184
2021-07,384.7815,72.1455
2021-08,453.774,75.992
2021-09,406.4292,66.6118
2021-10,475.768,77.1553
2021-11,461.2365,74.6519
2021-12,499.8179,81.397
2022-01,389.9059,70.7122
2022-02,461.0443,64.6001
2022-03,449.8138,69.8532
2022-04,359.4812,54.0273
2022-05,362.3869,53.6333
2022-06,339.8271,40.2902
2022-07,358.6867,52.5094
2022-08,270.3856,45.531
2022-09,270.0426,31.5965
2022-10,326.2688,41.7445
2022-11,292.4598,48.9584
2022-12,257.3934,39.838
2023-01,282.6098,48.5632
2023-02,330.364,44.2258
2023-03,376.5281,48.9578
2023-04,347.6114,50.6836
2023-05,380.4414,50.7741
2023-06,426.3362,59.884
2023-07,435.8958,64.3798
2023-08,311.1491,60.953
2023-09,297.1157,52.6248
2023-10,283.5267,48.7132
2023-11,249.6003,61.6976
2023-12,286.1414,68.3392
2024-01,325.4571,71.0275
2024-02,351.9733,79.0476
2024-03,342.8506,83.99
2024-04,306.1126,75.7344
2024-05,278.1661,83.6813
2024-06,281.1865,89.2836
2024-07,264.2052,90.5002
2024-08,377.6793,94.0822
2024-09,382.9095,98.2932
2024-10,385.7843,95.412
2024-11,482.1845,105.8418
2024-12,473.7953,99.9875
2025-01,512.6589,105.351
2025-02,550.4065,101.7087
2025-03,474.7634,89.4719
2025-04,514.4664,87.0451
2025-05,497.7864,97.8575
2025-06,515.8933,107.0685
2025-07,477.3266,110.7404
2025-08,351.6549,114.0337
2025-09,382.0989,121.6081
2025-10,391.8497,125.7153
2025-11,358.2392,125.0226
2025-12,345.2669,124.0393
2026-01,355.6389,127.2713
2026-02,80.0641,125.3185
