Date,rate_OKE_5D,rate_VOO_20D
2016-01,0.6825,-3.28
2016-02,-0.2034,-1.8027
2016-03,23.8123,4.5695
2016-04,46.2949,3.6217
2016-05,63.872,4.6859
2016-06,67.867,4.2011
2016-07,49.2816,7.3141
2016-08,52.3269,6.5393
2016-09,60.4259,5.8417
2016-10,47.3479,3.4057
2016-11,62.159,7.0013
2016-12,64.1237,8.6582
2017-01,54.5246,9.9058
2017-02,47.9107,13.4199
2017-03,48.2625,12.5861
2017-04,39.4593,12.9516
2017-05,29.4606,13.7442
2017-06,34.1036,14.6714
2017-07,43.4729,16.2352
2017-08,37.1305,15.7466
2017-09,38.4237,17.3266
2017-10,33.8686,19.2474
2017-11,32.047,22.0133
2017-12,34.5633,22.6523
2018-01,52.388,28.4864
2018-02,43.7772,22.6807
2018-03,43.6305,18.8927
2018-04,56.244,18.6249
2018-05,74.5733,20.8091
2018-06,76.2797,20.9812
2018-07,75.336,24.5763
2018-08,68.0422,27.7899
2018-09,70.7028,27.6747
2018-10,63.1392,18.1983
2018-11,57.4275,19.8597
2018-12,36.8769,8.8011
2019-01,68.1883,17.1215
2019-02,66.3869,20.4441
2019-03,78.9018,22.1999
2019-04,78.6445,26.5012
2019-05,65.5599,17.9266
2019-06,77.3693,25.7011
2019-07,78.7817,26.9004
2019-08,82.2348,24.2426
2019-09,86.4997,26.142
2019-10,74.9823,28.3311
2019-11,83.2654,32.3256
2019-12,93.3169,35.5485
2020-01,96.4782,34.7719
2020-02,73.3842,23.2511
2020-03,-43.676,7.5779
2020-04,-13.845,21.2186
2020-05,6.6844,26.5774
2020-06,-3.5658,28.3766
2020-07,-16.1439,35.3325
2020-08,-11.6263,44.0777
2020-09,-16.2007,37.914
2020-10,-0.0654,33.7633
2020-11,27.2459,47.7098
2020-12,35.6251,52.3667
2021-01,49.9964,49.9654
2021-02,65.8085,53.2453
2021-03,88.3179,60.4049
2021-04,103.4547,67.83
2021-05,103.3945,67.8968
2021-06,112.8885,70.6358
2021-07,104.3443,73.7106
2021-08,108.4747,77.7187
2021-09,128.4544,68.3779
2021-10,159.5186,79.119
2021-11,141.8931,76.6949
2021-12,135.623,83.6042
2022-01,152.5486,72.9303
2022-02,169.28,66.8181
2022-03,188.8435,72.1992
2022-04,164.3382,56.2223
2022-05,176.5102,55.8933
2022-06,131.1428,42.4002
2022-07,158.5633,54.8512
2022-08,163.1026,47.8158
2022-09,118.5379,33.7039
2022-10,155.2632,44.0824
2022-11,185.7672,51.4429
2022-12,178.3849,42.1877
2023-01,200.0152,50.5828
2023-02,184.5569,46.2373
2023-03,174.1862,52.2586
2023-04,192.4812,54.0684
2023-05,151.4958,54.1996
2023-06,172.1052,63.548
2023-07,197.6722,68.1942
2023-08,187.4459,64.7317
2023-09,177.6805,56.2636
2023-10,187.6324,52.2886
2023-11,201.693,65.5989
2023-12,205.5352,72.448
2024-01,199.1841,74.4576
2024-02,227.028,82.7177
2024-03,246.5568,89.0282
2024-04,243.8394,80.6052
2024-05,249.6849,88.8335
2024-06,249.594,96.0415
2024-07,254.7433,97.3583
2024-08,295.1619,101.128
2024-09,287.1274,105.7758
2024-10,308.6543,102.865
2024-11,389.2264,113.7798
2024-12,329.2087,107.7813
2025-01,312.4831,112.3595
2025-02,327.5541,108.6721
2025-03,319.6522,96.0839
2025-04,245.1589,93.6359
2025-05,241.7931,104.9003
2025-06,242.9859,114.5225
2025-07,242.8832,118.4064
2025-08,229.8248,121.8959
2025-09,213.221,128.6764
2025-10,185.9453,133.0211
2025-11,213.4463,132.409
2025-12,214.5117,131.4906
2026-01,236.9379,133.7386
2026-02,254.6591,130.7823
2026-03,266.8504,129.7769
