Date,rate_PSKY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.4724,-0.6039
2016-03,12.8494,5.2168
2016-04,11.0965,3.9893
2016-05,7.1965,4.6886
2016-06,4.7542,4.1237
2016-07,-0.3215,7.1795
2016-08,-2.5757,6.3603
2016-09,4.8333,5.6281
2016-10,7.8337,3.196
2016-11,14.9579,6.7601
2016-12,19.4403,8.3626
2017-01,21.0643,10.2536
2017-02,22.0307,13.6522
2017-03,26.8711,12.7005
2017-04,20.0552,12.9818
2017-05,9.0543,13.693
2017-06,13.4805,13.5288
2017-07,16.2795,15.0481
2017-08,12.284,14.5515
2017-09,1.3905,16.1037
2017-10,-2.0245,17.9557
2017-11,-2.0659,20.6805
2017-12,3.3648,21.3029
2018-01,0.9414,28.0338
2018-02,-7.3196,22.1441
2018-03,-9.4373,18.3021
2018-04,-12.9145,18.0902
2018-05,-10.4049,20.2208
2018-06,0.7446,20.3415
2018-07,-5.637,23.8746
2018-08,-4.8305,27.0072
2018-09,3.4368,27.7347
2018-10,3.237,18.1437
2018-11,-2.6364,19.7418
2018-12,-21.0074,8.5778
2019-01,-10.6928,17.1263
2019-02,-9.0513,20.3748
2019-03,-13.3761,22.0514
2019-04,-6.2275,26.2651
2019-05,-11.536,17.5943
2019-06,-7.9372,25.308
2019-07,-4.8123,26.4355
2019-08,-22.1427,23.7232
2019-09,-24.9362,26.1617
2019-10,-32.4388,28.2707
2019-11,-23.5083,32.1761
2019-12,-19.4532,35.3247
2020-01,-34.4039,35.2749
2020-02,-52.0703,23.5454
2020-03,-71.5479,7.7105
2020-04,-62.7334,21.425
2020-05,-53.5103,26.7132
2020-06,-46.0249,28.4357
2020-07,-38.6634,35.3124
2020-08,-33.6321,43.9511
2020-09,-32.0095,37.6938
2020-10,-30.006,33.4637
2020-11,-12.9684,47.2943
2020-12,-7.3071,51.8455
2021-01,20.4599,50.305
2021-02,59.4118,53.4604
2021-03,11.2852,59.4101
2021-04,1.05,66.6882
2021-05,4.5313,66.6274
2021-06,11.8715,69.2184
2021-07,1.128,72.1455
2021-08,2.3888,75.992
2021-09,-1.8514,66.6118
2021-10,-10.0214,77.1553
2021-11,-23.017,74.6519
2021-12,-23.9303,81.397
2022-01,-15.4482,70.7122
2022-02,-22.429,64.6001
2022-03,-3.2754,69.8532
2022-04,-25.457,54.0273
2022-05,-11.765,53.6333
2022-06,-35.7631,40.2902
2022-07,-38.0164,52.5094
2022-08,-38.218,45.531
2022-09,-48.6537,31.5965
2022-10,-50.036,41.7445
2022-11,-44.5861,48.9584
2022-12,-52.2688,39.838
2023-01,-34.7663,48.5632
2023-02,-39.3544,44.2258
2023-03,-35.656,48.9578
2023-04,-32.2112,50.6836
2023-05,-55.5437,50.7741
2023-06,-52.811,59.884
2023-07,-51.8504,64.3798
2023-08,-54.1004,60.953
2023-09,-60.1161,52.6248
2023-10,-65.7524,48.7132
2023-11,-53.7657,61.6976
2023-12,-51.8954,68.3392
2024-01,-52.5458,71.0275
2024-02,-63.6508,79.0476
2024-03,-60.4896,83.99
2024-04,-61.1251,75.7344
2024-05,-58.7419,83.6813
2024-06,-63.525,89.2836
2024-07,-59.1445,90.5002
2024-08,-61.9498,94.0822
2024-09,-61.4048,98.2932
2024-10,-59.5864,95.412
2024-11,-59.3182,105.8418
2024-12,-60.2133,99.9875
2025-01,-58.616,105.351
2025-02,-56.1628,101.7087
2025-03,-53.2569,89.4719
2025-04,-53.585,87.0451
2025-05,-51.6177,97.8575
2025-06,-47.8766,107.0685
2025-07,-48.7845,110.7404
2025-08,-39.6072,114.0337
2025-09,-22.2731,121.6081
2025-10,-36.6058,125.7153
2025-11,-33.6618,125.0226
2025-12,-44.2385,124.0393
2026-01,-53.3513,127.2713
2026-02,-66.3125,125.3185
