Date,rate_IP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.4286,-0.6039
2016-03,17.8945,5.2168
2016-04,19.4651,3.9893
2016-05,13.6104,4.6886
2016-06,11.8535,4.1237
2016-07,18.8463,7.1795
2016-08,24.4164,6.3603
2016-09,20.3093,5.6281
2016-10,11.0028,3.196
2016-11,20.2779,6.7601
2016-12,28.874,8.3626
2017-01,37.4502,10.2536
2017-02,26.3823,13.6522
2017-03,19.7941,12.7005
2017-04,25.9507,12.9818
2017-05,22.8759,13.693
2017-06,29.928,13.5288
2017-07,24.5159,15.0481
2017-08,21.7184,14.5515
2017-09,27.0821,16.1037
2017-10,26.7181,17.9557
2017-11,25.0418,20.6805
2017-12,26.9356,21.3029
2018-01,37.7123,28.0338
2018-02,30.1456,22.1441
2018-03,15.6946,18.3021
2018-04,11.2153,18.0902
2018-05,15.9973,20.2208
2018-06,12.2079,20.3415
2018-07,15.3365,23.8746
2018-08,10.3711,27.0072
2018-09,6.1185,27.7347
2018-10,-2.3177,18.1437
2018-11,0.5514,19.7418
2018-12,-12.2465,8.5778
2019-01,3.1116,17.1263
2019-02,0.6636,20.3748
2019-03,1.5774,22.0514
2019-04,2.6232,26.2651
2019-05,-8.0183,17.5943
2019-06,-3.7606,25.308
2019-07,-2.3912,26.4355
2019-08,-11.865,23.7232
2019-09,-5.812,26.1617
2019-10,-1.3449,28.2707
2019-11,5.8214,32.1761
2019-12,5.0152,35.3247
2020-01,-7.1337,35.2749
2020-02,-14.4272,23.5454
2020-03,-27.7526,7.7105
2020-04,-19.7867,21.425
2020-05,-18.6185,26.7132
2020-06,-15.5286,28.4357
2020-07,-16.2099,35.3124
2020-08,-11.1185,43.9511
2020-09,-0.5497,37.6938
2020-10,7.3535,33.4637
2020-11,22.4339,47.2943
2020-12,22.5718,51.8455
2021-01,24.0255,50.305
2021-02,23.2375,53.4604
2021-03,33.6023,59.4101
2021-04,42.6604,66.6882
2021-05,55.6168,66.6274
2021-06,50.2428,69.2184
2021-07,40.7473,72.1455
2021-08,46.9721,75.992
2021-09,36.0661,66.6118
2021-10,27.0782,77.1553
2021-11,17.264,74.6519
2021-12,20.759,81.397
2022-01,23.6989,70.7122
2022-02,12.4664,64.6001
2022-03,19.1817,69.8532
2022-04,19.2269,54.0273
2022-05,25.7002,53.6333
2022-06,8.252,40.2902
2022-07,10.555,52.5094
2022-08,8.6291,45.531
2022-09,-17.3402,31.5965
2022-10,-12.159,41.7445
2022-11,-1.6046,48.9584
2022-12,-8.2109,39.838
2023-01,10.8379,48.5632
2023-02,-2.4263,44.2258
2023-03,-3.3128,48.9578
2023-04,-11.1837,50.6836
2023-05,-19.668,50.7741
2023-06,-12.932,59.884
2023-07,-1.1413,64.3798
2023-08,-2.9858,60.953
2023-09,-1.4534,52.6248
2023-10,-6.2759,48.7132
2023-11,4.0072,61.6976
2023-12,1.7121,68.3392
2024-01,0.8121,71.0275
2024-02,0.8256,79.0476
2024-03,11.2608,83.99
2024-04,-0.4854,75.7344
2024-05,29.7276,83.6813
2024-06,23.8069,89.2836
2024-07,33.0767,90.5002
2024-08,39.58,94.0822
2024-09,40.8075,98.2932
2024-10,59.5732,95.412
2024-11,69.6902,105.8418
2024-12,54.5962,99.9875
2025-01,59.7935,105.351
2025-02,62.5649,101.7087
2025-03,53.3493,89.4719
2025-04,30.8489,87.0451
2025-05,37.9923,97.8575
2025-06,34.8205,107.0685
2025-07,34.1723,110.7404
2025-08,43.5911,114.0337
2025-09,34.2009,121.6081
2025-10,11.4874,125.7153
2025-11,15.1753,125.0226
2025-12,14.7779,124.0393
2026-01,17.487,127.2713
2026-02,58.521,125.3185
