Date,rate_CPAY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-13.5047,-3.7423
2016-03,3.0028,0.3764
2016-04,12.6299,5.1946
2016-05,13.8948,3.5695
2016-06,7.7489,4.8356
2016-07,1.2827,4.3651
2016-08,7.8548,7.2005
2016-09,17.6371,6.5176
2016-10,19.8467,5.8316
2016-11,17.1398,2.6321
2016-12,-2.6388,6.5262
2017-01,-5.0766,8.6002
2017-02,-1.4478,9.8701
2017-03,11.0588,14.9815
2017-04,1.3959,12.5254
2017-05,-0.8717,13.1716
2017-06,-1.2145,14.581
2017-07,-3.4229,14.626
2017-08,3.4544,16.4591
2017-09,-3.6084,15.9061
2017-10,3.8381,17.2911
2017-11,10.0487,19.4181
2017-12,20.6342,21.7575
2018-01,27.4463,22.6249
2018-02,38.7012,28.3844
2018-03,29.7395,21.0506
2018-04,30.4053,18.8566
2018-05,34.3288,18.843
2018-06,27.0209,22.0592
2018-07,32.3825,20.962
2018-08,36.0607,24.4135
2018-09,32.1545,27.7869
2018-10,38.7259,28.1445
2018-11,21.6368,19.3954
2018-12,17.1159,19.8359
2019-01,12.0059,8.7501
2019-02,22.0637,17.203
2019-03,39.6376,21.2677
2019-04,47.9637,23.6016
2019-05,51.7767,25.5902
2019-06,50.8854,17.8911
2019-07,64.1396,26.7327
2019-08,61.7439,25.8061
2019-09,69.904,24.2046
2019-10,59.6714,24.595
2019-11,64.7064,29.5299
2019-12,70.3082,32.3145
2020-01,58.2791,35.5516
2020-02,72.1075,34.7733
2020-03,43.8968,23.2161
2020-04,-6.7821,2.6957
2020-05,25.4696,17.923
2020-06,32.2878,27.1545
2020-07,36.1021,29.2791
2020-08,37.5072,35.3897
2020-09,32.2951,45.4969
2020-10,24.9768,38.8421
2020-11,16.001,33.8054
2020-12,40.0095,49.4413
2021-01,42.245,52.4925
2021-02,29.5867,52.5474
2021-03,46.0263,57.1165
2021-04,43.7512,62.2404
2021-05,47.2735,68.0147
2021-06,40.881,67.9506
2021-07,30.0727,71.7835
2021-08,30.4865,73.9065
2021-09,32.8769,78.108
2021-10,33.824,70.559
2021-11,25.1,79.7147
2021-12,0.1221,74.8714
2022-01,11.5901,83.8439
2022-02,19.8181,74.2485
2022-03,12.3072,64.4857
2022-04,23.7919,72.8765
2022-05,23.4379,56.3809
2022-06,19.7766,54.7432
2022-07,5.3251,43.9638
2022-08,9.4984,54.5402
2022-09,4.0204,48.4061
2022-10,-13.4431,33.808
2022-11,-8.1265,43.6413
2022-12,-3.2795,51.6237
2023-01,-9.453,42.3283
2023-02,5.8093,52.4008
2023-03,5.3066,45.8599
2023-04,3.9381,52.4428
2023-05,5.3901,54.1535
2023-06,12.2768,55.8684
2023-07,23.4909,63.7729
2023-08,23.2219,67.9151
2023-09,33.6459,65.3142
2023-10,24.7251,56.4671
2023-11,11.4271,54.158
2023-12,22.5191,66.8181
2024-01,37.3387,72.7134
2024-02,42.7388,77.0248
2024-03,33.6298,84.7703
2024-04,47.4083,89.0895
2024-05,42.298,80.3005
2024-06,28.1909,89.1407
2024-07,27.2397,96.817
2024-08,35.8633,94.9948
2024-09,50.0967,101.4737
2024-10,49.2868,104.2286
2024-11,55.892,104.0979
2024-12,79.5684,114.1559
2025-01,58.7699,108.1307
2025-02,77.8998,112.719
2025-03,70.9318,109.0154
2025-04,63.3048,97.097
2025-05,49.1737,95.2965
2025-06,49.8717,105.2137
2025-07,55.7488,114.7559
2025-08,44.9764,115.142
2025-09,48.824,122.2543
2025-10,30.5153,129.8729
2025-11,18.4041,133.4127
2025-12,34.5631,131.7276
2026-01,36.3862,131.8756
2026-02,23.1894,120.852
