Date,rate_ADA-USD_5D,rate_VOO_20D
2017-11,0.0,0.0
2017-12,1295.3043,3.7241
2018-01,594.9982,9.5581
2018-02,232.3147,3.7524
2018-03,42.9053,-0.0356
2018-04,200.0475,-0.3034
2018-05,77.7157,1.8808
2018-06,2.8297,2.0529
2018-07,6.3319,5.648
2018-08,-24.4681,8.8616
2018-09,-35.4905,8.7465
2018-10,-44.7229,-0.7299
2018-11,-67.2444,0.9314
2018-12,-60.838,-10.1272
2019-01,-59.8228,-1.8067
2019-02,-50.7165,1.5158
2019-03,-15.5611,3.2716
2019-04,-14.1636,7.573
2019-05,10.1859,-1.0016
2019-06,0.6252,6.7728
2019-07,-26.3402,7.9722
2019-08,-43.9124,5.3144
2019-09,-49.8219,7.2137
2019-10,-44.0125,9.4029
2019-11,-43.9937,13.3973
2019-12,-53.0357,16.6203
2020-01,-20.0403,15.8436
2020-02,-28.8186,4.3228
2020-03,-53.5022,-11.3504
2020-04,-24.4992,2.2903
2020-05,18.1663,7.6491
2020-06,31.1554,9.4484
2020-07,116.7004,16.4043
2020-08,88.4397,25.1495
2020-09,53.1089,18.9858
2020-10,39.7128,14.8351
2020-11,154.879,28.7815
2020-12,165.8416,33.4384
2021-01,397.4485,31.0371
2021-02,1747.3116,34.3171
2021-03,1546.3504,41.4766
2021-04,1724.2448,48.9017
2021-05,2199.0361,48.9685
2021-06,1685.4021,51.7075
2021-07,1570.7983,54.7824
2021-08,3331.3642,58.7905
2021-09,2462.8705,49.4496
2021-10,2233.9559,60.1907
2021-11,1710.7916,57.7666
2021-12,1397.0212,64.6759
2022-01,1080.2854,54.002
2022-02,957.5647,47.8898
2022-03,1136.6042,53.271
2022-04,705.5106,37.2941
2022-05,554.9746,36.965
2022-06,373.5854,23.4719
2022-07,426.2743,35.9229
2022-08,348.3326,28.8875
2022-09,330.2577,14.7756
2022-10,297.3212,25.1541
2022-11,208.0207,32.5146
2022-12,135.5174,23.2595
2023-01,270.0564,31.6546
2023-02,229.8213,27.309
2023-03,269.2531,33.3304
2023-04,263.7906,35.1402
2023-05,239.1123,35.2714
2023-06,157.2661,44.6198
2023-07,173.1957,49.2659
2023-08,124.8455,45.8035
2023-09,121.9303,37.3353
2023-10,154.0117,33.3604
2023-11,222.9414,46.6707
2023-12,405.6306,53.5197
2024-01,319.4134,55.5293
2024-02,446.3066,63.7894
2024-03,436.0952,70.0999
2024-04,259.6095,61.6769
2024-05,261.6706,69.9052
2024-06,214.1375,77.1132
2024-07,208.7467,78.4301
2024-08,172.0026,82.1998
2024-09,191.7528,86.8475
2024-10,165.2124,83.9368
2024-11,730.5629,94.8516
2024-12,542.844,88.853
2025-01,610.7786,93.4313
2025-02,372.9548,89.7438
2025-03,389.74,77.1556
2025-04,400.4107,74.7076
2025-05,398.9874,85.9721
2025-06,312.51,95.5942
2025-07,429.2979,99.4781
2025-08,475.3161,102.9676
2025-09,467.4052,109.7481
2025-10,324.5097,114.0929
2025-11,187.5628,113.4807
2025-12,128.6867,112.5623
2026-01,118.2351,114.8103
2026-02,88.2562,111.8541
2026-03,89.1208,108.8099
