Date,rate_OKTA_5D,rate_VOO_20D
2017-04,0.0,0.0
2017-05,6.5696,2.1713
2017-06,-7.8644,3.0984
2017-07,-9.3831,4.6623
2017-08,12.8085,4.1737
2017-09,15.9287,5.7536
2017-10,16.5033,7.6744
2017-11,15.5637,10.4403
2017-12,-0.0153,11.0794
2018-01,14.9622,16.9134
2018-02,48.6264,11.1077
2018-03,49.792,7.3197
2018-04,56.7772,7.0519
2018-05,100.2838,9.2361
2018-06,73.4184,9.4082
2018-07,66.4222,13.0033
2018-08,102.0011,16.217
2018-09,123.3934,16.1018
2018-10,79.844,6.6254
2018-11,91.6228,8.2867
2018-12,87.7004,-2.7718
2019-01,137.3174,5.5486
2019-02,138.1587,8.8711
2019-03,126.4546,10.6269
2019-04,178.2379,14.9283
2019-05,195.4195,6.3537
2019-06,214.3639,14.1281
2019-07,224.9085,15.3275
2019-08,206.6174,12.6697
2019-09,133.3687,14.5691
2019-10,153.5402,16.7582
2019-11,195.8657,20.7526
2019-12,157.792,23.9756
2020-01,180.935,23.1989
2020-02,175.7868,11.6781
2020-03,158.6432,-3.9951
2020-04,214.7699,9.6456
2020-05,299.5877,15.0044
2020-06,301.0998,16.8037
2020-07,334.1876,23.7596
2020-08,315.2269,32.5048
2020-09,304.7613,26.3411
2020-10,290.1405,22.1904
2020-11,347.8845,36.1368
2020-12,356.7804,40.7937
2021-01,357.409,38.3924
2021-02,353.9891,41.6724
2021-03,276.554,48.8319
2021-04,353.6692,56.2571
2021-05,268.4281,56.3238
2021-06,299.4836,59.0628
2021-07,298.7546,62.1377
2021-08,318.1751,66.1458
2021-09,271.2308,56.8049
2021-10,281.4655,67.546
2021-11,227.8081,65.1219
2021-12,237.4033,72.0313
2022-01,194.2524,61.3573
2022-02,168.8141,55.2451
2022-03,119.6576,60.6263
2022-04,72.1137,44.6494
2022-05,19.0754,44.3203
2022-06,29.244,30.8272
2022-07,40.146,43.2782
2022-08,29.5487,36.2428
2022-09,-19.1279,22.1309
2022-10,-19.9103,32.5094
2022-11,-23.5928,39.8699
2022-12,-2.0662,30.6148
2023-01,5.5212,39.0099
2023-02,2.0803,34.6643
2023-03,23.4145,40.6857
2023-04,-2.1613,42.4955
2023-05,29.7583,42.6267
2023-06,-1.0519,51.9751
2023-07,9.6637,56.6212
2023-08,19.0149,53.1588
2023-09,15.8893,44.6906
2023-10,-4.3017,40.7157
2023-11,-4.7813,54.026
2023-12,28.4418,60.875
2024-01,16.9572,62.8846
2024-02,51.4976,71.1447
2024-03,47.1071,77.4552
2024-04,30.2826,69.0322
2024-05,23.9258,77.2605
2024-06,30.5187,84.4685
2024-07,30.6195,85.7854
2024-08,9.2353,89.5551
2024-09,3.0549,94.2028
2024-10,-0.3439,91.2921
2024-11,7.4865,102.2069
2024-12,9.1206,96.2083
2025-01,30.3327,100.7866
2025-02,24.8739,97.0991
2025-03,44.8685,84.5109
2025-04,53.927,82.0629
2025-05,41.0962,93.3274
2025-06,36.3207,102.9496
2025-07,33.0226,106.8334
2025-08,25.9042,110.3229
2025-09,24.2026,117.1034
2025-10,23.7381,121.4482
2025-11,8.4114,120.836
2025-12,16.5963,119.9176
2026-01,13.7626,122.1656
2026-02,-2.4663,119.2094
2026-03,5.8998,106.0368
2026-04,-0.9557,127.8133
2026-05,65.6539,139.2645
2026-06,82.5791,134.9502
2026-07,89.112,133.7407
2026-08,99.459,140.3436
