Date,rate_LII_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.1822,-1.8027
2016-03,9.1655,4.5695
2016-04,6.2916,3.6217
2016-05,6.8583,4.6859
2016-06,9.9974,4.2011
2016-07,19.3106,7.3141
2016-08,20.0743,6.5393
2016-09,15.1228,5.8417
2016-10,5.5887,3.4057
2016-11,7.1769,7.0013
2016-12,10.1148,8.6582
2017-01,11.9122,9.9058
2017-02,16.5643,13.4199
2017-03,17.5222,12.5861
2017-04,15.1019,12.9516
2017-05,22.2343,13.7442
2017-06,25.7582,14.6714
2017-07,15.8866,16.2352
2017-08,11.5585,15.7466
2017-09,20.1682,17.3266
2017-10,27.3209,19.2474
2017-11,38.3785,22.0133
2017-12,36.1766,22.6523
2018-01,40.944,28.4864
2018-02,30.9621,22.6807
2018-03,30.7736,18.8927
2018-04,23.0316,18.6249
2018-05,28.4439,20.8091
2018-06,25.9059,20.9812
2018-07,35.6099,24.5763
2018-08,38.091,27.7899
2018-09,34.6293,27.6747
2018-10,29.0617,18.1983
2018-11,37.3031,19.8597
2018-12,33.1892,8.8011
2019-01,38.5709,17.1215
2019-02,47.0908,20.4441
2019-03,58.3597,22.1999
2019-04,61.0245,26.5012
2019-05,55.2849,17.9266
2019-06,60.7423,25.7011
2019-07,48.5726,26.9004
2019-08,45.9438,24.2426
2019-09,39.2111,26.142
2019-10,40.8993,28.3311
2019-11,44.8048,32.3256
2019-12,37.6451,35.5485
2020-01,30.7309,34.7719
2020-02,27.4097,23.2511
2020-03,1.5855,7.5779
2020-04,4.3626,21.2186
2020-05,19.4294,26.5774
2020-06,30.1051,28.3766
2020-07,49.0647,35.3325
2020-08,54.9146,44.0777
2020-09,50.1137,37.914
2020-10,48.7177,33.7633
2020-11,56.6624,47.7098
2020-12,48.6457,52.3667
2021-01,48.6654,49.9654
2021-02,50.1229,53.2453
2021-03,66.6944,60.4049
2021-04,78.2083,67.83
2021-05,84.6817,67.8968
2021-06,84.3381,70.6358
2021-07,71.9755,73.7106
2021-08,73.8935,77.7187
2021-09,52.1983,68.3779
2021-10,54.0569,79.119
2021-11,58.2597,76.6949
2021-12,65.7456,83.6042
2022-01,44.1955,72.9303
2022-02,35.1972,66.8181
2022-03,30.6171,72.1992
2022-04,7.6737,56.2223
2022-05,5.4122,55.8933
2022-06,4.7265,42.4002
2022-07,21.2623,54.8512
2022-08,21.8035,47.8158
2022-09,12.6579,33.7039
2022-10,17.9935,44.0824
2022-11,31.2965,51.4429
2022-12,20.8019,42.1877
2023-01,31.302,50.5828
2023-02,28.0011,46.2373
2023-03,26.4462,52.2586
2023-04,41.4949,54.0684
2023-05,37.8342,54.1996
2023-06,63.0957,63.548
2023-07,82.9506,68.1942
2023-08,87.2024,64.7317
2023-09,85.0705,56.2636
2023-10,82.2486,52.2886
2023-11,98.9979,65.5989
2023-12,118.3419,72.448
2024-01,107.7409,74.4576
2024-02,127.3831,82.7177
2024-03,135.0224,89.0282
2024-04,121.5983,80.6052
2024-05,139.0388,88.8335
2024-06,154.607,96.0415
2024-07,176.1001,97.3583
2024-08,177.5643,101.128
2024-09,182.9897,105.7758
2024-10,180.4844,102.865
2024-11,208.6033,113.7798
2024-12,180.6407,107.7813
2025-01,171.7783,112.3595
2025-02,174.1471,108.6721
2025-03,154.3522,96.0839
2025-04,147.1524,93.6359
2025-05,153.7638,104.9003
2025-06,156.92,114.5225
2025-07,171.4094,118.4064
2025-08,147.3185,121.8959
2025-09,134.0867,128.6764
2025-10,122.2366,133.0211
2025-11,118.5252,132.409
2025-12,112.3275,131.4906
2026-01,116.0979,133.7386
2026-02,147.6061,130.7823
2026-03,119.9509,126.4154
