Date,rate_SMR_5D,rate_VOO_20D
2022-03,0.0,0.0
2022-04,-7.4619,-7.2408
2022-05,-2.4915,-7.5699
2022-06,0.6353,-21.063
2022-07,42.4194,-8.612
2022-08,28.6731,-15.6474
2022-09,6.8126,-29.7593
2022-10,2.336,-19.3808
2022-11,-1.3758,-12.0203
2022-12,-7.0303,-21.2755
2023-01,-2.7475,-12.8803
2023-02,-5.6396,-17.2259
2023-03,-16.6567,-11.2045
2023-04,-17.5099,-9.3947
2023-05,-29.0271,-9.2635
2023-06,-34.0641,0.0849
2023-07,-24.2787,4.731
2023-08,-39.2301,1.2686
2023-09,-48.6036,-7.1996
2023-10,-62.8327,-11.1745
2023-11,-66.7292,2.1358
2023-12,-57.3801,8.9848
2024-01,-60.3566,10.9944
2024-02,-55.0619,19.2545
2024-03,-20.0257,25.565
2024-04,-11.7579,17.142
2024-05,33.4866,25.3703
2024-06,77.1029,32.5783
2024-07,52.7316,33.8952
2024-08,21.9251,37.6649
2024-09,70.5169,42.3126
2024-10,177.9962,39.4019
2024-11,322.2471,50.3167
2024-12,149.6544,44.3181
2025-01,226.2105,48.8964
2025-02,130.7245,45.2089
2025-03,87.1708,32.6207
2025-04,116.2211,30.1727
2025-05,311.4066,41.4372
2025-06,399.0981,51.0593
2025-07,521.3732,54.9432
2025-08,320.5047,58.4327
2025-09,329.1381,65.2132
2025-10,425.4597,69.558
2025-11,130.0552,68.9458
2025-12,61.1856,68.0274
2026-01,97.2023,70.2754
2026-02,43.5142,67.3192
2026-03,20.3356,54.1466
2026-04,37.9663,75.9231
2026-05,39.5849,87.3742
2026-06,9.8928,83.06
2026-07,-7.9045,81.8505
2026-08,0.5582,89.2248
