Date,rate_APTV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.3491,-0.6039
2016-03,11.3085,5.2168
2016-04,6.7939,3.9893
2016-05,-2.3516,4.6886
2016-06,-9.5304,4.1237
2016-07,-0.8474,7.1795
2016-08,3.7602,6.3603
2016-09,4.3089,5.6281
2016-10,-5.2196,3.196
2016-11,-5.9429,6.7601
2016-12,-0.7934,8.3626
2017-01,3.1818,10.2536
2017-02,12.104,13.6522
2017-03,17.4848,12.7005
2017-04,16.3444,12.9818
2017-05,26.5644,13.693
2017-06,24.4346,13.5288
2017-07,26.9214,15.0481
2017-08,34.1983,14.5515
2017-09,35.1363,16.1037
2017-10,34.691,17.9557
2017-11,40.5538,20.6805
2017-12,34.231,21.3029
2018-01,50.0925,28.0338
2018-02,42.7418,22.1441
2018-03,31.3621,18.3021
2018-04,29.6965,18.0902
2018-05,48.5334,20.2208
2018-06,37.8926,20.3415
2018-07,46.1421,23.8746
2018-08,29.839,27.0072
2018-09,23.7836,27.7347
2018-10,12.5947,18.1437
2018-11,5.0085,19.7418
2018-12,-10.2942,8.5778
2019-01,15.2476,17.1263
2019-02,20.9167,20.3748
2019-03,15.0269,22.0514
2019-04,23.4282,26.2651
2019-05,-7.8631,17.5943
2019-06,16.3724,25.308
2019-07,25.7192,26.4355
2019-08,19.1031,23.7232
2019-09,25.17,26.1617
2019-10,27.6498,28.2707
2019-11,33.3518,32.1761
2019-12,34.0844,35.3247
2020-01,19.714,35.2749
2020-02,10.1335,23.5454
2020-03,-30.7771,7.7105
2020-04,-1.0847,21.425
2020-05,7.3049,26.7132
2020-06,10.759,28.4357
2020-07,10.3546,35.3124
2020-08,21.9259,43.9511
2020-09,29.3023,37.6938
2020-10,35.4292,33.4637
2020-11,65.6935,47.2943
2020-12,80.4488,51.8455
2021-01,85.0276,50.305
2021-02,105.6706,53.4604
2021-03,87.4868,59.4101
2021-04,93.9792,66.6882
2021-05,101.0811,66.6274
2021-06,108.4612,69.2184
2021-07,119.1309,72.1455
2021-08,98.1064,75.992
2021-09,92.3696,66.6118
2021-10,121.4939,77.1553
2021-11,103.6564,74.6519
2021-12,107.8528,81.397
2022-01,70.7388,70.7122
2022-02,60.7737,64.6001
2022-03,47.9876,69.8532
2022-04,30.9348,54.0273
2022-05,30.2563,53.6333
2022-06,8.8404,40.2902
2022-07,27.9659,52.5094
2022-08,13.6331,45.531
2022-09,-5.0296,31.5965
2022-10,10.557,41.7445
2022-11,29.3086,48.9584
2022-12,12.5856,39.838
2023-01,36.6932,48.5632
2023-02,40.0372,44.2258
2023-03,34.6032,48.9578
2023-04,23.0342,50.6836
2023-05,5.1253,50.7741
2023-06,21.7206,59.884
2023-07,30.2411,64.3798
2023-08,20.3421,60.953
2023-09,16.6835,52.6248
2023-10,3.0444,48.7132
2023-11,-2.1287,61.6976
2023-12,5.9969,68.3392
2024-01,-3.909,71.0275
2024-02,-6.0729,79.0476
2024-03,-5.8156,83.99
2024-04,-15.9734,75.7344
2024-05,-1.2464,83.6813
2024-06,-16.4691,89.2836
2024-07,-17.4917,90.5002
2024-08,-14.8204,94.0822
2024-09,-14.2489,98.2932
2024-10,-32.1892,95.412
2024-11,-33.4127,105.8418
2024-12,-27.1258,99.9875
2025-01,-24.7899,105.351
2025-02,-21.2503,101.7087
2025-03,-27.8374,89.4719
2025-04,-30.5299,87.0451
2025-05,-18.314,97.8575
2025-06,-16.3914,107.0685
2025-07,-15.7697,110.7404
2025-08,-2.192,114.0337
2025-09,6.0335,121.6081
2025-10,-0.326,125.7153
2025-11,-4.6945,125.0226
2025-12,-6.4423,124.0393
2026-01,-6.86,127.2713
2026-02,-1.7051,125.3185
