Date,rate_MAR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.8489,-1.8027
2016-03,9.4868,4.5695
2016-04,6.8986,3.6217
2016-05,-0.1075,4.6859
2016-06,0.2625,4.2011
2016-07,7.7995,7.3141
2016-08,6.3632,6.5393
2016-09,0.2194,5.8417
2016-10,2.2247,3.4057
2016-11,17.4552,7.0013
2016-12,21.6074,8.6582
2017-01,22.7218,9.9058
2017-02,24.938,13.4199
2017-03,33.3168,12.5861
2017-04,31.5678,12.9516
2017-05,48.2205,13.7442
2017-06,35.5748,14.6714
2017-07,38.8689,16.2352
2017-08,36.5165,15.7466
2017-09,43.4493,17.3266
2017-10,53.2927,19.2474
2017-11,60.8498,22.0133
2017-12,69.1951,22.6523
2018-01,80.6381,28.4864
2018-02,70.5493,22.6807
2018-03,61.8267,18.8927
2018-04,60.4387,18.6249
2018-05,57.2813,20.8091
2018-06,45.2764,20.9812
2018-07,45.2198,24.5763
2018-08,42.7288,27.7899
2018-09,47.6338,27.6747
2018-10,29.5762,18.1983
2018-11,27.0443,19.8597
2018-12,19.2115,8.8011
2019-01,25.2106,17.1215
2019-02,36.6355,20.4441
2019-03,35.5217,22.1999
2019-04,46.7661,26.5012
2019-05,33.7528,17.9266
2019-06,49.3553,25.7011
2019-07,46.8964,26.9004
2019-08,32.7526,24.2426
2019-09,30.2593,26.142
2019-10,31.8902,28.3311
2019-11,45.9655,32.3256
2019-12,56.4233,35.5485
2020-01,43.6232,34.7719
2020-02,26.8903,23.2511
2020-03,-23.6956,7.5779
2020-04,-6.5124,21.2186
2020-05,-8.7701,26.5774
2020-06,-11.5929,28.3766
2020-07,-13.3586,35.3325
2020-08,6.6073,44.0777
2020-09,-4.1862,37.914
2020-10,-3.8347,33.7633
2020-11,31.3725,47.7098
2020-12,36.029,52.3667
2021-01,19.4446,49.9654
2021-02,51.5871,53.2453
2021-03,50.8045,60.4049
2021-04,50.4238,67.83
2021-05,44.6775,67.8968
2021-06,36.9129,70.6358
2021-07,45.7653,73.7106
2021-08,34.3319,77.7187
2021-09,46.6374,68.3779
2021-10,57.6347,79.119
2021-11,44.6109,76.6949
2021-12,61.2785,83.6042
2022-01,56.4432,72.9303
2022-02,64.3681,66.8181
2022-03,68.9373,72.1992
2022-04,69.7373,56.2223
2022-05,64.0471,55.8933
2022-06,29.4462,42.4002
2022-07,50.6427,54.8512
2022-08,45.4918,47.8158
2022-09,32.1169,33.7039
2022-10,50.4776,44.0824
2022-11,55.1428,51.4429
2022-12,39.1248,42.1877
2023-01,62.199,50.5828
2023-02,57.2669,46.2373
2023-03,53.6491,52.2586
2023-04,56.0769,54.0684
2023-05,54.4971,54.1996
2023-06,68.4187,63.548
2023-07,84.1937,68.1942
2023-08,85.2775,64.7317
2023-09,78.0605,56.2636
2023-10,70.0213,52.2886
2023-11,82.4307,65.5989
2023-12,101.9338,72.448
2024-01,113.5344,74.4576
2024-02,121.7906,82.7177
2024-03,122.7108,89.0282
2024-04,107.2977,80.6052
2024-05,102.4674,88.8335
2024-06,110.6904,96.0415
2024-07,97.0933,97.3583
2024-08,104.2045,101.128
2024-09,115.2394,105.7758
2024-10,123.9873,102.865
2024-11,148.2518,113.7798
2024-12,138.223,107.7813
2025-01,146.8412,112.3595
2025-02,137.4834,108.6721
2025-03,100.6933,96.0839
2025-04,100.1124,93.6359
2025-05,122.5104,104.9003
2025-06,129.2997,114.5225
2025-07,120.3407,118.4064
2025-08,123.2343,121.8959
2025-09,116.0286,128.6764
2025-10,115.1578,133.0211
2025-11,151.0369,132.409
2025-12,154.2488,131.4906
2026-01,157.0973,133.7386
2026-02,177.2353,130.7823
2026-03,163.4145,126.4154
