Date,rate_CPB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,10.5592,-3.7423
2016-03,13.0947,0.3764
2016-04,15.9003,5.1946
2016-05,6.5113,3.5695
2016-06,4.0807,4.8356
2016-07,11.8497,4.3651
2016-08,3.9769,7.2005
2016-09,-5.104,6.5176
2016-10,-8.2547,5.8316
2016-11,-7.8453,2.6321
2016-12,-0.6406,6.5262
2017-01,5.1792,8.6002
2017-02,8.8795,9.8701
2017-03,3.0413,14.9815
2017-04,-1.0574,12.5254
2017-05,-1.0494,13.1716
2017-06,0.9212,14.581
2017-07,-9.2463,14.626
2017-08,-7.5053,16.4591
2017-09,-19.725,15.9061
2017-10,-16.2505,17.2911
2017-11,-13.6036,19.4181
2017-12,-9.9243,21.7575
2018-01,-11.5556,22.6249
2018-02,-12.9083,28.3844
2018-03,-20.8414,21.0506
2018-04,-18.1261,18.8566
2018-05,-21.3119,18.843
2018-06,-35.4564,22.0592
2018-07,-19.9406,20.962
2018-08,-16.8322,24.4135
2018-09,-20.3097,27.7869
2018-10,-26.0278,28.1445
2018-11,-21.255,19.3954
2018-12,-18.0161,19.8359
2019-01,-30.585,8.7501
2019-02,-24.7151,17.203
2019-03,-21.1618,21.2677
2019-04,-17.3462,23.6016
2019-05,-15.115,25.5902
2019-06,-19.2212,17.8911
2019-07,-10.242,26.7327
2019-08,-4.7573,25.8061
2019-09,1.8915,24.2046
2019-10,5.9664,24.595
2019-11,5.9928,29.5299
2019-12,5.9306,32.3145
2020-01,12.28,35.5516
2020-02,10.4859,34.7733
2020-03,2.8216,23.2161
2020-04,4.723,2.6957
2020-05,15.5075,17.923
2020-06,18.2062,27.1545
2020-07,12.375,29.2791
2020-08,13.5355,35.3897
2020-09,17.4736,45.4969
2020-10,10.6004,38.8421
2020-11,7.0024,33.8054
2020-12,15.08,49.4413
2021-01,10.4853,52.4925
2021-02,10.4258,52.5474
2021-03,4.4934,57.1165
2021-04,14.6286,62.2404
2021-05,10.1631,68.0147
2021-06,12.5846,67.9506
2021-07,5.148,71.7835
2021-08,1.3237,73.9065
2021-09,-1.3163,78.108
2021-10,-3.7552,70.559
2021-11,-5.442,79.7147
2021-12,-6.5385,74.8714
2022-01,1.8722,83.8439
2022-02,4.3293,74.2485
2022-03,4.8826,64.4857
2022-04,6.3267,72.8765
2022-05,12.2322,56.3809
2022-06,11.5491,54.7432
2022-07,14.9313,43.9638
2022-08,18.1958,54.5402
2022-09,17.4666,48.4061
2022-10,11.9062,33.808
2022-11,25.5637,43.6413
2022-12,27.6839,51.6237
2023-01,34.8627,42.3283
2023-02,23.2925,52.4008
2023-03,23.591,45.8599
2023-04,30.6119,52.4428
2023-05,30.3103,54.1535
2023-06,20.4991,55.8684
2023-07,8.54,63.7729
2023-08,8.8247,67.9151
2023-09,-2.2893,65.3142
2023-10,-1.8116,56.4671
2023-11,-1.889,54.158
2023-12,-2.04,66.8181
2024-01,4.3273,72.7134
2024-02,9.9263,77.0248
2024-03,4.1619,84.7703
2024-04,8.4662,89.0895
2024-05,11.3898,80.3005
2024-06,8.4645,89.1407
2024-07,10.554,96.817
2024-08,18.6484,94.9948
2024-09,22.9932,101.4737
2024-10,19.4151,104.2286
2024-11,15.1382,104.0979
2024-12,14.6723,114.1559
2025-01,3.8257,108.1307
2025-02,-2.9512,112.719
2025-03,0.3037,109.0154
2025-04,-0.1005,97.097
2025-05,-9.1641,95.2965
2025-06,-13.7712,105.2137
2025-07,-19.6125,114.7559
2025-08,-13.8503,115.142
2025-09,-14.803,122.2543
2025-10,-14.517,129.8729
2025-11,-18.3286,133.4127
2025-12,-16.9272,131.7276
2026-01,-24.1861,131.8756
2026-02,-33.2878,120.852
