Date,rate_TCEHY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.1675,-1.8027
2016-03,7.5781,4.5695
2016-04,4.8152,3.6217
2016-05,14.0522,4.6859
2016-06,15.3778,4.2011
2016-07,19.2195,7.3141
2016-08,25.1234,6.5393
2016-09,31.6776,5.8417
2016-10,22.2997,3.4057
2016-11,13.1051,7.0013
2016-12,8.8551,8.6582
2017-01,16.963,9.9058
2017-02,17.2367,13.4199
2017-03,26.0243,12.5861
2017-04,35.1202,12.9516
2017-05,46.1291,13.7442
2017-06,49.7609,14.6714
2017-07,63.4789,16.2352
2017-08,69.7405,15.7466
2017-09,72.7036,17.3266
2017-10,73.7544,19.2474
2017-11,93.6173,22.0133
2017-12,92.6487,22.6523
2018-01,115.3038,28.4864
2018-02,95.7081,22.6807
2018-03,86.5119,18.8927
2018-04,69.1147,18.6249
2018-05,73.6788,20.8091
2018-06,68.3907,20.9812
2018-07,51.1548,24.5763
2018-08,41.2054,27.7899
2018-09,32.5062,27.6747
2018-10,10.5796,18.1983
2018-11,28.4739,19.8597
2018-12,25.7429,8.8011
2019-01,41.3144,17.1215
2019-02,34.5965,20.4441
2019-03,43.6118,22.1999
2019-04,52.5487,26.5012
2019-05,28.7128,17.9266
2019-06,38.7454,25.7011
2019-07,41.5538,26.9004
2019-08,24.8516,24.2426
2019-09,25.3825,26.142
2019-10,21.4534,28.3311
2019-11,25.8887,32.3256
2019-12,42.7584,35.5485
2020-01,41.5905,34.7719
2020-02,45.8639,23.2511
2020-03,43.3306,7.5779
2020-04,52.8231,21.2186
2020-05,57.2308,26.5774
2020-06,83.937,28.3766
2020-07,95.1673,35.3325
2020-08,93.0443,44.0777
2020-09,89.4279,37.914
2020-10,111.9724,33.7633
2020-11,100.8924,47.7098
2020-12,96.1468,52.3667
2021-01,141.6903,49.9654
2021-02,133.6815,53.2453
2021-03,111.8604,60.4049
2021-04,109.6686,67.83
2021-05,106.254,67.8968
2021-06,96.504,70.6358
2021-07,58.5825,73.7106
2021-08,58.9055,77.7187
2021-09,53.1514,68.3779
2021-10,55.0133,79.119
2021-11,48.2837,76.6949
2021-12,47.2163,83.6042
2022-01,60.5882,72.9303
2022-02,37.4144,66.8181
2022-03,18.1574,72.1992
2022-04,19.495,56.2223
2022-05,15.888,55.8933
2022-06,15.3121,42.4002
2022-07,-1.9252,54.8512
2022-08,4.8365,47.8158
2022-09,-14.1781,33.7039
2022-10,-33.1495,44.0824
2022-11,-3.4829,51.4429
2022-12,8.2197,42.1877
2023-01,30.1856,50.5828
2023-02,17.0141,46.2373
2023-03,29.8347,52.2586
2023-04,17.5066,54.0684
2023-05,5.3664,54.1996
2023-06,13.0941,63.548
2023-07,22.1098,68.1942
2023-08,9.881,64.7317
2023-09,2.5004,56.2636
2023-10,-1.9199,52.2886
2023-11,10.3063,65.5989
2023-12,0.0839,72.448
2024-01,-7.7208,74.4576
2024-02,-7.3784,82.7177
2024-03,3.5232,89.0282
2024-04,15.9766,80.6052
2024-05,26.605,88.8335
2024-06,28.5924,96.0415
2024-07,24.7668,97.3583
2024-08,31.1724,101.128
2024-09,49.4458,105.7758
2024-10,40.3773,102.865
2024-11,38.3427,113.7798
2024-12,42.2098,107.7813
2025-01,41.3963,112.3595
2025-02,63.8459,108.6721
2025-03,69.1752,96.0839
2025-04,61.2122,93.6359
2025-05,66.6951,104.9003
2025-06,70.656,114.5225
2025-07,84.7125,118.4064
2025-08,103.7436,121.8959
2025-09,122.6099,128.6764
2025-10,111.7332,133.0211
2025-11,104.7618,132.409
2025-12,97.4631,131.4906
2026-01,96.2469,133.7386
2026-02,68.1196,130.7823
2026-03,61.2448,117.6098
2026-04,55.1588,139.3863
2026-05,40.1646,150.8374
2026-06,41.3989,146.5232
2026-07,56.9331,145.3136
2026-08,56.6919,152.6879
