Date,rate_SNPS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.5013,-0.6039
2016-03,10.368,5.2168
2016-04,5.2088,3.9893
2016-05,12.5697,4.6886
2016-06,15.4261,4.1237
2016-07,13.3998,7.1795
2016-08,22.0922,6.3603
2016-09,19.7307,5.6281
2016-10,17.7031,3.196
2016-11,18.4916,6.7601
2016-12,14.3085,8.3626
2017-01,22.1334,10.2536
2017-02,36.7367,13.6522
2017-03,35.2878,12.7005
2017-04,35.7838,12.9818
2017-05,35.6111,13.693
2017-06,30.0228,13.5288
2017-07,34.7775,15.0481
2017-08,39.5738,14.5515
2017-09,37.7577,16.1037
2017-10,45.9968,17.9557
2017-11,50.3086,20.6805
2017-12,39.6998,21.3029
2018-01,51.7481,28.0338
2018-02,36.8241,22.1441
2018-03,33.0553,18.3021
2018-04,35.4677,18.0902
2018-05,38.1207,20.2208
2018-06,32.8121,20.3415
2018-07,37.5648,23.8746
2018-08,55.646,27.0072
2018-09,50.2687,27.7347
2018-10,34.9766,18.1437
2018-11,37.447,19.7418
2018-12,24.8548,8.5778
2019-01,38.3542,17.1263
2019-02,49.3953,20.3748
2019-03,67.5154,22.0514
2019-04,74.0892,26.2651
2019-05,65.5115,17.5943
2019-06,81.0603,25.308
2019-07,84.5684,26.4355
2019-08,94.8679,23.7232
2019-09,88.6093,26.1617
2019-10,84.4216,28.2707
2019-11,89.4981,32.1761
2019-12,85.0527,35.3247
2020-01,96.0876,35.2749
2020-02,81.2635,23.5454
2020-03,67.5071,7.7105
2020-04,102.5988,21.425
2020-05,130.8214,26.7132
2020-06,145.8227,28.4357
2020-07,148.0708,35.3124
2020-08,172.2218,43.9511
2020-09,159.9199,37.6938
2020-10,156.6602,33.4637
2020-11,169.8438,47.2943
2020-12,203.8189,51.8455
2021-01,199.3832,50.305
2021-02,183.8483,53.4604
2021-03,183.4293,59.4101
2021-04,179.3436,66.6882
2021-05,184.3921,66.6274
2021-06,204.9658,69.2184
2021-07,214.8703,72.1455
2021-08,259.1472,75.992
2021-09,219.8986,66.6118
2021-10,252.0324,77.1553
2021-11,256.2644,74.6519
2021-12,280.7315,81.397
2022-01,217.2731,70.7122
2022-02,215.9271,64.6001
2022-03,233.6455,69.8532
2022-04,184.2362,54.0273
2022-05,213.3817,53.6333
2022-06,195.3161,40.2902
2022-07,254.0149,52.5094
2022-08,230.0377,45.531
2022-09,188.7117,31.5965
2022-10,174.0128,41.7445
2022-11,215.3122,48.9584
2022-12,193.8182,39.838
2023-01,225.5035,48.5632
2023-02,231.6788,44.2258
2023-03,249.0464,48.9578
2023-04,232.5536,50.6836
2023-05,303.918,50.7741
2023-06,283.0174,59.884
2023-07,293.8828,64.3798
2023-08,296.4941,60.953
2023-09,293.0652,52.6248
2023-10,298.5198,48.7132
2023-11,357.1548,61.6976
2023-12,329.5007,68.3392
2024-01,344.8604,71.0275
2024-02,374.3121,79.0476
2024-03,368.2812,83.99
2024-04,330.9935,75.7344
2024-05,351.7405,83.6813
2024-06,375.2893,89.2836
2024-07,342.1969,90.5002
2024-08,308.2052,94.0822
2024-09,297.8476,98.2932
2024-10,300.388,95.412
2024-11,331.977,105.8418
2024-12,272.4524,99.9875
2025-01,303.2384,105.351
2025-02,248.3047,101.7087
2025-03,224.364,89.4719
2025-04,244.7591,87.0451
2025-05,246.0575,97.8575
2025-06,279.6884,107.0685
2025-07,365.7107,110.7404
2025-08,340.4009,114.0337
2025-09,260.0584,121.6081
2025-10,228.9395,125.7153
2025-11,201.0411,125.0226
2025-12,236.1011,124.0393
2026-01,232.8129,127.2713
2026-02,38.7526,125.3185
