Date,rate_AMT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.4338,-0.6039
2016-03,8.562,5.2168
2016-04,8.8539,3.9893
2016-05,7.7747,4.6886
2016-06,14.8027,4.1237
2016-07,14.7454,7.1795
2016-08,10.4164,6.3603
2016-09,9.6359,5.6281
2016-10,12.386,3.196
2016-11,-2.7264,6.7601
2016-12,1.3567,8.3626
2017-01,-0.7143,10.2536
2017-02,10.0868,13.6522
2017-03,15.8033,12.7005
2017-04,19.457,12.9818
2017-05,23.0387,13.693
2017-06,23.2646,13.5288
2017-07,25.6592,15.0481
2017-08,34.9666,14.5515
2017-09,23.6336,16.1037
2017-10,28.7712,17.9557
2017-11,27.7625,20.6805
2017-12,26.0515,21.3029
2018-01,30.4691,28.0338
2018-02,21.9079,22.1441
2018-03,26.3534,18.3021
2018-04,18.2706,18.0902
2018-05,19.3383,20.2208
2018-06,24.255,20.3415
2018-07,26.8655,23.8746
2018-08,26.6614,27.0072
2018-09,24.096,27.7347
2018-10,32.2512,18.1437
2018-11,38.578,19.7418
2018-12,32.8698,8.5778
2019-01,45.0781,17.1263
2019-02,46.5297,20.3748
2019-03,62.3606,22.0514
2019-04,59.9783,26.2651
2019-05,69.3058,17.5943
2019-06,64.7455,25.308
2019-07,68.8234,26.4355
2019-08,81.7182,23.7232
2019-09,75.3316,26.1617
2019-10,71.0937,28.2707
2019-11,66.275,32.1761
2019-12,77.7055,35.3247
2020-01,79.1835,35.2749
2020-02,73.5717,23.5454
2020-03,64.9643,7.7105
2020-04,79.6555,21.425
2020-05,93.0574,26.7132
2020-06,92.1437,28.4357
2020-07,92.2736,35.3124
2020-08,81.5456,43.9511
2020-09,75.4143,37.6938
2020-10,65.2569,33.4637
2020-11,65.0933,47.2943
2020-12,59.9329,51.8455
2021-01,61.9844,50.305
2021-02,52.8327,53.4604
2021-03,67.9928,59.4101
2021-04,78.59,66.6882
2021-05,77.7257,66.6274
2021-06,87.3813,69.2184
2021-07,94.6052,72.1455
2021-08,99.4297,75.992
2021-09,80.5915,66.6118
2021-10,90.4596,77.1553
2021-11,75.9721,74.6519
2021-12,95.6892,81.397
2022-01,67.0729,70.7122
2022-02,49.8239,64.6001
2022-03,65.0454,69.8532
2022-04,58.3229,54.0273
2022-05,67.3832,53.6333
2022-06,67.025,40.2902
2022-07,75.9448,52.5094
2022-08,64.0827,45.531
2022-09,37.9319,31.5965
2022-10,33.5496,41.7445
2022-11,42.1157,48.9584
2022-12,36.5596,39.838
2023-01,43.9269,48.5632
2023-02,27.0443,44.2258
2023-03,30.762,48.9578
2023-04,31.4178,50.6836
2023-05,18.2904,50.7741
2023-06,25.12,59.884
2023-07,22.4569,64.3798
2023-08,16.4097,60.953
2023-09,5.4177,52.6248
2023-10,15.2115,48.7132
2023-11,34.7495,61.6976
2023-12,39.999,68.3392
2024-01,26.9875,71.0275
2024-02,28.7198,79.0476
2024-03,27.5591,83.99
2024-04,11.5572,75.7344
2024-05,27.0486,83.6813
2024-06,26.9141,89.2836
2024-07,43.562,90.5002
2024-08,45.4401,94.0822
2024-09,50.9517,98.2932
2024-10,39.1807,95.412
2024-11,35.8407,105.8418
2024-12,19.9466,99.9875
2025-01,20.9445,105.351
2025-02,34.2057,101.7087
2025-03,41.6305,89.4719
2025-04,47.3711,87.0451
2025-05,39.9044,97.8575
2025-06,44.756,107.0685
2025-07,36.0523,110.7404
2025-08,32.7331,114.0337
2025-09,26.3389,121.6081
2025-10,17.3361,125.7153
2025-11,18.6804,125.0226
2025-12,15.9155,124.0393
2026-01,18.3407,127.2713
2026-02,-3.8281,125.3185
