Date,rate_DAL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.0459,-1.8027
2016-03,3.1575,4.5695
2016-04,-11.4765,3.6217
2016-05,-5.0237,4.6859
2016-06,-19.6736,4.2011
2016-07,-11.7248,7.3141
2016-08,-14.6206,6.5393
2016-09,-6.8705,5.8417
2016-10,-0.4482,3.4057
2016-11,15.2605,7.0013
2016-12,16.4452,8.6582
2017-01,10.6198,9.9058
2017-02,16.574,13.4199
2017-03,6.1569,12.5861
2017-04,4.5794,12.9516
2017-05,13.2232,13.7442
2017-06,22.926,14.6714
2017-07,11.8298,16.2352
2017-08,6.9671,15.7466
2017-09,8.9186,17.3266
2017-10,12.5773,19.2474
2017-11,19.1426,22.0133
2017-12,25.3018,22.6523
2018-01,25.9959,28.4864
2018-02,19.3771,22.6807
2018-03,20.7055,18.8927
2018-04,14.305,18.6249
2018-05,18.423,20.8091
2018-06,7.9643,20.9812
2018-07,19.0615,24.5763
2018-08,27.3552,27.7899
2018-09,25.1218,27.6747
2018-10,17.7829,18.1983
2018-11,30.7393,19.8597
2018-12,6.7933,8.8011
2019-01,5.6073,17.1215
2019-02,6.4984,20.4441
2019-03,10.8043,22.1999
2019-04,24.7005,26.5012
2019-05,10.3628,17.9266
2019-06,21.3284,25.7011
2019-07,30.7666,26.9004
2019-08,23.3321,24.2426
2019-09,22.2624,26.142
2019-10,17.3316,28.3311
2019-11,21.6376,32.3256
2019-12,23.6583,35.5485
2020-01,17.4103,34.7719
2020-02,-2.2543,23.2511
2020-03,-39.4816,7.5779
2020-04,-44.003,21.2186
2020-05,-44.567,26.5774
2020-06,-37.4929,28.3766
2020-07,-43.7156,35.3325
2020-08,-29.5265,44.0777
2020-09,-29.621,37.914
2020-10,-29.0002,33.7633
2020-11,-6.1288,47.7098
2020-12,-6.1078,52.3667
2021-01,-11.2602,49.9654
2021-02,12.2676,53.2453
2021-03,12.8627,60.4049
2021-04,9.4761,67.83
2021-05,11.0993,67.8968
2021-06,0.6573,70.6358
2021-07,-7.1876,73.7106
2021-08,-5.8264,77.7187
2021-09,-0.6898,68.3779
2021-10,-8.8606,79.119
2021-11,-15.6028,76.6949
2021-12,-8.5429,83.6042
2022-01,-6.9986,72.9303
2022-02,-6.3925,66.8181
2022-03,-7.0491,72.1992
2022-04,1.1789,56.2223
2022-05,-1.9828,55.8933
2022-06,-31.7805,42.4002
2022-07,-24.7138,54.8512
2022-08,-26.1535,47.8158
2022-09,-33.0072,33.7039
2022-10,-18.531,44.0824
2022-11,-14.834,51.4429
2022-12,-20.7056,42.1877
2023-01,-5.3833,50.5828
2023-02,-7.1809,46.2373
2023-03,-15.3783,52.2586
2023-04,-16.6829,54.0684
2023-05,-11.5995,54.1996
2023-06,15.8055,63.548
2023-07,13.2507,68.1942
2023-08,4.8815,64.7317
2023-09,-9.529,56.2636
2023-10,-23.2401,52.2886
2023-11,-9.0111,65.5989
2023-12,-0.8214,72.448
2024-01,-3.4975,74.4576
2024-02,4.9714,82.7177
2024-03,18.8118,89.0282
2024-04,24.0617,80.6052
2024-05,26.4183,88.8335
2024-06,17.3142,96.0415
2024-07,6.6227,97.3583
2024-08,5.2951,101.128
2024-09,25.7812,105.7758
2024-10,41.805,102.865
2024-11,57.6841,113.7798
2024-12,48.9822,107.7813
2025-01,65.141,112.3595
2025-02,47.4369,108.6721
2025-03,6.6468,96.0839
2025-04,1.8003,93.6359
2025-05,18.6646,104.9003
2025-06,20.4333,114.5225
2025-07,30.5616,118.4064
2025-08,51.3253,121.8959
2025-09,38.6126,128.6764
2025-10,40.2867,133.0211
2025-11,56.3241,132.409
2025-12,68.7287,131.4906
2026-01,59.6612,133.7386
2026-02,58.7135,130.7823
2026-03,39.5617,122.952
