Date,rate_CASY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.5666,-1.8027
2016-03,-0.1419,4.5695
2016-04,-1.2718,3.6217
2016-05,6.2057,4.6859
2016-06,14.5197,4.2011
2016-07,14.4819,7.3141
2016-08,10.8013,6.5393
2016-09,0.2855,5.8417
2016-10,-5.0886,3.4057
2016-11,1.6665,7.0013
2016-12,0.1763,8.6582
2017-01,-2.9733,9.9058
2017-02,-2.9407,13.4199
2017-03,-4.8052,12.5861
2017-04,-4.454,12.9516
2017-05,-0.469,13.7442
2017-06,-8.3128,14.6714
2017-07,-7.5157,16.2352
2017-08,-8.3211,15.7466
2017-09,-4.417,17.3266
2017-10,0.4788,19.2474
2017-11,5.8603,22.0133
2017-12,-2.0485,22.6523
2018-01,6.2561,28.4864
2018-02,-1.6284,22.6807
2018-03,-3.7935,18.8927
2018-04,-14.9545,18.6249
2018-05,-14.3285,20.8091
2018-06,-6.5061,20.9812
2018-07,-2.21,24.5763
2018-08,2.1734,27.7899
2018-09,15.4177,27.6747
2018-10,12.5931,18.1983
2018-11,15.2062,19.8597
2018-12,13.609,8.8011
2019-01,13.9722,17.1215
2019-02,18.983,20.4441
2019-03,13.259,22.1999
2019-04,16.3005,26.5012
2019-05,13.0624,17.9266
2019-06,36.2013,25.7011
2019-07,40.7303,26.9004
2019-08,44.9146,24.2426
2019-09,38.1927,26.142
2019-10,45.8313,28.3311
2019-11,47.3358,32.3256
2019-12,33.9095,35.5485
2020-01,35.0499,34.7719
2020-02,36.6838,23.2511
2020-03,10.5225,7.5779
2020-04,26.3738,21.2186
2020-05,32.8078,26.5774
2020-06,23.7501,28.3766
2020-07,31.5399,35.3325
2020-08,46.8595,44.0777
2020-09,45.8903,37.914
2020-10,38.1895,33.7633
2020-11,48.486,47.7098
2020-12,45.1508,52.3667
2021-01,52.3794,49.9654
2021-02,63.2404,53.2453
2021-03,73.6346,60.4049
2021-04,77.5321,67.83
2021-05,75.8036,67.8968
2021-06,53.9966,70.6358
2021-07,56.1301,73.7106
2021-08,60.9459,77.7187
2021-09,47.4742,68.3779
2021-10,50.0209,79.119
2021-11,51.4329,76.6949
2021-12,53.115,83.6042
2022-01,45.2997,72.9303
2022-02,44.8891,66.8181
2022-03,52.0466,72.1992
2022-04,54.2842,56.2223
2022-05,60.1343,55.8933
2022-06,40.7348,42.4002
2022-07,54.4452,54.8512
2022-08,62.158,47.8158
2022-09,52.8924,33.7039
2022-10,75.2121,44.0824
2022-11,82.0325,51.4429
2022-12,67.2037,42.1877
2023-01,75.2625,50.5828
2023-02,53.7614,46.2373
2023-03,59.3896,52.2586
2023-04,68.5944,54.0684
2023-05,65.4642,54.1996
2023-06,78.0266,63.548
2023-07,83.8489,68.1942
2023-08,76.9984,64.7317
2023-09,95.7073,56.2636
2023-10,95.2764,52.2886
2023-11,96.7727,65.5989
2023-12,95.2918,72.448
2024-01,92.2263,74.4576
2024-02,114.5937,82.7177
2024-03,123.2011,89.0282
2024-04,123.064,80.6052
2024-05,130.3043,88.8335
2024-06,163.3359,96.0415
2024-07,166.0672,97.3583
2024-08,147.4187,101.128
2024-09,155.101,105.7758
2024-10,165.9832,102.865
2024-11,183.4697,113.7798
2024-12,165.2846,107.7813
2025-01,180.7556,112.3595
2025-02,174.4464,108.6721
2025-03,185.9334,96.0839
2025-04,202.9465,93.6359
2025-05,185.3207,104.9003
2025-06,230.6358,114.5225
2025-07,234.9742,118.4064
2025-08,217.6313,121.8959
2025-09,260.9133,128.6764
2025-10,226.0287,133.0211
2025-11,261.0376,132.409
2025-12,247.7114,131.4906
2026-01,279.984,133.7386
2026-02,327.3102,130.7823
2026-03,350.8017,117.6098
2026-04,405.9081,139.3863
2026-05,369.0161,150.8374
2026-06,382.8921,146.5232
2026-07,425.8516,145.3136
2026-08,384.2466,150.4165
