Date,rate_NWSA_5D,rate_VOO_20D
2016-01,2.0759,1.4254
2016-02,-8.0795,0.6142
2016-03,12.7088,6.1243
2016-04,6.0218,4.6014
2016-05,0.63,5.2878
2016-06,-5.6641,4.687
2016-07,8.4834,7.7174
2016-08,16.4979,6.8637
2016-09,14.8259,5.9421
2016-10,-1.748,3.4868
2016-11,-6.0426,6.843
2016-12,-6.4979,8.2789
2017-01,0.5156,9.3935
2017-02,4.7648,12.821
2017-03,6.7808,12.0413
2017-04,4.0612,12.4367
2017-05,9.0372,13.2406
2017-06,11.0973,14.1802
2017-07,15.3532,15.6892
2017-08,7.0706,15.2834
2017-09,6.6208,16.8657
2017-10,9.5214,18.7799
2017-11,28.9915,21.509
2017-12,28.166,22.1709
2018-01,33.8808,27.9258
2018-02,24.3535,22.2578
2018-03,21.6014,18.4465
2018-04,22.2134,18.162
2018-05,14.1916,20.337
2018-06,17.1398,20.5057
2018-07,13.3002,24.0401
2018-08,-2.1013,27.2093
2018-09,-0.3474,27.1082
2018-10,-4.8966,17.9327
2018-11,-4.5263,19.5577
2018-12,-16.505,8.5722
2019-01,-5.1173,16.8959
2019-02,-3.5596,20.2219
2019-03,-7.0706,21.9603
2019-04,-7.0596,26.2654
2019-05,-14.4941,20.4953
2019-06,1.6229,25.3574
2019-07,-0.905,26.514
2019-08,-1.4901,24.0717
2019-09,-1.2379,25.9454
2019-10,-1.4627,27.4086
2019-11,-7.4082,31.384
2019-12,1.8169,34.5804
2020-01,-2.0059,33.8021
2020-02,-4.4371,22.3336
2020-03,-16.6966,15.1867
2020-04,-6.7585,29.6272
2020-05,15.5125,28.2305
2020-06,14.847,28.0341
2020-07,21.3881,33.4885
2020-08,40.2366,42.106
2020-09,30.9568,38.2475
2020-10,20.4046,34.0563
2020-11,61.5066,42.9575
2020-12,61.0107,47.5016
2021-01,72.6868,45.1166
2021-02,101.2717,43.0879
2021-03,107.2441,49.8512
2021-04,104.6432,56.911
2021-05,109.0801,54.6413
2021-06,98.0581,57.2758
2021-07,87.8804,60.2291
2021-08,70.2234,64.0213
2021-09,77.97,55.5224
2021-10,72.1067,65.5435
2021-11,61.4462,65.5034
2021-12,65.7041,68.4598
2022-01,62.874,58.7763
2022-02,61.3077,53.2596
2022-03,63.305,58.2953
2022-04,47.2576,52.2757
2022-05,31.0816,51.0659
2022-06,17.0173,38.0304
2022-07,28.4812,50.1558
2022-08,26.4861,43.3725
2022-09,13.2959,29.6913
2022-10,26.2533,39.7003
2022-11,32.6339,46.8631
2022-12,25.0663,40.5677
2023-01,28.3888,48.7988
2023-02,15.8709,45.5387
2023-03,23.0984,49.6635
2023-04,22.8117,48.4614
2023-05,20.9089,48.1923
2023-06,28.4523,57.2072
2023-07,30.2412,61.7125
2023-08,37.3392,59.5229
2023-09,28.5027,51.3631
2023-10,31.1429,47.5518
2023-11,32.9675,60.474
2023-12,47.7207,67.125
2024-01,47.7666,69.1001
2024-02,60.6615,77.1309
2024-03,56.5015,83.2841
2024-04,41.7825,75.177
2024-05,61.496,83.1784
2024-06,63.1405,90.182
2024-07,62.5593,90.9416
2024-08,60.2061,97.1965
2024-09,52.7465,98.31
2024-10,55.8058,95.5089
2024-11,64.1758,105.9957
2024-12,60.5296,100.2436
2025-01,62.9745,104.6582
2025-02,65.2887,101.1287
2025-03,61.2072,89.045
2025-04,59.7763,88.6819
2025-05,65.8163,99.6712
2025-06,73.9007,109.046
2025-07,71.2224,112.823
2025-08,69.3525,112.1707
2025-09,76.7973,118.6779
2025-10,52.116,122.8639
2025-11,46.9838,122.3204
2025-12,49.1084,121.4705
2026-01,53.8727,123.6468
2026-02,37.883,120.852
