Date,rate_AXP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-18.7231,-3.7423
2016-03,-5.9339,0.3764
2016-04,3.2792,5.1946
2016-05,10.1799,3.5695
2016-06,8.9167,4.8356
2016-07,-0.6205,4.3651
2016-08,5.0906,7.2005
2016-09,5.6307,6.5176
2016-10,3.6666,5.8316
2016-11,7.3705,2.6321
2016-12,16.8044,6.5262
2017-01,17.8618,8.6002
2017-02,21.1972,9.8701
2017-03,27.7204,14.9815
2017-04,21.5483,12.5254
2017-05,20.8638,13.1716
2017-06,18.1958,14.581
2017-07,26.101,14.626
2017-08,26.6764,16.4591
2017-09,26.6605,15.9061
2017-10,31.6744,17.2911
2017-11,38.4073,19.4181
2017-12,39.6873,21.7575
2018-01,40.0747,22.6249
2018-02,39.9178,28.3844
2018-03,31.653,21.0506
2018-04,27.9261,18.8566
2018-05,34.6131,18.843
2018-06,32.969,22.0592
2018-07,31.5312,20.962
2018-08,32.908,24.4135
2018-09,40.5352,27.7869
2018-10,41.8275,28.1445
2018-11,36.0729,19.3954
2018-12,45.7211,19.8359
2019-01,22.6401,8.7501
2019-02,32.4333,17.203
2019-03,39.0326,21.2677
2019-04,41.5782,23.6016
2019-05,47.7203,25.5902
2019-06,43.6605,17.8911
2019-07,55.3126,26.7327
2019-08,53.9623,25.8061
2019-09,48.154,24.2046
2019-10,42.5973,24.595
2019-11,45.1532,29.5299
2019-12,45.3759,32.3145
2020-01,49.6828,35.5516
2020-02,55.6052,34.7733
2020-03,30.7704,23.2161
2020-04,-7.8318,2.6957
2020-05,5.256,17.923
2020-06,15.1912,27.1545
2020-07,12.212,29.2791
2020-08,11.1184,35.3897
2020-09,21.7936,45.4969
2020-10,20.0588,38.8421
2020-11,8.2989,33.8054
2020-12,42.1652,49.4413
2021-01,42.6168,52.4925
2021-02,37.8671,52.5474
2021-03,62.6808,57.1165
2021-04,69.0161,62.2404
2021-05,78.1347,68.0147
2021-06,88.9418,67.9506
2021-07,91.7281,71.7835
2021-08,94.4506,73.9065
2021-09,86.1656,78.108
2021-10,95.5983,70.559
2021-11,95.0128,79.7147
2021-12,66.8247,74.8714
2022-01,80.864,83.8439
2022-02,102.1363,74.2485
2022-03,94.7603,64.4857
2022-04,103.3953,72.8765
2022-05,89.1453,56.3809
2022-06,78.3556,54.7432
2022-07,50.773,43.9638
2022-08,63.9544,54.5402
2022-09,60.7915,48.4061
2022-10,42.8824,33.808
2022-11,55.7489,43.6413
2022-12,66.0619,51.6237
2023-01,55.043,42.3283
2023-02,81.9605,52.4008
2023-03,83.4038,45.8599
2023-04,71.0769,52.4428
2023-05,65.0759,54.1535
2023-06,67.8502,55.8684
2023-07,78.8838,63.7729
2023-08,73.9793,67.9151
2023-09,62.9352,65.3142
2023-10,51.6551,56.4671
2023-11,48.937,54.158
2023-12,76.0977,66.8181
2024-01,89.0046,72.7134
2024-02,104.6316,77.0248
2024-03,120.0301,84.7703
2024-04,126.7361,89.0895
2024-05,129.9749,80.3005
2024-06,137.124,89.1407
2024-07,129.6976,96.817
2024-08,145.0174,94.9948
2024-09,153.3872,101.4737
2024-10,161.6167,104.2286
2024-11,166.085,104.0979
2024-12,195.5626,114.1559
2025-01,186.1439,108.1307
2025-02,206.2478,112.719
2025-03,188.5594,109.0154
2025-04,157.8078,97.097
2025-05,156.8908,95.2965
2025-06,179.7704,105.2137
2025-07,205.1367,114.7559
2025-08,179.8574,115.142
2025-09,213.3048,122.2543
2025-10,208.9234,129.8729
2025-11,239.5256,133.4127
2025-12,237.1167,131.7276
2026-01,244.1065,131.8756
2026-02,185.9899,131.1612
