Date,rate_TXT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.3425,-0.6039
2016-03,7.8325,5.2168
2016-04,11.9778,3.9893
2016-05,7.5608,4.6886
2016-06,1.9866,4.1237
2016-07,8.4644,7.1795
2016-08,12.5382,6.3603
2016-09,8.1191,5.6281
2016-10,8.1126,3.196
2016-11,23.3533,6.7601
2016-12,27.6828,8.3626
2017-01,24.559,10.2536
2017-02,22.4962,13.6522
2017-03,21.2656,12.7005
2017-04,17.5714,12.9818
2017-05,19.3573,13.693
2017-06,16.4696,13.5288
2017-07,20.4268,15.0481
2017-08,19.2013,14.5515
2017-09,29.7225,16.1037
2017-10,25.5158,17.9557
2017-11,31.2689,20.6805
2017-12,32.0029,21.3029
2018-01,36.8502,28.0338
2018-02,37.9296,22.1441
2018-03,34.4957,18.3021
2018-04,40.3933,18.0902
2018-05,48.7972,20.2208
2018-06,45.5245,20.3415
2018-07,49.077,23.8746
2018-08,49.1003,27.0072
2018-09,54.3626,27.7347
2018-10,14.5397,18.1437
2018-11,19.3208,19.7418
2018-12,-2.7477,8.5778
2019-01,12.5441,17.1263
2019-02,14.3978,20.3748
2019-03,6.3322,22.0514
2019-04,10.9886,26.2651
2019-05,-5.3807,17.5943
2019-06,10.8615,25.308
2019-07,2.7797,26.4355
2019-08,-6.1894,23.7232
2019-09,2.0573,26.1617
2019-10,-3.9288,28.2707
2019-11,-3.5901,32.1761
2019-12,-6.9293,35.3247
2020-01,-4.1548,35.2749
2020-02,-15.2089,23.5454
2020-03,-44.1046,7.7105
2020-04,-43.658,21.425
2020-05,-32.7139,26.7132
2020-06,-27.8282,28.4357
2020-07,-22.721,35.3124
2020-08,-12.3536,43.9511
2020-09,-19.5593,37.6938
2020-10,-19.788,33.4637
2020-11,1.3806,47.2943
2020-12,8.5797,51.8455
2021-01,1.6835,50.305
2021-02,13.0476,53.4604
2021-03,25.618,59.4101
2021-04,43.327,66.6882
2021-05,51.9163,66.6274
2021-06,51.6741,69.2184
2021-07,51.3243,72.1455
2021-08,58.4333,75.992
2021-09,51.3041,66.6118
2021-10,59.1568,77.1553
2021-11,51.6742,74.6519
2021-12,64.5442,81.397
2022-01,44.2155,70.7122
2022-02,54.2163,64.6001
2022-03,56.0754,69.8532
2022-04,44.5766,54.0273
2022-05,35.6909,53.6333
2022-06,26.4433,40.2902
2022-07,35.5003,52.5094
2022-08,28.3017,45.531
2022-09,19.4743,31.5965
2022-10,39.9687,41.7445
2022-11,45.423,48.9584
2022-12,43.6595,39.838
2023-01,47.8181,48.5632
2023-02,46.5244,44.2258
2023-03,42.0956,48.9578
2023-04,34.1641,50.6836
2023-05,23.6066,50.7741
2023-06,34.7819,59.884
2023-07,54.4836,64.3798
2023-08,53.7078,60.953
2023-09,53.9091,52.6248
2023-10,49.0913,48.7132
2023-11,49.8112,61.6976
2023-12,56.5381,68.3392
2024-01,64.8841,71.0275
2024-02,72.5801,79.0476
2024-03,84.9976,83.99
2024-04,62.3072,75.7344
2024-05,67.3903,83.6813
2024-06,63.3359,89.2836
2024-07,75.9939,90.5002
2024-08,72.0104,94.0822
2024-09,67.071,98.2932
2024-10,51.0555,95.412
2024-11,60.2599,105.8418
2024-12,42.6023,99.9875
2025-01,42.6395,105.351
2025-02,38.9098,101.7087
2025-03,33.9297,89.4719
2025-04,30.1148,87.0451
2025-05,36.5655,97.8575
2025-06,47.7295,107.0685
2025-07,42.6371,110.7404
2025-08,46.6033,114.0337
2025-09,54.521,121.6081
2025-10,47.2909,125.7153
2025-11,51.1237,125.0226
2025-12,57.9212,124.0393
2026-01,59.5331,127.2713
2026-02,9.0069,125.3185
