Date,rate_CVS_5D,rate_VOO_20D
2016-01,2.011,1.4254
2016-02,-2.5654,0.6142
2016-03,4.4474,6.1243
2016-04,0.2556,4.6014
2016-05,-4.4916,5.2878
2016-06,-4.4441,4.687
2016-07,-6.341,7.7174
2016-08,-5.5451,6.8637
2016-09,-9.0984,5.9421
2016-10,-12.8195,3.4868
2016-11,-18.0516,6.843
2016-12,-14.3658,8.2789
2017-01,-11.8287,9.3935
2017-02,-8.9618,12.821
2017-03,-10.7508,12.0413
2017-04,-4.9671,12.4367
2017-05,-11.1128,13.2406
2017-06,-6.3863,14.1802
2017-07,-6.0832,15.6892
2017-08,-8.8226,15.2834
2017-09,-3.731,16.8657
2017-10,-17.9551,18.7799
2017-11,-7.4582,21.509
2017-12,-12.0435,22.1709
2018-01,-3.5903,27.9258
2018-02,-16.5853,22.2578
2018-03,-22.8091,18.4465
2018-04,-10.4181,18.162
2018-05,-18.2541,20.337
2018-06,-16.537,20.5057
2018-07,-14.8898,24.0401
2018-08,-0.9114,27.2093
2018-09,3.6067,27.1082
2018-10,-5.4899,17.9327
2018-11,-0.4304,19.5577
2018-12,-18.6475,8.5722
2019-01,-17.4797,16.8959
2019-02,-26.7831,20.2219
2019-03,-31.0296,21.9603
2019-04,-29.0166,26.2654
2019-05,-29.5878,20.4953
2019-06,-27.597,25.3574
2019-07,-24.4563,26.514
2019-08,-19.1191,24.0717
2019-09,-17.8728,25.9454
2019-10,-12.4134,27.4086
2019-11,-0.4317,31.384
2019-12,-1.6921,34.5804
2020-01,-9.6689,33.8021
2020-02,-21.1009,22.3336
2020-03,-23.6096,15.1867
2020-04,-19.5083,29.6272
2020-05,-17.1246,28.2305
2020-06,-19.3516,28.0341
2020-07,-22.472,33.4885
2020-08,-22.0956,42.106
2020-09,-24.0597,38.2475
2020-10,-25.6458,34.0563
2020-11,-17.2758,42.9575
2020-12,-18.4283,47.5016
2021-01,-15.1248,45.1166
2021-02,-18.9888,43.0879
2021-03,-12.6737,49.8512
2021-04,-10.5198,56.911
2021-05,1.3755,54.6413
2021-06,-2.1231,57.2758
2021-07,-2.7471,60.2291
2021-08,2.0512,64.0213
2021-09,-1.5089,55.5224
2021-10,4.1981,65.5435
2021-11,5.737,65.5034
2021-12,18.1912,68.4598
2022-01,17.5648,58.7763
2022-02,14.8682,53.2596
2022-03,11.9957,58.2953
2022-04,7.329,52.2757
2022-05,4.5869,51.0659
2022-06,0.1182,38.0304
2022-07,3.9542,50.1558
2022-08,6.5814,43.3725
2022-09,3.4344,29.6913
2022-10,3.2232,39.7003
2022-11,7.0621,46.8631
2022-12,-2.0838,40.5677
2023-01,-6.6398,48.7988
2023-02,-11.5015,45.5387
2023-03,-21.0452,49.6635
2023-04,-21.2365,48.4614
2023-05,-25.7917,48.1923
2023-06,-24.3247,57.2072
2023-07,-17.2899,61.7125
2023-08,-21.6869,59.5229
2023-09,-16.4206,51.3631
2023-10,-18.0356,47.5518
2023-11,-20.032,60.474
2023-12,-6.8939,67.125
2024-01,-9.8539,69.1001
2024-02,-9.7409,77.1309
2024-03,-3.1124,83.2841
2024-04,-15.326,75.177
2024-05,-25.1586,83.1784
2024-06,-25.5937,90.182
2024-07,-22.8791,90.9416
2024-08,-27.2782,97.1965
2024-09,-19.8528,98.31
2024-10,-21.2221,95.5089
2024-11,-18.7985,105.9957
2024-12,-38.9634,100.2436
2025-01,-21.8474,104.6582
2025-02,-10.701,101.1287
2025-03,-10.6092,89.045
2025-04,-12.6525,88.6819
2025-05,-16.0849,99.6712
2025-06,-9.4607,109.046
2025-07,-13.4758,112.823
2025-08,1.9215,112.1707
2025-09,-0.9471,118.6779
2025-10,3.5046,122.8639
2025-11,6.3969,122.3204
2025-12,5.0326,121.4705
2026-01,-0.6222,123.6468
2026-02,6.5143,120.852
