Date,rate_GE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.5379,-1.8027
2016-03,7.6999,4.5695
2016-04,2.3091,3.6217
2016-05,0.1497,4.6859
2016-06,5.0365,4.2011
2016-07,3.1924,7.3141
2016-08,3.1166,6.5393
2016-09,-1.7321,5.8417
2016-10,-3.2809,3.4057
2016-11,2.5802,7.0013
2016-12,5.7676,8.6582
2017-01,-0.9814,9.9058
2017-02,0.2525,13.4199
2017-03,0.1032,12.5861
2017-04,-2.6213,12.9516
2017-05,-7.8589,13.7442
2017-06,-7.922,14.6714
2017-07,-12.2737,16.2352
2017-08,-15.2601,15.7466
2017-09,-13.4415,17.3266
2017-10,-27.2826,19.2474
2017-11,-32.8863,22.0133
2017-12,-34.107,22.6523
2018-01,-37.651,28.4864
2018-02,-42.8418,22.6807
2018-03,-43.8401,18.8927
2018-04,-39.7602,18.6249
2018-05,-38.341,20.8091
2018-06,-37.5585,20.9812
2018-07,-36.2555,24.5763
2018-08,-38.3109,27.7899
2018-09,-43.3888,27.6747
2018-10,-48.4858,18.1983
2018-11,-60.5794,19.8597
2018-12,-58.5148,8.8011
2019-01,-42.24,17.1215
2019-02,-37.4072,20.4441
2019-03,-38.8612,22.1999
2019-04,-36.8005,26.5012
2019-05,-40.4749,17.9266
2019-06,-32.7315,25.7011
2019-07,-32.3226,26.9004
2019-08,-45.8877,24.2426
2019-09,-40.2676,26.142
2019-10,-32.2674,28.3311
2019-11,-22.8519,32.3256
2019-12,-23.1322,35.5485
2020-01,-13.7377,34.7719
2020-02,-24.3557,23.2511
2020-03,-44.4219,7.5779
2020-04,-51.4448,21.2186
2020-05,-52.0611,26.5774
2020-06,-49.2204,28.3766
2020-07,-54.039,35.3325
2020-08,-50.9932,44.0777
2020-09,-50.9202,37.914
2020-10,-40.5248,33.7633
2020-11,-17.5017,47.7098
2020-12,-12.1683,52.3667
2021-01,-12.9455,49.9654
2021-02,2.4306,53.2453
2021-03,7.1319,60.4049
2021-04,6.9214,67.83
2021-05,14.4551,67.8968
2021-06,9.36,70.6358
2021-07,5.0864,73.7106
2021-08,6.8438,77.7187
2021-09,4.3614,68.3779
2021-10,6.1194,79.119
2021-11,-3.9635,76.6949
2021-12,-4.4049,83.6042
2022-01,-4.3346,72.9303
2022-02,-3.2814,66.8181
2022-03,-7.2509,72.1992
2022-04,-24.3435,56.2223
2022-05,-20.2207,55.8933
2022-06,-34.8732,42.4002
2022-07,-23.8988,54.8512
2022-08,-24.1161,47.8158
2022-09,-35.7581,33.7039
2022-10,-18.7357,44.0824
2022-11,-9.9838,51.4429
2022-12,-12.1382,42.1877
2023-01,8.2528,50.5828
2023-02,13.8073,46.2373
2023-03,28.2514,52.2586
2023-04,32.4352,54.0684
2023-05,35.4582,54.1996
2023-06,46.0827,63.548
2023-07,51.3898,68.1942
2023-08,51.1311,64.7317
2023-09,45.4427,56.2636
2023-10,42.4439,52.2886
2023-11,59.2154,65.5989
2023-12,66.1777,72.448
2024-01,71.7025,74.4576
2024-02,102.5143,82.7177
2024-03,125.3896,89.0282
2024-04,160.2295,80.6052
2024-05,163.9733,88.8335
2024-06,152.5722,96.0415
2024-07,169.2609,97.3583
2024-08,174.5809,101.128
2024-09,195.1596,105.7758
2024-10,167.2158,102.865
2024-11,181.6987,113.7798
2024-12,157.6966,107.7813
2025-01,212.7344,112.3595
2025-02,216.0023,108.6721
2025-03,204.2462,96.0839
2025-04,204.4946,93.6359
2025-05,269.2699,104.9003
2025-06,284.0271,114.5225
2025-07,302.4047,118.4064
2025-08,305.8794,121.8959
2025-09,341.3245,128.6764
2025-10,350.2747,133.0211
2025-11,332.1371,132.409
2025-12,343.6994,131.4906
2026-01,339.0845,133.7386
2026-02,386.719,130.7823
2026-03,360.0759,126.4154
