Date,rate_GOOG_5D,rate_VOO_20D
2016-01,0.1443,-3.28
2016-02,-6.5276,-1.8027
2016-03,1.0343,4.5695
2016-04,-6.3327,3.6217
2016-05,0.7416,4.6859
2016-06,-5.3078,4.2011
2016-07,5.8255,7.3141
2016-08,4.7933,6.5393
2016-09,5.6234,5.8417
2016-10,6.0393,3.4057
2016-11,1.9473,7.0013
2016-12,3.7473,8.6582
2017-01,6.8009,9.9058
2017-02,9.8442,13.4199
2017-03,9.9318,12.5861
2017-04,19.3622,12.9516
2017-05,25.8546,13.7442
2017-06,17.1877,14.6714
2017-07,19.0614,16.2352
2017-08,19.2254,15.7466
2017-09,20.8064,17.3266
2017-10,27.0386,19.2474
2017-11,26.4154,22.0133
2017-12,28.4227,22.6523
2018-01,42.2834,28.4864
2018-02,32.8391,22.6807
2018-03,23.0613,18.8927
2018-04,20.5282,18.6249
2018-05,27.7071,20.8091
2018-06,30.2569,20.9812
2018-07,41.0316,24.5763
2018-08,39.8485,27.7899
2018-09,35.8318,27.6747
2018-10,21.6101,18.1983
2018-11,22.9939,19.8597
2018-12,15.7869,8.8011
2019-01,24.342,17.1215
2019-02,24.1075,20.4441
2019-03,29.3203,22.1999
2019-04,30.2043,26.5012
2019-05,20.2798,17.9266
2019-06,17.3327,25.7011
2019-07,31.5602,26.9004
2019-08,27.7878,24.2426
2019-09,30.473,26.142
2019-10,34.2108,28.3311
2019-11,38.2038,32.3256
2019-12,40.7807,35.5485
2020-01,50.1157,34.7719
2020-02,39.2532,23.2511
2020-03,20.2605,7.5779
2020-04,39.132,21.2186
2020-05,46.6638,26.5774
2020-06,44.235,28.3766
2020-07,50.4292,35.3325
2020-08,64.7587,44.0777
2020-09,47.1366,37.914
2020-10,61.3617,33.7633
2020-11,74.1289,47.7098
2020-12,71.9901,52.3667
2021-01,78.976,49.9654
2021-02,97.0908,53.2453
2021-03,98.5637,60.4049
2021-04,129.4644,67.83
2021-05,127.6085,67.8968
2021-06,134.5226,70.6358
2021-07,150.8633,73.7106
2021-08,167.4551,77.7187
2021-09,142.8231,68.3779
2021-10,167.8408,79.119
2021-11,155.1072,76.6949
2021-12,156.9158,83.6042
2022-01,138.9697,72.9303
2022-02,135.6581,66.8181
2022-03,142.0979,72.1992
2022-04,97.8026,56.2223
2022-05,94.9484,55.8933
2022-06,85.8088,42.4002
2022-07,96.9887,54.8512
2022-08,83.2248,47.8158
2022-09,60.499,33.7039
2022-10,57.2882,44.0824
2022-11,67.877,51.4429
2022-12,46.1435,42.1877
2023-01,63.8571,50.5828
2023-02,47.484,46.2373
2023-03,69.2019,52.2586
2023-04,75.2442,54.0684
2023-05,98.7971,54.1996
2023-06,93.8478,63.548
2023-07,112.1471,68.1942
2023-08,117.6535,64.7317
2023-09,107.7345,56.2636
2023-10,96.3312,52.2886
2023-11,108.7205,65.5989
2023-12,118.4511,72.448
2024-01,118.5699,74.4576
2024-02,114.2596,82.7177
2024-03,132.1274,89.0282
2024-04,149.532,80.6052
2024-05,162.0813,88.8335
2024-06,174.9445,96.0415
2024-07,157.9531,97.3583
2024-08,144.5406,101.128
2024-09,146.5189,105.7758
2024-10,153.185,102.865
2024-11,148.5481,113.7798
2024-12,176.3714,107.7813
2025-01,196.6168,112.3595
2025-02,147.0051,108.6721
2025-03,123.1763,96.0839
2025-04,128.6745,93.6359
2025-05,144.4285,104.9003
2025-06,149.8407,114.5225
2025-07,170.1984,118.4064
2025-08,197.5213,121.8959
2025-09,237.69,128.6764
2025-10,288.3693,133.0211
2025-11,338.3751,132.409
2025-12,327.2582,131.4906
2026-01,357.9899,133.7386
2026-02,318.6482,130.7823
2026-03,309.2894,129.7769
