Date,rate_EXE_5D,rate_VOO_20D
2021-02,-1.782,-3.9557
2021-03,-3.1676,3.2038
2021-04,1.5549,10.6289
2021-05,19.3423,10.6957
2021-06,12.7389,13.4347
2021-07,14.468,16.5096
2021-08,16.7589,20.5177
2021-09,26.2604,11.1768
2021-10,27.5316,21.9179
2021-11,17.1139,19.4938
2021-12,25.6843,26.4031
2022-01,30.5096,15.7292
2022-02,45.1702,9.617
2022-03,69.2982,14.9981
2022-04,54.7869,-0.9788
2022-05,83.9967,-1.3078
2022-06,49.0227,-14.8009
2022-07,69.6947,-2.3499
2022-08,81.4773,-9.3853
2022-09,66.5377,-23.4972
2022-10,77.3017,-13.1187
2022-11,81.2127,-5.7582
2022-12,62.1572,-15.0134
2023-01,46.6577,-6.6183
2023-02,35.0746,-10.9638
2023-03,27.9591,-4.9424
2023-04,37.988,-3.1326
2023-05,26.3377,-3.0015
2023-06,39.3768,6.347
2023-07,39.151,10.9931
2023-08,45.1391,7.5306
2023-09,40.4205,-0.9375
2023-10,38.9537,-4.9125
2023-11,29.4845,8.3979
2023-12,23.2349,15.2469
2024-01,22.86,17.2565
2024-02,31.2286,25.5166
2024-03,40.8315,31.8271
2024-04,41.3986,23.4041
2024-05,43.2051,31.6324
2024-06,28.5073,38.8404
2024-07,18.7227,40.1573
2024-08,16.3699,43.9269
2024-09,28.0603,48.5747
2024-10,31.2781,45.664
2024-11,53.428,56.5787
2024-12,53.1967,50.5802
2025-01,55.2147,55.1585
2025-02,49.9689,51.471
2025-03,68.5441,38.8828
2025-04,56.033,36.4348
2025-05,74.0488,47.6993
2025-06,73.8536,57.3214
2025-07,54.657,61.2053
2025-08,44.1376,64.6948
2025-09,57.3347,71.4753
2025-10,51.9799,75.8201
2025-11,79.1149,75.2079
2025-12,60.9352,74.2895
2026-01,62.8853,76.5375
2026-02,55.399,73.5813
2026-03,55.3208,72.5759
