Date,rate_IONQ_5D,rate_VOO_20D
2021-01,0.0,0.0
2021-02,6.8376,1.8861
2021-03,30.6654,4.4968
2021-04,-12.8263,6.9406
2021-05,-7.8495,9.5821
2021-06,-13.2532,8.28
2021-07,-4.6446,9.9979
2021-08,-10.9938,10.5877
2021-09,-9.1766,12.5958
2021-10,-15.2604,7.1546
2021-11,46.8221,12.8099
2021-12,88.8919,9.3115
2022-01,46.0553,14.7791
2022-02,4.1054,8.3816
2022-03,23.3748,2.3273
2022-04,9.2088,7.9423
2022-05,-34.2389,-2.2692
2022-06,-54.4473,-2.7101
2022-07,-59.6917,-8.9386
2022-08,-48.0445,-1.3672
2022-09,-40.0567,-4.8006
2022-10,-45.8447,-13.6145
2022-11,-37.7759,-6.3173
2022-12,-43.5371,-0.4606
2023-01,-59.4675,-6.1678
2023-02,-40.8006,1.0871
2023-03,-41.0224,-2.9062
2023-04,-19.4732,1.9536
2023-05,-27.4975,3.4287
2023-06,43.4162,4.871
2023-07,79.1787,10.4559
2023-08,159.2534,13.3864
2023-09,124.1859,11.7071
2023-10,87.3126,5.8405
2023-11,26.8857,4.5084
2023-12,67.9473,13.3686
2024-01,51.1717,17.4785
2024-02,23.7941,20.4477
2024-03,28.217,25.7121
2024-04,19.4779,28.57
2024-05,4.2191,22.4884
2024-06,-3.0255,28.4833
2024-07,-18.5543,33.6077
2024-08,-9.9855,32.2262
2024-09,-10.9608,36.5006
2024-10,-1.6952,38.2062
2024-11,78.7444,37.9503
2024-12,335.2148,44.589
2025-01,390.0583,40.3093
2025-02,355.7809,43.243
2025-03,179.1506,40.575
2025-04,160.1545,32.43
2025-05,203.5209,31.1779
2025-06,341.5285,37.8148
2025-07,332.6128,44.1371
2025-08,305.5013,44.2614
2025-09,348.528,48.8997
2025-10,553.0593,53.8386
2025-11,536.28,56.0107
2025-12,373.7598,54.6838
2026-01,345.2041,54.6019
2026-02,271.3538,53.7862
