Date,rate_ABBV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.8675,-1.8027
2016-03,2.1502,4.5695
2016-04,9.2727,3.6217
2016-05,10.7752,4.6859
2016-06,7.2546,4.2011
2016-07,14.348,7.3141
2016-08,8.817,6.5393
2016-09,6.1212,5.8417
2016-10,-5.7137,3.4057
2016-11,3.1776,7.0013
2016-12,6.2237,8.6582
2017-01,4.2792,9.9058
2017-02,5.2431,13.4199
2017-03,10.3946,12.5861
2017-04,12.1319,12.9516
2017-05,11.4979,13.7442
2017-06,21.6543,14.6714
2017-07,17.2649,16.2352
2017-08,25.308,15.7466
2017-09,46.3726,17.3266
2017-10,47.5497,19.2474
2017-11,56.0776,22.0133
2017-12,53.4336,22.6523
2018-01,76.5995,28.4864
2018-02,79.0456,22.6807
2018-03,44.022,18.8927
2018-04,46.7498,18.6249
2018-05,48.4658,20.8091
2018-06,37.5524,20.9812
2018-07,37.1338,24.5763
2018-08,41.4073,27.7899
2018-09,38.112,27.6747
2018-10,16.9355,18.1983
2018-11,40.7345,19.8597
2018-12,36.5293,8.8011
2019-01,19.6482,17.1215
2019-02,17.5627,20.4441
2019-03,19.0764,22.1999
2019-04,21.5478,26.5012
2019-05,16.9828,17.9266
2019-06,10.5269,25.7011
2019-07,5.8845,26.9004
2019-08,4.4376,24.2426
2019-09,20.1517,26.142
2019-10,30.9156,28.3311
2019-11,43.4147,32.3256
2019-12,43.8247,35.5485
2020-01,32.7087,34.7719
2020-02,39.6879,23.2511
2020-03,23.5098,7.5779
2020-04,34.7329,21.2186
2020-05,51.095,26.5774
2020-06,59.107,28.3766
2020-07,54.6556,35.3325
2020-08,55.069,44.0777
2020-09,41.0112,37.914
2020-10,38.2167,33.7633
2020-11,69.0321,47.7098
2020-12,72.0103,52.3667
2021-01,65.4655,49.9654
2021-02,72.847,53.2453
2021-03,72.4453,60.4049
2021-04,78.5513,67.83
2021-05,80.0424,67.8968
2021-06,77.959,70.6358
2021-07,84.5493,73.7106
2021-08,90.3598,77.7187
2021-09,68.9542,68.3779
2021-10,80.5547,79.119
2021-11,80.3677,76.6949
2021-12,110.4864,83.6042
2022-01,113.4459,72.9303
2022-02,128.7424,66.8181
2022-03,149.0338,72.1992
2022-04,126.0292,56.2223
2022-05,125.138,55.8933
2022-06,132.3198,42.4002
2022-07,118.2373,54.8512
2022-08,103.1699,47.8158
2022-09,101.4867,33.7039
2022-10,120.5164,44.0824
2022-11,141.1493,51.4429
2022-12,140.1042,42.1877
2023-01,120.2063,50.5828
2023-02,127.9364,46.2373
2023-03,134.4981,52.2586
2023-04,123.084,54.0684
2023-05,102.3619,54.1996
2023-06,96.556,63.548
2023-07,119.1645,68.1942
2023-08,114.0765,64.7317
2023-09,115.8798,56.2636
2023-10,105.442,52.2886
2023-11,106.05,65.5989
2023-12,123.0347,72.448
2024-01,144.1156,74.4576
2024-02,159.6167,82.7177
2024-03,166.8481,89.0282
2024-04,143.6378,80.6052
2024-05,140.1693,88.8335
2024-06,154.0035,96.0415
2024-07,175.0929,97.3583
2024-08,189.5306,101.128
2024-09,189.4393,105.7758
2024-10,199.2126,102.865
2024-11,166.8242,113.7798
2024-12,157.7009,107.7813
2025-01,167.5537,112.3595
2025-02,202.3525,108.6721
2025-03,201.2336,96.0839
2025-04,181.1941,93.6359
2025-05,166.7441,104.9003
2025-06,164.5832,114.5225
2025-07,170.2724,118.4064
2025-08,199.0749,121.8959
2025-09,227.2404,128.6764
2025-10,208.6169,133.0211
2025-11,220.4504,132.409
2025-12,219.7267,131.4906
2026-01,219.9136,133.7386
2026-02,231.0301,130.7823
2026-03,222.9167,126.4154
