Date,rate_MU_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-8.6369,0.6142
2016-03,-8.8547,6.1243
2016-04,-5.4658,4.6014
2016-05,13.3788,5.2878
2016-06,8.9563,4.687
2016-07,8.0728,7.7174
2016-08,27.6721,6.8637
2016-09,33.4754,5.9421
2016-10,25.8257,3.4868
2016-11,36.5741,6.843
2016-12,49.3532,8.2789
2017-01,51.415,9.3935
2017-02,43.4615,12.821
2017-03,72.9191,12.0413
2017-04,61.1909,12.4367
2017-05,75.1089,13.2406
2017-06,65.8837,14.1802
2017-07,52.7077,15.6892
2017-08,70.586,15.2834
2017-09,105.6037,16.8657
2017-10,126.2152,18.7799
2017-11,111.1535,21.509
2017-12,100.3173,22.1709
2018-01,108.3331,27.9258
2018-02,115.3142,22.2578
2018-03,145.8113,18.4465
2018-04,111.7673,18.162
2018-05,160.2541,20.337
2018-06,132.4148,20.5057
2018-07,129.5491,24.0401
2018-08,124.3289,27.2093
2018-09,89.9441,27.1082
2018-10,56.1986,17.9327
2018-11,57.8555,19.5577
2018-12,28.5685,8.5722
2019-01,53.9239,16.8959
2019-02,63.0179,20.2219
2019-03,63.2592,21.9603
2019-04,64.4755,26.2654
2019-05,26.2448,20.4953
2019-06,48.5918,25.3574
2019-07,71.3168,26.514
2019-08,73.0808,24.0717
2019-09,78.8745,25.9454
2019-10,89.2835,27.4086
2019-11,87.1877,31.384
2019-12,109.8328,34.5804
2020-01,104.795,33.8021
2020-02,112.1611,22.3336
2020-03,93.7783,15.1867
2020-04,102.5317,29.6272
2020-05,93.8012,28.2305
2020-06,97.3558,28.0341
2020-07,91.8942,33.4885
2020-08,81.9378,42.106
2020-09,86.181,38.2475
2020-10,89.7451,34.0563
2020-11,123.3771,42.9575
2020-12,148.0471,47.5016
2021-01,162.0833,45.1166
2021-02,187.0821,43.0879
2021-03,148.1822,49.8512
2021-04,132.1656,56.911
2021-05,124.9756,54.6413
2021-06,125.3082,57.2758
2021-07,104.0617,60.2291
2021-08,92.3982,64.0213
2021-09,84.2644,55.5224
2021-10,82.1755,65.5435
2021-11,120.0096,65.5034
2021-12,125.2299,68.4598
2022-01,120.065,58.7763
2022-02,136.6922,53.2596
2022-03,124.2161,58.2953
2022-04,95.6964,52.2757
2022-05,96.738,51.0659
2022-06,64.3077,38.0304
2022-07,84.0696,50.1558
2022-08,67.2356,43.3725
2022-09,47.4594,29.6913
2022-10,59.6302,39.7003
2022-11,64.0241,46.8631
2022-12,49.9079,40.5677
2023-01,80.8079,48.7988
2023-02,82.2293,45.5387
2023-03,91.9338,49.6635
2023-04,83.6425,48.4614
2023-05,86.5451,48.1923
2023-06,71.8158,57.2072
2023-07,91.2764,61.7125
2023-08,89.1368,59.5229
2023-09,82.6588,51.3631
2023-10,75.719,47.5518
2023-11,99.0532,60.474
2023-12,122.8669,67.125
2024-01,122.9111,69.1001
2024-02,134.2162,77.1309
2024-03,204.0905,83.2841
2024-04,206.9763,75.177
2024-05,233.1043,83.1784
2024-06,248.0229,90.182
2024-07,189.0302,90.9416
2024-08,149.2897,97.1965
2024-09,178.0756,98.31
2024-10,177.1865,95.5089
2024-11,135.1233,105.9957
2024-12,101.1741,100.2436
2025-01,117.0085,104.6582
2025-02,128.0334,101.1287
2025-03,115.199,89.045
2025-04,120.7899,88.6819
2025-05,169.6864,99.6712
2025-06,252.5399,109.046
2025-07,238.5105,112.823
2025-08,251.6262,112.1707
2025-09,391.2874,118.6779
2025-10,553.6977,122.8639
2025-11,585.8058,122.3204
2025-12,722.1169,121.4705
2026-01,1086.3645,123.6468
2026-02,983.5317,120.852
