Date,rate_HLT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.0804,-1.8027
2016-03,13.4908,4.5695
2016-04,8.4032,3.6217
2016-05,0.9605,4.6859
2016-06,9.1073,4.2011
2016-07,10.7253,7.3141
2016-08,12.8349,6.5393
2016-09,7.0842,5.8417
2016-10,4.8523,3.4057
2016-11,16.1802,7.0013
2016-12,24.5085,8.6582
2017-01,26.4939,9.9058
2017-02,23.8099,13.4199
2017-03,25.1703,12.5861
2017-04,24.6741,12.9516
2017-05,39.1201,13.7442
2017-06,27.4345,14.6714
2017-07,27.3721,16.2352
2017-08,29.9038,15.7466
2017-09,38.6739,17.3266
2017-10,42.486,19.2474
2017-11,51.1821,22.0133
2017-12,53.4746,22.6523
2018-01,62.2901,28.4864
2018-02,50.8234,22.6807
2018-03,45.5354,18.8927
2018-04,44.0551,18.6249
2018-05,46.1211,20.8091
2018-06,41.73,20.9812
2018-07,39.4983,24.5763
2018-08,36.7057,27.7899
2018-09,41.1088,27.6747
2018-10,23.3646,18.1983
2018-11,30.4121,19.8597
2018-12,23.157,8.8011
2019-01,27.0946,17.1215
2019-02,41.2465,20.4441
2019-03,40.1828,22.1999
2019-04,45.6363,26.5012
2019-05,48.6924,17.9266
2019-06,61.2079,25.7011
2019-07,57.8055,26.9004
2019-08,50.0001,24.2426
2019-09,50.0793,26.142
2019-10,55.1652,28.3311
2019-11,67.006,32.3256
2019-12,74.9181,35.5485
2020-01,68.5338,34.7719
2020-02,50.9866,23.2511
2020-03,5.354,7.5779
2020-04,16.9321,21.2186
2020-05,22.2524,26.5774
2020-06,12.7972,28.3766
2020-07,14.9878,35.3325
2020-08,38.0951,44.0777
2020-09,29.7434,37.914
2020-10,32.9597,33.7633
2020-11,56.2116,47.7098
2020-12,66.674,52.3667
2021-01,50.9054,49.9654
2021-02,83.0434,53.2453
2021-03,77.6719,60.4049
2021-04,87.7909,67.83
2021-05,81.4747,67.8968
2021-06,73.5378,70.6358
2021-07,87.8735,73.7106
2021-08,77.2391,77.7187
2021-09,86.3274,68.3779
2021-10,101.5929,79.119
2021-11,87.8218,76.6949
2021-12,115.54,83.6042
2022-01,99.0533,72.9303
2022-02,102.8119,66.8181
2022-03,105.3973,72.1992
2022-04,108.789,56.2223
2022-05,88.3301,55.8933
2022-06,48.1497,42.4002
2022-07,69.5205,54.8512
2022-08,67.9097,47.8158
2022-09,58.2391,33.7039
2022-10,76.6322,44.0824
2022-11,85.4667,51.4429
2022-12,63.4496,42.1877
2023-01,86.7877,50.5828
2023-02,85.2099,46.2373
2023-03,79.5854,52.2586
2023-04,82.6722,54.0684
2023-05,71.9697,54.1996
2023-06,82.996,63.548
2023-07,94.5035,68.1942
2023-08,85.1643,64.7317
2023-09,86.1244,56.2636
2023-10,86.8712,52.2886
2023-11,105.7524,65.5989
2023-12,122.4139,72.448
2024-01,131.9149,74.4576
2024-02,146.8495,82.7177
2024-03,156.1505,89.0282
2024-04,135.4682,80.6052
2024-05,138.2406,88.8335
2024-06,157.6429,96.0415
2024-07,151.9916,97.3583
2024-08,156.8803,101.128
2024-09,168.004,105.7758
2024-10,171.4447,102.865
2024-11,191.6879,113.7798
2024-12,182.737,107.7813
2025-01,191.1883,112.3595
2025-02,199.9961,108.6721
2025-03,156.1328,96.0839
2025-04,152.4241,93.6359
2025-05,177.2527,104.9003
2025-06,195.5442,114.5225
2025-07,195.7531,118.4064
2025-08,203.3345,121.8959
2025-09,183.6049,128.6764
2025-10,179.3637,133.0211
2025-11,208.6772,132.409
2025-12,209.3345,131.4906
2026-01,219.6553,133.7386
2026-02,232.2925,130.7823
2026-03,214.7457,126.4154
