Date,rate_SYY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.7578,-0.6039
2016-03,7.2818,5.2168
2016-04,3.6855,3.9893
2016-05,6.2675,4.6886
2016-06,11.2782,4.1237
2016-07,11.859,7.1795
2016-08,10.4328,6.3603
2016-09,3.1914,5.6281
2016-10,1.6292,3.196
2016-11,12.214,6.7601
2016-12,15.5945,8.3626
2017-01,10.2195,10.2536
2017-02,9.9996,13.6522
2017-03,7.5445,12.7005
2017-04,9.6745,12.9818
2017-05,12.5144,13.693
2017-06,3.0258,13.5288
2017-07,8.1482,15.0481
2017-08,7.7968,14.5515
2017-09,9.9581,16.1037
2017-10,13.5139,17.9557
2017-11,17.1574,20.6805
2017-12,22.4255,21.3029
2018-01,27.4581,28.0338
2018-02,19.8923,22.1441
2018-03,19.7081,18.3021
2018-04,24.8704,18.0902
2018-05,28.8162,20.2208
2018-06,34.1502,20.3415
2018-07,31.5719,23.8746
2018-08,45.2712,27.0072
2018-09,42.2254,27.7347
2018-10,37.8575,18.1437
2018-11,29.1174,19.7418
2018-12,19.2302,8.5778
2019-01,22.2322,17.1263
2019-02,28.6169,20.3748
2019-03,26.2893,22.0514
2019-04,33.0564,26.2651
2019-05,29.2581,17.5943
2019-06,32.014,25.308
2019-07,27.9191,26.4355
2019-08,37.8599,23.7232
2019-09,47.252,26.1617
2019-10,47.6698,28.2707
2019-11,47.7123,32.1761
2019-12,55.6587,35.3247
2020-01,50.2938,35.2749
2020-02,21.1948,23.5454
2020-03,-17.4041,7.7105
2020-04,3.3626,21.425
2020-05,1.4301,26.7132
2020-06,0.4009,28.4357
2020-07,-2.1118,35.3124
2020-08,11.4489,43.9511
2020-09,15.0617,37.6938
2020-10,2.7346,33.4637
2020-11,32.2512,47.2943
2020-12,37.0716,51.8455
2021-01,32.8294,50.305
2021-02,47.2172,53.4604
2021-03,45.5264,59.4101
2021-04,55.7417,66.6882
2021-05,47.9758,66.6274
2021-06,41.2456,69.2184
2021-07,34.9603,72.1455
2021-08,44.2647,75.992
2021-09,42.3312,66.6118
2021-10,38.6921,77.1553
2021-11,25.7475,74.6519
2021-12,40.6153,81.397
2022-01,40.109,70.7122
2022-02,55.425,64.6001
2022-03,45.7796,69.8532
2022-04,51.889,54.0273
2022-05,48.8491,53.6333
2022-06,49.9641,40.2902
2022-07,49.5509,52.5094
2022-08,44.1536,45.531
2022-09,23.4604,31.5965
2022-10,51.549,41.7445
2022-11,50.837,48.9584
2022-12,32.7226,39.838
2023-01,35.3252,48.5632
2023-02,29.8215,44.2258
2023-03,34.0445,48.9578
2023-04,33.5991,50.6836
2023-05,21.394,50.7741
2023-06,28.4588,59.884
2023-07,32.5959,64.3798
2023-08,20.6654,60.953
2023-09,14.1843,52.6248
2023-10,15.6509,48.7132
2023-11,25.3518,61.6976
2023-12,26.7116,68.3392
2024-01,41.0857,71.0275
2024-02,40.6501,79.0476
2024-03,40.5707,83.99
2024-04,29.1549,75.7344
2024-05,26.262,83.6813
2024-06,23.4968,89.2836
2024-07,33.2278,90.5002
2024-08,35.1782,94.0822
2024-09,35.3342,98.2932
2024-10,30.4722,95.412
2024-11,33.8962,105.8418
2024-12,32.4309,99.9875
2025-01,27.184,105.351
2025-02,31.4758,101.7087
2025-03,30.2862,89.4719
2025-04,24.5564,87.0451
2025-05,27.1254,97.8575
2025-06,31.6157,107.0685
2025-07,38.9105,110.7404
2025-08,40.0375,114.0337
2025-09,43.2913,121.6081
2025-10,29.8263,125.7153
2025-11,32.9215,125.0226
2025-12,28.2487,124.0393
2026-01,46.8647,127.2713
2026-02,28.119,125.3185
