Date,rate_TXN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.6668,-1.8027
2016-03,6.9022,4.5695
2016-04,4.941,3.6217
2016-05,10.4311,4.6859
2016-06,12.2231,4.2011
2016-07,23.7435,7.3141
2016-08,20.3881,6.5393
2016-09,19.1788,5.8417
2016-10,18.3731,3.4057
2016-11,22.7852,7.0013
2016-12,19.7578,8.6582
2017-01,24.8122,9.9058
2017-02,24.7002,13.4199
2017-03,29.2246,12.5861
2017-04,26.0122,12.9516
2017-05,29.6697,13.7442
2017-06,19.4701,14.6714
2017-07,26.0526,16.2352
2017-08,26.9292,15.7466
2017-09,35.9903,17.3266
2017-10,45.8244,19.2474
2017-11,44.7386,22.0133
2017-12,53.3658,22.6523
2018-01,59.6787,28.4864
2018-02,55.4766,22.6807
2018-03,47.1789,18.8927
2018-04,42.0589,18.6249
2018-05,57.6037,20.8091
2018-06,53.2347,20.9812
2018-07,53.8343,24.5763
2018-08,53.6378,27.7899
2018-09,45.1061,27.6747
2018-10,25.4471,18.1983
2018-11,33.9349,19.8597
2018-12,25.8737,8.8011
2019-01,34.3598,17.1215
2019-02,40.157,20.4441
2019-03,39.4854,22.1999
2019-04,53.7579,26.5012
2019-05,37.9894,17.9266
2019-06,50.7914,25.7011
2019-07,63.9108,26.9004
2019-08,60.8613,24.2426
2019-09,66.5726,26.142
2019-10,51.929,28.3311
2019-11,53.6556,32.3256
2019-12,62.7725,35.5485
2020-01,53.0182,34.7719
2020-02,43.7671,23.2511
2020-03,25.1324,7.5779
2020-04,44.8204,21.2186
2020-05,50.8254,26.5774
2020-06,60.2917,28.3766
2020-07,61.0811,35.3325
2020-08,78.2654,44.0777
2020-09,77.6527,37.914
2020-10,79.7646,33.7633
2020-11,98.9399,47.7098
2020-12,100.7869,52.3667
2021-01,104.7317,49.9654
2021-02,110.8759,53.2453
2021-03,129.3407,60.4049
2021-04,118.3321,67.83
2021-05,130.1597,67.8968
2021-06,131.1783,70.6358
2021-07,130.875,73.7106
2021-08,129.2948,77.7187
2021-09,128.9864,68.3779
2021-10,125.622,79.119
2021-11,129.6824,76.6949
2021-12,123.2705,83.6042
2022-01,115.0899,72.9303
2022-02,102.1926,66.8181
2022-03,116.7697,72.1992
2022-04,99.7338,56.2223
2022-05,110.0412,55.8933
2022-06,81.4376,42.4002
2022-07,114.1173,54.8512
2022-08,96.4445,47.8158
2022-09,82.9368,33.7039
2022-10,93.1642,44.0824
2022-11,115.6373,51.4429
2022-12,96.2081,42.1877
2023-01,110.6875,50.5828
2023-02,102.5326,46.2373
2023-03,118.4361,52.2586
2023-04,95.1596,54.0684
2023-05,106.1532,54.1996
2023-06,112.1408,63.548
2023-07,115.2388,68.1942
2023-08,99.8462,64.7317
2023-09,88.0666,56.2636
2023-10,68.6739,52.2886
2023-11,80.566,65.5989
2023-12,100.5831,72.448
2024-01,88.9779,74.4576
2024-02,96.5361,82.7177
2024-03,103.572,89.0282
2024-04,105.1105,80.6052
2024-05,127.0577,88.8335
2024-06,125.2553,96.0415
2024-07,136.211,97.3583
2024-08,147.1605,101.128
2024-09,136.8567,105.7758
2024-10,133.2528,102.865
2024-11,129.5539,113.7798
2024-12,113.0066,107.7813
2025-01,110.2307,112.3595
2025-02,125.2826,108.6721
2025-03,105.5437,96.0839
2025-04,83.8056,93.6359
2025-05,109.1379,104.9003
2025-06,136.3617,114.5225
2025-07,106.6328,118.4064
2025-08,130.0337,121.8959
2025-09,107.7364,128.6764
2025-10,83.3902,133.0211
2025-11,93.6546,132.409
2025-12,98.8511,131.4906
2026-01,149.2423,133.7386
2026-02,145.639,130.7823
2026-03,128.9827,126.4154
