Date,rate_HII_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.2603,-1.8027
2016-03,7.2626,4.5695
2016-04,11.2292,3.6217
2016-05,15.7466,4.6859
2016-06,23.4673,4.2011
2016-07,23.2806,7.3141
2016-08,15.6073,6.5393
2016-09,5.8566,5.8417
2016-10,10.6693,3.4057
2016-11,21.7973,7.0013
2016-12,23.5736,8.6582
2017-01,28.1489,9.9058
2017-02,42.1383,13.4199
2017-03,28.1033,12.5861
2017-04,26.753,12.9516
2017-05,22.4519,13.7442
2017-06,15.3035,14.6714
2017-07,26.6784,16.2352
2017-08,30.4445,15.7466
2017-09,36.4569,17.3266
2017-10,38.5761,19.2474
2017-11,42.914,22.0133
2017-12,37.761,22.6523
2018-01,37.3106,28.4864
2018-02,50.1541,22.6807
2018-03,45.929,18.8927
2018-04,36.1821,18.6249
2018-05,23.2338,20.8091
2018-06,20.0684,20.9812
2018-07,28.3375,24.5763
2018-08,34.0978,27.7899
2018-09,39.3614,27.6747
2018-10,17.9507,18.1983
2018-11,16.2426,19.8597
2018-12,2.2859,8.8011
2019-01,10.8613,17.1215
2019-02,12.6171,20.4441
2019-03,11.1072,22.1999
2019-04,18.9537,26.5012
2019-05,9.658,17.9266
2019-06,19.8452,25.7011
2019-07,21.2745,26.9004
2019-08,11.1892,24.2426
2019-09,12.4156,26.142
2019-10,19.5304,28.3311
2019-11,33.8278,32.3256
2019-12,32.7056,35.5485
2020-01,37.346,34.7719
2020-02,8.1813,23.2511
2020-03,-4.1883,7.5779
2020-04,0.8268,21.2186
2020-05,5.8821,26.5774
2020-06,-7.5842,28.3766
2020-07,-7.8508,35.3325
2020-08,-18.9331,44.0777
2020-09,-24.3475,37.914
2020-10,-20.2854,33.7633
2020-11,-11.8366,47.7098
2020-12,-6.0588,52.3667
2021-01,-13.2028,49.9654
2021-02,-2.1162,53.2453
2021-03,14.5183,60.4049
2021-04,17.8929,67.83
2021-05,20.3959,67.8968
2021-06,17.0383,70.6358
2021-07,13.6723,73.7106
2021-08,13.5705,77.7187
2021-09,7.2344,68.3779
2021-10,12.4811,79.119
2021-11,-0.312,76.6949
2021-12,4.8853,83.6042
2022-01,5.0762,72.9303
2022-02,15.3019,66.8181
2022-03,12.3154,72.1992
2022-04,19.5874,56.2223
2022-05,18.7172,55.8933
2022-06,22.6095,42.4002
2022-07,21.7538,54.8512
2022-08,29.6357,47.8158
2022-09,24.3832,33.7039
2022-10,43.9963,44.0824
2022-11,30.8708,51.4429
2022-12,29.7951,42.1877
2023-01,23.7663,50.5828
2023-02,21.2094,46.2373
2023-03,16.3724,52.2586
2023-04,13.1835,54.0684
2023-05,13.5697,54.1996
2023-06,28.1612,63.548
2023-07,29.0119,68.1942
2023-08,24.155,64.7317
2023-09,15.0559,56.2636
2023-10,23.4398,52.2886
2023-11,34.2554,65.5989
2023-12,46.6265,72.448
2024-01,45.7413,74.4576
2024-02,64.2851,82.7177
2024-03,63.5458,89.0282
2024-04,54.8087,80.6052
2024-05,41.729,88.8335
2024-06,38.9671,96.0415
2024-07,57.5009,97.3583
2024-08,60.0019,101.128
2024-09,50.4807,105.7758
2024-10,4.9722,102.865
2024-11,13.775,113.7798
2024-12,9.2399,107.7813
2025-01,13.9389,112.3595
2025-02,2.0947,108.6721
2025-03,20.2749,96.0839
2025-04,35.5591,93.6359
2025-05,32.5698,104.9003
2025-06,44.0263,114.5225
2025-07,65.8389,118.4064
2025-08,62.9216,121.8959
2025-09,73.4747,128.6764
2025-10,93.3243,133.0211
2025-11,89.9948,132.409
2025-12,105.2761,131.4906
2026-01,152.6703,133.7386
2026-02,165.7656,130.7823
2026-03,161.9278,127.7382
