Date,rate_ULTA_5D,rate_VOO_20D
2016-01,0.9275,1.4254
2016-02,-7.7726,0.6142
2016-03,10.422,6.1243
2016-04,14.3432,4.6014
2016-05,24.3085,5.2878
2016-06,23.4835,4.687
2016-07,27.2918,7.7174
2016-08,16.9813,6.8637
2016-09,11.1265,5.9421
2016-10,12.4816,3.4868
2016-11,18.9128,6.843
2016-12,15.3182,8.2789
2017-01,21.6117,9.3935
2017-02,20.6261,12.821
2017-03,24.2705,12.0413
2017-04,21.0893,12.4367
2017-05,29.7547,13.2406
2017-06,20.7025,14.1802
2017-07,5.1378,15.6892
2017-08,-7.7898,15.2834
2017-09,-5.3241,16.8657
2017-10,-15.2731,18.7799
2017-11,-6.2505,21.509
2017-12,-4.9873,22.1709
2018-01,-5.8018,27.9258
2018-02,-10.5174,22.2578
2018-03,-10.3459,18.4465
2018-04,8.753,18.162
2018-05,6.7289,20.337
2018-06,0.5818,20.5057
2018-07,5.1404,24.0401
2018-08,11.8133,27.2093
2018-09,20.9335,27.1082
2018-10,12.3123,17.9327
2018-11,22.4126,19.5577
2018-12,16.408,8.5722
2019-01,38.2564,16.8959
2019-02,46.8067,20.2219
2019-03,62.2709,21.9603
2019-04,60.7998,26.2654
2019-05,52.1307,20.4953
2019-06,54.3068,25.3574
2019-07,53.545,26.514
2019-08,1.5694,24.0717
2019-09,7.3062,25.9454
2019-10,-0.4225,27.4086
2019-11,-0.2189,31.384
2019-12,8.01,34.5804
2020-01,14.052,33.8021
2020-02,12.373,22.3336
2020-03,-2.4238,15.1867
2020-04,21.3623,29.6272
2020-05,25.9114,28.2305
2020-06,17.0613,28.0341
2020-07,10.5935,33.4885
2020-08,26.0885,42.106
2020-09,24.1053,38.2475
2020-10,12.3268,34.0563
2020-11,46.1552,42.9575
2020-12,49.8783,47.5016
2021-01,51.0128,45.1166
2021-02,62.6603,43.0879
2021-03,51.6165,49.8512
2021-04,58.9388,56.911
2021-05,65.7334,54.6413
2021-06,59.3691,57.2758
2021-07,53.8961,60.2291
2021-08,76.5362,64.0213
2021-09,59.6163,55.5224
2021-10,58.2709,65.5435
2021-11,69.0352,65.5034
2021-12,68.3859,68.4598
2022-01,47.7132,58.7763
2022-02,51.3926,53.2596
2022-03,49.1965,58.2953
2022-04,50.5536,52.2757
2022-05,44.6861,51.0659
2022-06,32.0208,38.0304
2022-07,31.3253,50.1558
2022-08,41.3333,43.3725
2022-09,36.33,29.6913
2022-10,41.1416,39.7003
2022-11,55.9021,46.8631
2022-12,56.1693,40.5677
2023-01,70.1593,48.7988
2023-02,69.9819,45.5387
2023-03,77.429,49.6635
2023-04,74.1707,48.4614
2023-05,29.1169,48.1923
2023-06,47.8524,57.2072
2023-07,39.2474,61.7125
2023-08,31.1097,59.5229
2023-09,25.6456,51.3631
2023-10,19.68,47.5518
2023-11,33.4773,60.474
2023-12,52.9889,67.125
2024-01,56.1865,69.1001
2024-02,70.024,77.1309
2024-03,59.6214,83.2841
2024-04,24.8728,75.177
2024-05,21.6354,83.1784
2024-06,18.5893,90.182
2024-07,17.4709,90.9416
2024-08,18.0772,97.1965
2024-09,25.9143,98.31
2024-10,23.6497,95.5089
2024-11,26.6038,105.9957
2024-12,42.1308,100.2436
2025-01,34.3536,104.6582
2025-02,19.1484,101.1287
2025-03,19.0427,89.045
2025-04,23.3605,88.6819
2025-05,46.7561,99.6712
2025-06,42.8774,109.046
2025-07,54.1686,112.823
2025-08,43.9453,112.1707
2025-09,59.2431,118.6779
2025-10,50.9255,122.8639
2025-11,55.9865,122.3204
2025-12,74.6052,121.4705
2026-01,86.1282,123.6468
2026-02,96.0829,120.852
