Date,rate_BR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.5973,-1.8027
2016-03,9.1914,4.5695
2016-04,7.7872,3.6217
2016-05,13.8853,4.6859
2016-06,13.8466,4.2011
2016-07,16.0483,7.3141
2016-08,16.5828,6.5393
2016-09,12.6678,5.8417
2016-10,6.2669,3.4057
2016-11,5.8999,7.0013
2016-12,8.5526,8.6582
2017-01,8.2675,9.9058
2017-02,12.2677,13.4199
2017-03,10.7074,12.5861
2017-04,13.2457,12.9516
2017-05,22.0247,13.7442
2017-06,20.6927,14.6714
2017-07,20.077,16.2352
2017-08,22.5854,15.7466
2017-09,26.2598,17.3266
2017-10,32.9473,19.2474
2017-11,38.1143,22.0133
2017-12,37.5654,22.6523
2018-01,44.8071,28.4864
2018-02,48.9714,22.6807
2018-03,61.3447,18.8927
2018-04,55.5571,18.6249
2018-05,65.4083,20.8091
2018-06,63.2273,20.9812
2018-07,58.226,24.5763
2018-08,87.0267,27.7899
2018-09,80.7006,27.6747
2018-10,58.1128,18.1983
2018-11,41.6874,19.8597
2018-12,28.4253,8.8011
2019-01,33.7218,17.1215
2019-02,33.3303,20.4441
2019-03,36.2879,22.1999
2019-04,54.1491,26.5012
2019-05,61.5645,17.9266
2019-06,64.3194,25.7011
2019-07,62.0754,26.9004
2019-08,63.5664,24.2426
2019-09,56.5612,26.142
2019-10,56.3049,28.3311
2019-11,53.2303,32.3256
2019-12,52.5753,35.5485
2020-01,46.1261,34.7719
2020-02,27.219,23.2511
2020-03,15.7915,7.5779
2020-04,41.3587,21.2186
2020-05,46.806,26.5774
2020-06,52.6994,28.3766
2020-07,61.501,35.3325
2020-08,64.0528,44.0777
2020-09,57.1914,37.914
2020-10,62.7851,33.7633
2020-11,72.6053,47.7098
2020-12,79.4095,52.3667
2021-01,64.3069,49.9654
2021-02,64.5767,53.2453
2021-03,77.6436,60.4049
2021-04,82.7483,67.83
2021-05,82.4466,67.8968
2021-06,84.1885,70.6358
2021-07,96.4433,73.7106
2021-08,93.5981,77.7187
2021-09,86.7419,68.3779
2021-10,98.5915,79.119
2021-11,86.3471,76.6949
2021-12,101.4881,83.6042
2022-01,74.2989,72.9303
2022-02,59.1977,66.8181
2022-03,69.3858,72.1992
2022-04,55.9557,56.2223
2022-05,57.4764,55.8933
2022-06,53.5092,42.4002
2022-07,72.0532,54.8512
2022-08,82.4569,47.8158
2022-09,53.7617,33.7039
2022-10,59.1884,44.0824
2022-11,57.4764,51.4429
2022-12,41.8192,42.1877
2023-01,58.3966,50.5828
2023-02,47.6562,46.2373
2023-03,53.9144,52.2586
2023-04,52.0896,54.0684
2023-05,52.877,54.1996
2023-06,72.6266,63.548
2023-07,74.2008,68.1942
2023-08,92.2589,64.7317
2023-09,84.7345,56.2636
2023-10,75.2075,52.2886
2023-11,98.0846,65.5989
2023-12,109.9835,72.448
2024-01,107.2764,74.4576
2024-02,105.5692,82.7177
2024-03,106.5887,89.0282
2024-04,94.0637,80.6052
2024-05,100.4775,88.8335
2024-06,98.1318,96.0415
2024-07,114.1841,97.3583
2024-08,111.947,101.128
2024-09,113.899,105.7758
2024-10,108.7037,102.865
2024-11,132.451,113.7798
2024-12,124.0899,107.7813
2025-01,134.9008,112.3595
2025-02,136.6145,108.6721
2025-03,137.4503,96.0839
2025-04,136.1477,93.6359
2025-05,135.423,104.9003
2025-06,135.2763,114.5225
2025-07,138.3998,118.4064
2025-08,144.984,121.8959
2025-09,128.0443,128.6764
2025-10,110.0587,133.0211
2025-11,116.4233,132.409
2025-12,113.5758,131.4906
2026-01,87.8237,133.7386
2026-02,76.4442,130.7823
2026-03,73.2248,126.4154
