Date,rate_BA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.3459,-1.8027
2016-03,0.6782,4.5695
2016-04,6.5953,3.6217
2016-05,-0.6224,4.6859
2016-06,2.3602,4.2011
2016-07,4.9658,7.3141
2016-08,1.971,6.5393
2016-09,3.4925,5.8417
2016-10,11.4808,3.4057
2016-11,17.5628,7.0013
2016-12,19.9171,8.6582
2017-01,24.2202,9.9058
2017-02,36.0089,13.4199
2017-03,30.9889,12.5861
2017-04,34.8299,12.9516
2017-05,35.895,13.7442
2017-06,41.1068,14.6714
2017-07,70.2403,16.2352
2017-08,65.8435,15.7466
2017-09,72.5297,17.3266
2017-10,71.7346,19.2474
2017-11,81.8065,22.0133
2017-12,90.1084,22.6523
2018-01,124.082,28.4864
2018-02,125.1678,22.6807
2018-03,99.8636,18.8927
2018-04,99.6847,18.6249
2018-05,108.1948,20.8091
2018-06,94.869,20.9812
2018-07,103.679,24.5763
2018-08,93.8614,27.7899
2018-09,107.1588,27.6747
2018-10,94.593,18.1983
2018-11,88.3691,19.8597
2018-12,72.9756,8.8011
2019-01,104.439,17.1215
2019-02,131.0664,20.4441
2019-03,97.5291,22.1999
2019-04,93.1122,26.5012
2019-05,73.6689,17.9266
2019-06,83.1673,25.7011
2019-07,69.9237,26.9004
2019-08,80.6938,24.2426
2019-09,86.9083,26.142
2019-10,65.392,28.3311
2019-11,77.587,32.3256
2019-12,56.6017,35.5485
2020-01,51.885,34.7719
2020-02,31.4457,23.2511
2020-03,-28.9461,7.5779
2020-04,-32.0098,21.2186
2020-05,-28.9626,26.5774
2020-06,-10.1893,28.3766
2020-07,-22.3508,35.3325
2020-08,-15.1406,44.0777
2020-09,-18.1235,37.914
2020-10,-28.201,33.7633
2020-11,5.3248,47.7098
2020-12,6.8862,52.3667
2021-01,-3.0964,49.9654
2021-02,5.8185,53.2453
2021-03,26.8671,60.4049
2021-04,16.349,67.83
2021-05,22.3743,67.8968
2021-06,18.315,70.6358
2021-07,11.6178,73.7106
2021-08,8.0183,77.7187
2021-09,8.1258,68.3779
2021-10,1.6404,79.119
2021-11,-2.9117,76.6949
2021-12,-1.0897,83.6042
2022-01,-1.6044,72.9303
2022-02,0.8642,66.8181
2022-03,-5.8686,72.1992
2022-04,-26.7235,56.2223
2022-05,-34.9833,55.8933
2022-06,-31.8808,42.4002
2022-07,-20.2099,54.8512
2022-08,-19.5594,47.8158
2022-09,-38.9507,33.7039
2022-10,-27.63,44.0824
2022-11,-8.8128,51.4429
2022-12,-2.7702,42.1877
2023-01,8.7293,50.5828
2023-02,2.786,46.2373
2023-03,8.2767,52.2586
2023-04,5.3129,54.0684
2023-05,4.721,54.1996
2023-06,7.4284,63.548
2023-07,21.4047,68.1942
2023-08,13.669,64.7317
2023-09,-2.8241,56.2636
2023-10,-5.2552,52.2886
2023-11,17.4747,65.5989
2023-12,31.9496,72.448
2024-01,6.6055,74.4576
2024-02,2.8544,82.7177
2024-03,-2.564,89.0282
2024-04,-15.1964,80.6052
2024-05,-10.1342,88.8335
2024-06,-7.809,96.0415
2024-07,-3.4109,97.3583
2024-08,-11.8507,101.128
2024-09,-22.7324,105.7758
2024-10,-23.9206,102.865
2024-11,-20.6043,113.7798
2024-12,-9.3941,107.7813
2025-01,-9.5531,112.3595
2025-02,-10.4337,108.6721
2025-03,-12.4312,96.0839
2025-04,-5.7925,93.6359
2025-05,6.62,104.9003
2025-06,7.696,114.5225
2025-07,13.9434,118.4064
2025-08,20.3981,121.8959
2025-09,10.5893,128.6764
2025-10,2.934,133.0211
2025-11,-3.232,132.409
2025-12,11.1956,131.4906
2026-01,19.5815,133.7386
2026-02,16.2652,130.7823
2026-03,-0.3884,117.6607
