Date,rate_BDX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.3354,-1.8027
2016-03,2.882,4.5695
2016-04,8.0884,3.6217
2016-05,9.811,4.6859
2016-06,10.5262,4.2011
2016-07,13.1229,7.3141
2016-08,12.1876,6.5393
2016-09,12.8088,5.8417
2016-10,4.2611,3.4057
2016-11,4.6829,7.0013
2016-12,2.7909,8.6582
2017-01,9.7988,9.9058
2017-02,12.5596,13.4199
2017-03,12.325,12.5861
2017-04,13.6843,12.9516
2017-05,14.2602,13.7442
2017-06,17.3109,14.6714
2017-07,20.1449,16.2352
2017-08,17.9851,15.7466
2017-09,15.5193,17.3266
2017-10,22.2584,19.2474
2017-11,32.5735,22.0133
2017-12,23.573,22.6523
2018-01,39.084,28.4864
2018-02,25.8269,22.6807
2018-03,22.3805,18.8927
2018-04,30.0377,18.6249
2018-05,23.2637,20.8091
2018-06,32.733,20.9812
2018-07,37.5957,24.5763
2018-08,42.6659,27.7899
2018-09,41.3079,27.6747
2018-10,23.7754,18.1983
2018-11,34.8903,19.8597
2018-12,20.646,8.8011
2019-01,32.8808,17.1215
2019-02,31.6864,20.4441
2019-03,31.7161,22.1999
2019-04,26.2144,26.5012
2019-05,21.8307,17.9266
2019-06,31.329,25.7011
2019-07,30.9794,26.9004
2019-08,30.8552,24.2426
2019-09,30.86,26.142
2019-10,31.7776,28.3311
2019-11,32.3599,32.3256
2019-12,38.9314,35.5485
2020-01,39.7599,34.7719
2020-02,20.1567,23.2511
2020-03,16.1083,7.5779
2020-04,27.2831,21.2186
2020-05,23.9691,26.5774
2020-06,20.1144,28.3766
2020-07,40.6978,35.3325
2020-08,20.82,44.0777
2020-09,15.8676,37.914
2020-10,14.8425,33.7633
2020-11,16.4252,47.7098
2020-12,24.1129,52.3667
2021-01,29.4165,49.9654
2021-02,18.8112,53.2453
2021-03,19.8633,60.4049
2021-04,22.3426,67.83
2021-05,18.6127,67.8968
2021-06,19.3899,70.6358
2021-07,25.2007,73.7106
2021-08,22.8601,77.7187
2021-09,20.0666,68.3779
2021-10,16.757,79.119
2021-11,15.3135,76.6949
2021-12,22.4338,83.6042
2022-01,23.4162,72.9303
2022-02,31.3975,66.8181
2022-03,28.856,72.1992
2022-04,22.3761,56.2223
2022-05,26.3341,55.8933
2022-06,21.8889,42.4002
2022-07,20.4779,54.8512
2022-08,24.2035,47.8158
2022-09,9.8142,33.7039
2022-10,16.1517,44.0824
2022-11,22.5233,51.4429
2022-12,25.12,42.1877
2023-01,23.806,50.5828
2023-02,14.8904,46.2373
2023-03,21.5229,52.2586
2023-04,29.4723,54.0684
2023-05,18.1401,54.1996
2023-06,29.1814,63.548
2023-07,35.9725,68.1942
2023-08,35.9849,64.7317
2023-09,25.9189,56.2636
2023-10,22.8531,52.2886
2023-11,14.5703,65.5989
2023-12,18.5665,72.448
2024-01,15.9421,74.4576
2024-02,14.1881,82.7177
2024-03,20.25,89.0282
2024-04,13.8479,80.6052
2024-05,12.4415,88.8335
2024-06,13.6196,96.0415
2024-07,17.0736,97.3583
2024-08,17.5876,101.128
2024-09,17.2459,105.7758
2024-10,13.4377,102.865
2024-11,7.6466,113.7798
2024-12,10.486,107.7813
2025-01,20.4501,112.3595
2025-02,9.5701,108.6721
2025-03,11.6987,96.0839
2025-04,0.9217,93.6359
2025-05,-15.7098,104.9003
2025-06,-15.2301,114.5225
2025-07,-12.188,118.4064
2025-08,-4.8227,121.8959
2025-09,-7.1299,128.6764
2025-10,-11.2931,133.0211
2025-11,-3.6075,132.409
2025-12,-3.0229,131.4906
2026-01,-20.0212,133.7386
2026-02,-11.6015,130.7823
2026-03,-18.1731,126.4154
