Date,rate_ARES_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.3436,-0.6039
2016-03,34.7662,5.2168
2016-04,18.8389,3.9893
2016-05,12.373,4.6886
2016-06,10.0343,4.1237
2016-07,33.5154,7.1795
2016-08,38.3432,6.3603
2016-09,27.2339,5.6281
2016-10,19.4263,3.196
2016-11,21.8229,6.7601
2016-12,34.7022,8.3626
2017-01,37.8559,10.2536
2017-02,48.1938,13.6522
2017-03,28.7218,12.7005
2017-04,31.5622,12.9818
2017-05,20.7387,13.693
2017-06,19.1507,13.5288
2017-07,21.2443,15.0481
2017-08,19.8546,14.5515
2017-09,22.0808,16.1037
2017-10,19.0347,17.9557
2017-11,21.3925,20.6805
2017-12,30.6253,21.3029
2018-01,52.5022,28.0338
2018-02,59.5698,22.1441
2018-03,37.7558,18.3021
2018-04,40.1422,18.0902
2018-05,39.5164,20.2208
2018-06,30.828,20.3415
2018-07,33.7362,23.8746
2018-08,32.3563,27.0072
2018-09,45.9013,27.7347
2018-10,22.1459,18.1437
2018-11,38.7928,19.7418
2018-12,10.6853,8.5778
2019-01,29.5573,17.1263
2019-02,45.701,20.3748
2019-03,43.8576,22.0514
2019-04,50.1454,26.2651
2019-05,56.2926,17.5943
2019-06,59.5657,25.308
2019-07,76.4903,26.4355
2019-08,73.7209,23.7232
2019-09,61.9649,26.1617
2019-10,77.017,28.2707
2019-11,95.8692,32.1761
2019-12,110.7521,35.3247
2020-01,112.9171,35.2749
2020-02,101.628,23.5454
2020-03,80.4618,7.7105
2020-04,93.9812,21.425
2020-05,116.1244,26.7132
2020-06,126.9528,28.4357
2020-07,125.7152,35.3124
2020-08,126.0016,43.9511
2020-09,125.5645,37.6938
2020-10,133.4947,33.4637
2020-11,145.9915,47.2943
2020-12,156.2027,51.8455
2021-01,146.0002,50.305
2021-02,179.9469,53.4604
2021-03,200.7683,59.4101
2021-04,178.4975,66.6882
2021-05,189.3715,66.6274
2021-06,232.1905,69.2184
2021-07,269.6774,72.1455
2021-08,293.6718,75.992
2021-09,274.4055,66.6118
2021-10,324.6702,77.1553
2021-11,301.8768,74.6519
2021-12,300.0655,81.397
2022-01,288.0548,70.7122
2022-02,290.3833,64.6001
2022-03,289.7133,69.8532
2022-04,214.202,54.0273
2022-05,234.3556,53.6333
2022-06,167.3595,40.2902
2022-07,233.7886,52.5094
2022-08,242.0443,45.531
2022-09,185.8777,31.5965
2022-10,246.7058,41.7445
2022-11,255.0085,48.9584
2022-12,209.8002,39.838
2023-01,275.0673,48.5632
2023-02,260.879,44.2258
2023-03,273.4434,48.9578
2023-04,288.4733,50.6836
2023-05,282.7366,50.7741
2023-06,322.9483,59.884
2023-07,331.5072,64.3798
2023-08,345.6995,60.953
2023-09,342.4833,52.6248
2023-10,320.2577,48.7132
2023-11,374.2366,61.6976
2023-12,401.1293,68.3392
2024-01,411.8464,71.0275
2024-02,453.6997,79.0476
2024-03,453.9432,83.99
2024-04,449.4062,75.7344
2024-05,473.4942,83.6813
2024-06,444.2456,89.2836
2024-07,520.0056,90.5002
2024-08,487.2811,94.0822
2024-09,528.8703,98.2932
2024-10,570.671,95.412
2024-11,600.6922,105.8418
2024-12,599.4078,99.9875
2025-01,682.6759,105.351
2025-02,569.0466,101.7087
2025-03,473.3033,89.4719
2025-04,491.4428,87.0451
2025-05,536.4927,97.8575
2025-06,564.9076,107.0685
2025-07,606.3411,110.7404
2025-08,576.6777,114.0337
2025-09,508.0061,121.6081
2025-10,461.1941,125.7153
2025-11,487.3169,125.0226
2025-12,504.7029,124.0393
2026-01,460.2737,127.2713
2026-02,403.4492,125.3185
