Date,rate_HST_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.3267,-1.8027
2016-03,13.7364,4.5695
2016-04,5.4888,3.6217
2016-05,1.6272,4.6859
2016-06,7.9447,4.2011
2016-07,16.6181,7.3141
2016-08,14.9507,6.5393
2016-09,0.4187,5.8417
2016-10,-0.2041,3.4057
2016-11,15.1557,7.0013
2016-12,21.7134,8.6582
2017-01,15.1432,9.9058
2017-02,13.6369,13.4199
2017-03,18.0183,12.5861
2017-04,12.4489,12.9516
2017-05,11.9327,13.7442
2017-06,14.2693,14.6714
2017-07,15.937,16.2352
2017-08,11.7475,15.7466
2017-09,14.676,17.3266
2017-10,20.5979,19.2474
2017-11,21.0704,22.0133
2017-12,22.135,22.6523
2018-01,26.7991,28.4864
2018-02,12.4856,22.6807
2018-03,13.7415,18.8927
2018-04,18.8319,18.6249
2018-05,30.6792,20.8091
2018-06,27.4583,20.9812
2018-07,25.7914,24.5763
2018-08,28.4177,27.7899
2018-09,26.1953,27.6747
2018-10,13.6318,18.1983
2018-11,12.5587,19.8597
2018-12,2.8878,8.8011
2019-01,11.3671,17.1215
2019-02,20.5911,20.4441
2019-03,16.9521,22.1999
2019-04,18.5466,26.5012
2019-05,11.1383,17.9266
2019-06,12.7692,25.7011
2019-07,7.3617,26.9004
2019-08,-1.0769,24.2426
2019-09,10.3471,26.142
2019-10,4.493,28.3311
2019-11,11.3457,32.3256
2019-12,19.4223,35.5485
2020-01,4.8578,34.7719
2020-02,-7.1508,23.2511
2020-03,-27.7911,7.5779
2020-04,-18.6406,21.2186
2020-05,-20.6028,26.5774
2020-06,-27.9372,28.3766
2020-07,-27.5131,35.3325
2020-08,-23.9803,44.0777
2020-09,-26.5579,37.914
2020-10,-28.273,33.7633
2020-11,-3.371,47.7098
2020-12,0.7579,52.3667
2021-01,-6.6835,49.9654
2021-02,14.3456,53.2453
2021-03,15.9213,60.4049
2021-04,24.6306,67.83
2021-05,17.4846,67.8968
2021-06,16.631,70.6358
2021-07,8.4714,73.7106
2021-08,12.6271,77.7187
2021-09,10.8979,68.3779
2021-10,14.0909,79.119
2021-11,6.2203,76.6949
2021-12,17.5814,83.6042
2022-01,17.0035,72.9303
2022-02,23.0288,66.8181
2022-03,30.5753,72.1992
2022-04,36.3229,56.2223
2022-05,33.4499,55.8933
2022-06,4.343,42.4002
2022-07,18.4379,54.8512
2022-08,17.9401,47.8158
2022-09,6.0297,33.7039
2022-10,25.953,44.0824
2022-11,26.0405,51.4429
2022-12,8.6986,42.1877
2023-01,27.5189,50.5828
2023-02,13.3811,46.2373
2023-03,11.9339,52.2586
2023-04,9.6302,54.0684
2023-05,12.4308,54.1996
2023-06,14.8506,63.548
2023-07,25.3745,68.1942
2023-08,7.3683,64.7317
2023-09,10.4096,56.2636
2023-10,6.2524,52.2886
2023-11,19.815,65.5989
2023-12,36.351,72.448
2024-01,34.2286,74.4576
2024-02,44.4469,82.7177
2024-03,44.959,89.0282
2024-04,31.8672,80.6052
2024-05,25.0755,88.8335
2024-06,29.2788,96.0415
2024-07,25.72,97.3583
2024-08,26.8774,101.128
2024-09,27.3362,105.7758
2024-10,24.4865,102.865
2024-11,32.7499,113.7798
2024-12,28.1361,107.7813
2025-01,24.0032,112.3595
2025-02,19.492,108.6721
2025-03,6.6038,96.0839
2025-04,5.8322,93.6359
2025-05,16.0063,104.9003
2025-06,16.3889,114.5225
2025-07,18.8894,118.4064
2025-08,29.9814,121.8959
2025-09,29.8005,128.6764
2025-10,21.9372,133.0211
2025-11,33.9781,132.409
2025-12,37.1086,131.4906
2026-01,45.7131,133.7386
2026-02,53.6464,130.7823
2026-03,50.084,126.4154
