Date,rate_WMB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-18.4495,-0.6039
2016-03,-9.6972,5.2168
2016-04,12.8098,3.9893
2016-05,26.552,4.6886
2016-06,22.3316,4.1237
2016-07,32.9269,7.1795
2016-08,50.9791,6.3603
2016-09,60.6931,5.6281
2016-10,46.9088,3.196
2016-11,50.1176,6.7601
2016-12,49.1366,8.3626
2017-01,38.1925,10.2536
2017-02,33.0189,13.6522
2017-03,37.6462,12.7005
2017-04,39.7724,12.9818
2017-05,28.1376,13.693
2017-06,35.1565,13.5288
2017-07,39.6341,15.0481
2017-08,28.6625,14.5515
2017-09,29.6297,16.1037
2017-10,21.7389,17.9557
2017-11,23.0092,20.6805
2017-12,29.2522,21.3029
2018-01,33.0282,28.0338
2018-02,16.3767,22.1441
2018-03,5.0875,18.3021
2018-04,8.6065,18.0902
2018-05,12.9872,20.2208
2018-06,15.0014,20.3415
2018-07,25.6854,23.8746
2018-08,24.1066,27.0072
2018-09,15.4683,27.7347
2018-10,2.7927,18.1437
2018-11,6.687,19.7418
2018-12,-5.8906,8.5778
2019-01,14.6202,17.1263
2019-02,13.0744,20.3748
2019-03,22.7739,22.0514
2019-04,20.3824,26.2651
2019-05,11.604,17.5943
2019-06,19.838,25.308
2019-07,4.8429,26.4355
2019-08,0.2088,23.7232
2019-09,3.7746,26.1617
2019-10,-3.8392,28.2707
2019-11,-2.052,32.1761
2019-12,3.9516,35.3247
2020-01,-9.1126,35.2749
2020-02,-16.2164,23.5454
2020-03,-35.778,7.7105
2020-04,-10.7218,21.425
2020-05,-5.5108,26.7132
2020-06,-10.0829,28.4357
2020-07,-9.3322,35.3124
2020-08,-1.4817,43.9511
2020-09,-4.8504,37.6938
2020-10,-6.8346,33.4637
2020-11,2.0304,47.2943
2020-12,-0.5858,51.8455
2021-01,5.1503,50.305
2021-02,12.9901,53.4604
2021-03,18.9083,59.4101
2021-04,21.8768,66.6882
2021-05,31.3321,66.6274
2021-06,33.835,69.2184
2021-07,25.6936,72.1455
2021-08,23.4714,75.992
2021-09,31.3607,66.6118
2021-10,41.6209,77.1553
2021-11,34.4158,74.6519
2021-12,32.1883,81.397
2022-01,51.3343,70.7122
2022-02,57.2692,64.6001
2022-03,69.1762,69.8532
2022-04,72.5398,54.0273
2022-05,85.3418,53.6333
2022-06,57.1693,40.2902
2022-07,70.7734,52.5094
2022-08,69.5017,45.531
2022-09,43.9339,31.5965
2022-10,63.7492,41.7445
2022-11,72.6791,48.9584
2022-12,64.9173,39.838
2023-01,61.6516,48.5632
2023-02,50.2063,44.2258
2023-03,50.6046,48.9578
2023-04,51.9646,50.6836
2023-05,43.3128,50.7741
2023-06,64.7637,59.884
2023-07,73.101,64.3798
2023-08,72.6368,60.953
2023-09,69.821,52.6248
2023-10,72.6318,48.7132
2023-11,83.714,61.6976
2023-12,75.2318,68.3392
2024-01,74.3874,71.0275
2024-02,79.9225,79.0476
2024-03,96.4701,83.99
2024-04,92.3436,75.7344
2024-05,107.0605,83.6813
2024-06,113.1844,89.2836
2024-07,114.1665,90.5002
2024-08,126.9893,94.0822
2024-09,128.7497,98.2932
2024-10,160.8009,95.412
2024-11,189.5875,105.8418
2024-12,168.3914,99.9875
2025-01,174.8304,105.351
2025-02,186.5446,101.7087
2025-03,194.8618,89.4719
2025-04,187.0398,87.0451
2025-05,194.6425,97.8575
2025-06,206.2795,107.0685
2025-07,190.6495,110.7404
2025-08,178.8529,114.0337
2025-09,207.6112,121.6081
2025-10,179.1852,125.7153
2025-11,192.1583,125.0226
2025-12,188.8422,124.0393
2026-01,222.9106,127.2713
2026-02,98.9218,125.3185
