Date,rate_LITE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,12.5591,-1.8027
2016-03,21.0258,4.5695
2016-04,8.9582,3.6217
2016-05,7.3353,4.6859
2016-06,1.3496,4.2011
2016-07,26.8177,7.3141
2016-08,43.2445,6.5393
2016-09,64.8697,5.8417
2016-10,27.5003,3.4057
2016-11,48.4698,7.0013
2016-12,39.6969,8.6582
2017-01,34.1716,9.9058
2017-02,59.2439,13.4199
2017-03,80.1455,12.5861
2017-04,40.4215,12.9516
2017-05,84.0058,13.7442
2017-06,79.197,14.6714
2017-07,92.0294,16.2352
2017-08,70.1472,15.7466
2017-09,59.4531,17.3266
2017-10,82.1105,19.2474
2017-11,52.8595,22.0133
2017-12,36.4512,22.6523
2018-01,27.8275,28.4864
2018-02,66.7702,22.6807
2018-03,71.7935,18.8927
2018-04,33.8518,18.6249
2018-05,54.3207,20.8091
2018-06,50.1725,20.9812
2018-07,34.0827,24.5763
2018-08,72.7071,27.7899
2018-09,50.5565,27.6747
2018-10,35.9041,18.1983
2018-11,9.7205,19.8597
2018-12,3.4028,8.8011
2019-01,20.2624,17.1215
2019-02,21.7296,20.4441
2019-03,37.6814,22.1999
2019-04,49.8077,26.5012
2019-05,-2.8987,17.9266
2019-06,28.1954,25.7011
2019-07,35.1709,26.9004
2019-08,32.3399,24.2426
2019-09,26.4341,26.142
2019-10,47.3201,28.3311
2019-11,71.8789,32.3256
2019-12,83.4123,35.5485
2020-01,73.6269,34.7719
2020-02,76.8078,23.2511
2020-03,66.0277,7.5779
2020-04,81.0066,21.2186
2020-05,62.7361,26.5774
2020-06,79.4056,28.3766
2020-07,102.8826,35.3325
2020-08,86.2633,44.0777
2020-09,61.4217,37.914
2020-10,76.4312,33.7633
2020-11,82.941,47.7098
2020-12,99.2288,52.3667
2021-01,95.5201,49.9654
2021-02,86.0958,53.2453
2021-03,87.477,60.4049
2021-04,73.2627,67.83
2021-05,64.6964,67.8968
2021-06,65.0689,70.6358
2021-07,67.9798,73.7106
2021-08,72.245,77.7187
2021-09,65.0659,68.3779
2021-10,62.2207,79.119
2021-11,69.4913,76.6949
2021-12,105.4108,83.6042
2022-01,95.6981,72.9303
2022-02,89.4028,66.8181
2022-03,85.8357,72.1992
2022-04,53.7439,56.2223
2022-05,62.2166,55.8933
2022-06,48.9342,42.4002
2022-07,68.9397,54.8512
2022-08,55.2485,47.8158
2022-09,26.9169,33.7039
2022-10,37.4308,44.0824
2022-11,1.1179,51.4429
2022-12,-3.9736,42.1877
2023-01,10.8021,50.5828
2023-02,-1.0389,46.2373
2023-03,-0.6395,52.2586
2023-04,-11.2162,54.0684
2023-05,-2.5333,54.1996
2023-06,4.5606,63.548
2023-07,-3.5284,68.1942
2023-08,-0.211,64.7317
2023-09,-16.6797,56.2636
2023-10,-27.5214,52.2886
2023-11,-20.5636,65.5989
2023-12,-2.5155,72.448
2024-01,2.1919,74.4576
2024-02,-9.8684,82.7177
2024-03,-11.8912,89.0282
2024-04,-18.4657,80.6052
2024-05,-18.7621,88.8335
2024-06,-4.713,96.0415
2024-07,-3.0691,97.3583
2024-08,7.951,101.128
2024-09,18.6679,105.7758
2024-10,19.4356,102.865
2024-11,62.3029,113.7798
2024-12,56.1137,107.7813
2025-01,57.655,112.3595
2025-02,29.9473,108.6721
2025-03,14.9572,96.0839
2025-04,8.7372,93.6359
2025-05,32.9584,104.9003
2025-06,74.4326,114.5225
2025-07,101.2604,118.4064
2025-08,141.759,121.8959
2025-09,194.674,128.6764
2025-10,262.9099,133.0211
2025-11,481.7267,132.409
2025-12,554.8548,131.4906
2026-01,591.2737,133.7386
2026-02,1127.5531,130.7823
2026-03,1121.6005,117.6098
2026-04,1456.6961,139.3863
2026-05,1363.9241,150.8374
2026-06,1344.6316,146.9895
