Date,rate_PLD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.2721,-1.8027
2016-03,10.1125,4.5695
2016-04,10.3125,3.6217
2016-05,13.2949,4.6859
2016-06,15.4637,4.2011
2016-07,25.8824,7.3141
2016-08,19.5321,6.5393
2016-09,19.2504,5.8417
2016-10,14.3159,3.4057
2016-11,10.5387,7.0013
2016-12,14.785,8.6582
2017-01,5.1907,9.9058
2017-02,9.5954,13.4199
2017-03,11.6641,12.5861
2017-04,16.326,12.9516
2017-05,17.7191,13.7442
2017-06,24.1141,14.6714
2017-07,27.378,16.2352
2017-08,31.2324,15.7466
2017-09,32.6137,17.3266
2017-10,33.4397,19.2474
2017-11,35.3229,22.0133
2017-12,33.0469,22.6523
2018-01,32.9461,28.4864
2018-02,22.814,22.6807
2018-03,27.5669,18.8927
2018-04,30.4351,18.6249
2018-05,28.263,20.8091
2018-06,30.8744,20.9812
2018-07,29.7391,24.5763
2018-08,31.8433,27.7899
2018-09,34.8664,27.6747
2018-10,27.3328,18.1983
2018-11,32.1646,19.8597
2018-12,15.4207,8.8011
2019-01,35.4314,17.1215
2019-02,36.2376,20.4441
2019-03,39.9811,22.1999
2019-04,48.077,26.5012
2019-05,41.1407,17.9266
2019-06,53.385,25.7011
2019-07,53.1177,26.9004
2019-08,57.5701,24.2426
2019-09,60.2667,26.142
2019-10,63.7235,28.3311
2019-11,69.3832,32.3256
2019-12,64.495,35.5485
2020-01,70.0165,34.7719
2020-02,53.0157,23.2511
2020-03,48.0658,7.5779
2020-04,63.8716,21.2186
2020-05,66.849,26.5774
2020-06,69.922,28.3766
2020-07,90.4027,35.3325
2020-08,82.4183,44.0777
2020-09,79.8068,37.914
2020-10,75.8757,33.7633
2020-11,76.0836,47.7098
2020-12,75.1445,52.3667
2021-01,80.0805,49.9654
2021-02,71.5974,53.2453
2021-03,83.4512,60.4049
2021-04,100.1532,67.83
2021-05,100.8433,67.8968
2021-06,103.2106,70.6358
2021-07,115.9997,73.7106
2021-08,125.3627,77.7187
2021-09,109.2556,68.3779
2021-10,139.9818,79.119
2021-11,147.5129,76.6949
2021-12,175.1216,83.6042
2022-01,154.0362,72.9303
2022-02,134.3701,66.8181
2022-03,158.7418,72.1992
2022-04,154.6936,56.2223
2022-05,100.9982,55.8933
2022-06,85.5689,42.4002
2022-07,107.7827,54.8512
2022-08,93.9233,47.8158
2022-09,58.5481,33.7039
2022-10,72.0376,44.0824
2022-11,82.0674,51.4429
2022-12,76.9659,42.1877
2023-01,101.8748,50.5828
2023-02,91.5542,46.2373
2023-03,93.978,52.2586
2023-04,93.65,54.0684
2023-05,91.5505,54.1996
2023-06,88.9448,63.548
2023-07,91.2136,68.1942
2023-08,89.3889,64.7317
2023-09,74.2031,56.2636
2023-10,55.72,52.2886
2023-11,76.9318,65.5989
2023-12,108.2247,72.448
2024-01,96.8425,74.4576
2024-02,105.9891,82.7177
2024-03,104.6479,89.0282
2024-04,59.6639,80.6052
2024-05,72.2195,88.8335
2024-06,75.8231,96.0415
2024-07,96.4903,97.3583
2024-08,98.2931,101.128
2024-09,96.462,105.7758
2024-10,74.9428,102.865
2024-11,80.1564,113.7798
2024-12,63.8781,107.7813
2025-01,84.1999,112.3595
2025-02,90.6134,108.6721
2025-03,72.7764,96.0839
2025-04,57.3792,93.6359
2025-05,66.6788,104.9003
2025-06,62.3195,114.5225
2025-07,64.2951,118.4064
2025-08,74.4786,121.8959
2025-09,76.5134,128.6764
2025-10,90.503,133.0211
2025-11,96.5255,132.409
2025-12,95.9315,131.4906
2026-01,99.5662,133.7386
2026-02,117.021,130.7823
2026-03,103.695,126.4154
