Date,rate_ORLY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.3357,-0.6039
2016-03,1.7727,5.2168
2016-04,-3.2142,3.9893
2016-05,-2.1431,4.6886
2016-06,0.6623,4.1237
2016-07,7.553,7.1795
2016-08,2.7004,6.3603
2016-09,2.3178,5.6281
2016-10,-3.5329,3.196
2016-11,0.4267,6.7601
2016-12,1.8228,8.3626
2017-01,-4.0773,10.2536
2017-02,-0.0915,13.6522
2017-03,-0.8016,12.7005
2017-04,-8.4856,12.9818
2017-05,-10.0733,13.693
2017-06,-18.3092,13.5288
2017-07,-22.8169,15.0481
2017-08,-24.8656,14.5515
2017-09,-16.1847,16.1037
2017-10,-17.1726,17.9557
2017-11,-6.3286,20.6805
2017-12,-4.3196,21.3029
2018-01,5.2844,28.0338
2018-02,-3.0574,22.1441
2018-03,-1.6722,18.3021
2018-04,2.016,18.0902
2018-05,7.1906,20.2208
2018-06,8.5259,20.3415
2018-07,21.0259,23.8746
2018-08,31.9099,27.0072
2018-09,36.5879,27.7347
2018-10,25.0522,18.1437
2018-11,34.3362,19.7418
2018-12,32.3431,8.5778
2019-01,32.4699,17.1263
2019-02,41.8941,20.3748
2019-03,46.8677,22.0514
2019-04,41.8841,26.2651
2019-05,38.0985,17.5943
2019-06,36.3064,25.308
2019-07,39.5191,26.4355
2019-08,39.6499,23.7232
2019-09,45.0164,26.1617
2019-10,57.2495,28.2707
2019-11,58.2887,32.1761
2019-12,55.4738,35.3247
2020-01,44.0658,35.2749
2020-02,29.8902,23.5454
2020-03,5.4579,7.7105
2020-04,35.2963,21.425
2020-05,45.3558,26.7132
2020-06,45.9317,28.4357
2020-07,64.1092,35.3124
2020-08,58.8247,43.9511
2020-09,56.0911,37.6938
2020-10,46.7669,33.4637
2020-11,47.8046,47.2943
2020-12,50.2264,51.8455
2021-01,41.2332,50.305
2021-02,47.6414,53.4604
2021-03,66.4188,59.4101
2021-04,80.1058,66.6882
2021-05,72.9692,66.6274
2021-06,81.6899,69.2184
2021-07,92.2725,72.1455
2021-08,87.6763,75.992
2021-09,91.5806,66.6118
2021-10,93.6396,77.1553
2021-11,97.0658,74.6519
2021-12,116.4222,81.397
2022-01,98.1147,70.7122
2022-02,95.8736,64.6001
2022-03,105.1359,69.8532
2022-04,80.3328,54.0273
2022-05,88.212,53.6333
2022-06,85.4034,40.2902
2022-07,105.1383,52.5094
2022-08,101.8085,45.531
2022-09,102.1981,31.5965
2022-10,138.9979,41.7445
2022-11,144.9199,48.9584
2022-12,137.2782,39.838
2023-01,122.7541,48.5632
2023-02,131.683,44.2258
2023-03,135.2494,48.9578
2023-04,152.3165,50.6836
2023-05,146.5929,50.7741
2023-06,158.8981,59.884
2023-07,149.0501,64.3798
2023-08,150.9779,60.953
2023-09,141.0114,52.6248
2023-10,145.062,48.7132
2023-11,156.9542,61.6976
2023-12,146.779,68.3392
2024-01,165.729,71.0275
2024-02,180.4382,79.0476
2024-03,189.0435,83.99
2024-04,157.5758,75.7344
2024-05,143.2433,83.6813
2024-06,164.9883,89.2836
2024-07,180.7901,90.5002
2024-08,179.7742,94.0822
2024-09,185.1293,98.2932
2024-10,183.565,95.412
2024-11,203.6763,105.8418
2024-12,187.6607,99.9875
2025-01,214.0103,105.351
2025-02,230.9098,101.7087
2025-03,242.6924,89.4719
2025-04,236.1577,87.0451
2025-05,222.5912,97.8575
2025-06,216.7795,107.0685
2025-07,243.2805,110.7404
2025-08,259.5377,114.0337
2025-09,273.8589,121.6081
2025-10,225.2508,125.7153
2025-11,248.0091,125.0226
2025-12,210.056,124.0393
2026-01,234.5294,127.2713
2026-02,118.5143,125.3185
