Date,rate_JKHY_5D,rate_VOO_20D
2016-01,3.6225,1.4254
2016-02,-0.5996,0.6142
2016-03,2.1421,6.1243
2016-04,-2.8275,4.6014
2016-05,1.646,5.2878
2016-06,4.7263,4.687
2016-07,6.404,7.7174
2016-08,3.538,6.8637
2016-09,1.8787,5.9421
2016-10,-3.3468,3.4868
2016-11,3.8285,6.843
2016-12,6.0057,8.2789
2017-01,6.5478,9.3935
2017-02,11.0691,12.821
2017-03,9.4331,12.0413
2017-04,13.2591,12.4367
2017-05,23.4894,13.2406
2017-06,19.5433,14.1802
2017-07,22.376,15.6892
2017-08,16.7771,15.2834
2017-09,16.0343,16.8657
2017-10,23.5337,18.7799
2017-11,28.4813,21.509
2017-12,29.0404,22.1709
2018-01,36.1931,27.9258
2018-02,27.3155,22.2578
2018-03,29.9506,18.4465
2018-04,27.8503,18.162
2018-05,33.1076,20.337
2018-06,37.6014,20.5057
2018-07,40.8436,24.0401
2018-08,64.0261,27.2093
2018-09,64.1038,27.1082
2018-10,52.0976,17.9327
2018-11,40.8064,19.5577
2018-12,27.1538,8.5722
2019-01,33.4475,16.8959
2019-02,32.02,20.2219
2019-03,37.2139,21.9603
2019-04,46.3876,26.2654
2019-05,28.4569,20.4953
2019-06,30.3964,25.3574
2019-07,35.2211,26.514
2019-08,34.8147,24.0717
2019-09,34.5529,25.9454
2019-10,31.2314,27.4086
2019-11,40.8737,31.384
2019-12,34.675,34.5804
2020-01,37.5243,33.8021
2020-02,51.5452,22.3336
2020-03,51.6395,15.1867
2020-04,53.7969,29.6272
2020-05,61.6319,28.2305
2020-06,63.3595,28.0341
2020-07,57.1546,33.4885
2020-08,46.4349,42.106
2020-09,47.2845,38.2475
2020-10,33.5493,34.0563
2020-11,44.1668,42.9575
2020-12,44.8184,47.5016
2021-01,34.7538,45.1166
2021-02,33.2495,43.0879
2021-03,36.8548,49.8512
2021-04,46.2254,56.911
2021-05,38.7835,54.6413
2021-06,46.5695,57.2758
2021-07,55.2436,60.2291
2021-08,56.4354,64.0213
2021-09,45.1787,55.5224
2021-10,46.6469,65.5435
2021-11,33.0815,65.5034
2021-12,46.4713,68.4598
2022-01,44.9752,58.7763
2022-02,51.7078,53.2596
2022-03,62.388,58.2953
2022-04,60.4478,52.2757
2022-05,65.4778,51.0659
2022-06,57.5616,38.0304
2022-07,80.9733,50.1558
2022-08,66.4847,43.3725
2022-09,57.4576,29.6913
2022-10,71.161,39.7003
2022-11,58.3548,46.8631
2022-12,50.2719,40.5677
2023-01,53.5371,48.7988
2023-02,42.4738,45.5387
2023-03,30.4646,49.6635
2023-04,41.0148,48.4614
2023-05,29.996,48.1923
2023-06,42.0397,57.2072
2023-07,38.3408,61.7125
2023-08,29.0141,59.5229
2023-09,24.4836,51.3631
2023-10,15.8885,47.5518
2023-11,30.6545,60.474
2023-12,34.1682,67.125
2024-01,35.7726,69.1001
2024-02,41.8373,77.1309
2024-03,41.8253,83.2841
2024-04,31.8928,75.177
2024-05,34.9303,83.1784
2024-06,35.6814,90.182
2024-07,39.7969,90.9416
2024-08,37.8221,97.1965
2024-09,37.9229,98.31
2024-10,40.8504,95.5089
2024-11,41.4472,105.9957
2024-12,40.7976,100.2436
2025-01,39.4679,104.6582
2025-02,38.7086,101.1287
2025-03,43.1634,89.045
2025-04,35.8817,88.6819
2025-05,42.0636,99.6712
2025-06,40.9128,109.046
2025-07,32.475,112.823
2025-08,27.134,112.1707
2025-09,17.0073,118.6779
2025-10,16.8773,122.8639
2025-11,36.6851,122.3204
2025-12,43.0543,121.4705
2026-01,40.1119,123.6468
2026-02,26.8108,120.852
