Date,rate_NVO_5D,rate_VOO_20D
2016-01,1.7141,1.4254
2016-02,-6.6342,0.6142
2016-03,4.8583,6.1243
2016-04,6.2257,4.6014
2016-05,5.7912,5.2878
2016-06,2.4584,4.687
2016-07,7.9862,7.7174
2016-08,-11.4116,6.8637
2016-09,-19.9272,5.9421
2016-10,-29.6241,3.4868
2016-11,-30.378,6.843
2016-12,-22.999,8.2789
2017-01,-20.7216,9.3935
2017-02,-21.1793,12.821
2017-03,-20.5764,12.0413
2017-04,-8.9384,12.4367
2017-05,0.3685,13.2406
2017-06,1.4064,14.1802
2017-07,0.1586,15.6892
2017-08,13.641,15.2834
2017-09,14.2828,16.8657
2017-10,17.3091,18.7799
2017-11,21.12,21.509
2017-12,24.523,22.1709
2018-01,27.6866,27.9258
2018-02,17.7146,22.2578
2018-03,16.6335,18.4465
2018-04,10.6136,18.162
2018-05,11.5809,20.337
2018-06,7.9983,20.5057
2018-07,16.2533,24.0401
2018-08,17.5528,27.2093
2018-09,12.1869,27.1082
2018-10,2.66,17.9327
2018-11,10.7082,19.5577
2018-12,6.694,8.5722
2019-01,8.7015,16.8959
2019-02,12.8327,20.2219
2019-03,25.721,21.9603
2019-04,17.1931,26.2654
2019-05,12.4531,20.4953
2019-06,20.8241,25.3574
2019-07,11.973,26.514
2019-08,24.6113,24.0717
2019-09,19.3556,25.9454
2019-10,24.1672,27.4086
2019-11,25.6859,31.384
2019-12,28.959,34.5804
2020-01,34.8792,33.8021
2020-02,28.1178,22.3336
2020-03,33.4936,15.1867
2020-04,39.6868,29.6272
2020-05,42.1515,28.2305
2020-06,40.274,28.0341
2020-07,36.054,33.4885
2020-08,40.068,42.106
2020-09,46.5128,38.2475
2020-10,43.9705,34.0563
2020-11,39.7783,42.9575
2020-12,44.0283,47.5016
2021-01,40.2169,45.1166
2021-02,35.9434,43.0879
2021-03,33.0624,49.8512
2021-04,45.2816,56.911
2021-05,54.2207,54.6413
2021-06,60.6573,57.2758
2021-07,75.4048,60.2291
2021-08,89.1757,64.0213
2021-09,76.9337,55.5224
2021-10,98.153,65.5435
2021-11,90.8777,65.5034
2021-12,94.1439,68.4598
2022-01,71.9693,58.7763
2022-02,71.379,53.2596
2022-03,73.0391,58.2953
2022-04,80.8286,52.2757
2022-05,77.68,51.0659
2022-06,71.542,38.0304
2022-07,77.7197,50.1558
2022-08,64.282,43.3725
2022-09,53.4918,29.6913
2022-10,66.9556,39.7003
2022-11,90.1946,46.8631
2022-12,101.3981,40.5677
2023-01,97.9488,48.7988
2023-02,98.8728,45.5387
2023-03,119.2952,49.6635
2023-04,126.5937,48.4614
2023-05,112.7714,48.1923
2023-06,113.4803,57.2072
2023-07,111.2755,61.7125
2023-08,146.9064,59.5229
2023-09,138.2467,51.3631
2023-10,147.2607,47.5518
2023-11,152.7258,60.474
2023-12,155.1317,67.125
2024-01,181.2025,69.1001
2024-02,193.3636,77.1309
2024-03,193.1904,83.2841
2024-04,190.0446,75.177
2024-05,203.8289,83.1784
2024-06,218.4377,90.182
2024-07,193.9816,90.9416
2024-08,210.0385,97.1965
2024-09,169.4334,98.31
2024-10,153.8993,95.5089
2024-11,140.8894,105.9957
2024-12,92.9656,100.2436
2025-01,88.5887,104.6582
2025-02,101.5687,101.1287
2025-03,85.4344,89.045
2025-04,87.2138,88.6819
2025-05,100.6129,99.6712
2025-06,104.5217,109.046
2025-07,37.7435,112.823
2025-08,66.56,112.1707
2025-09,57.1343,118.6779
2025-10,39.574,122.8639
2025-11,38.9176,122.3204
2025-12,42.9056,121.4705
2026-01,66.5019,123.6468
2026-02,4.6804,120.852
