Date,rate_IDXX_5D,rate_VOO_20D
2016-01,-1.372,-3.28
2016-02,2.6598,-1.8027
2016-03,7.8203,4.5695
2016-04,13.5411,3.6217
2016-05,15.0185,4.6859
2016-06,19.1047,4.2011
2016-07,17.4979,7.3141
2016-08,38.489,6.5393
2016-09,34.2237,5.8417
2016-10,24.3737,3.4057
2016-11,34.388,7.0013
2016-12,31.3587,8.6582
2017-01,34.474,9.9058
2017-02,56.2098,13.4199
2017-03,62.487,12.5861
2017-04,72.029,12.9516
2017-05,68.5932,13.7442
2017-06,57.972,14.6714
2017-07,59.7488,16.2352
2017-08,46.7469,15.7466
2017-09,44.5911,17.3266
2017-10,52.3222,19.2474
2017-11,41.4442,22.0133
2017-12,39.7314,22.6523
2018-01,65.1232,28.4864
2018-02,62.6501,22.6807
2018-03,63.9933,18.8927
2018-04,64.3209,18.6249
2018-05,73.4949,20.8091
2018-06,78.9043,20.9812
2018-07,98.1255,24.5763
2018-08,102.4,27.7899
2018-09,95.8726,27.6747
2018-10,64.1336,18.1983
2018-11,56.0245,19.8597
2018-12,41.0647,8.8011
2019-01,60.0606,17.1215
2019-02,57.2741,20.4441
2019-03,65.0059,22.1999
2019-04,69.4934,26.5012
2019-05,80.6075,17.9266
2019-06,96.9454,25.7011
2019-07,99.3928,26.9004
2019-08,102.6242,24.2426
2019-09,88.0346,26.142
2019-10,95.069,28.3311
2019-11,70.4967,32.3256
2019-12,75.4345,35.5485
2020-01,80.4681,34.7719
2020-02,68.0021,23.2511
2020-03,58.6571,7.5779
2020-04,80.6241,21.2186
2020-05,99.2675,26.5774
2020-06,110.9671,28.3766
2020-07,151.5687,35.3325
2020-08,144.6805,44.0777
2020-09,143.3825,37.914
2020-10,160.3102,33.7633
2020-11,179.4731,47.7098
2020-12,199.7283,52.3667
2021-01,183.9137,49.9654
2021-02,205.1948,53.2453
2021-03,184.0013,60.4049
2021-04,215.3582,67.83
2021-05,217.2222,67.8968
2021-06,255.2358,70.6358
2021-07,277.5002,73.7106
2021-08,270.7953,77.7187
2021-09,238.6819,68.3779
2021-10,259.0922,79.119
2021-11,224.5269,76.6949
2021-12,248.0268,83.6042
2022-01,165.7366,72.9303
2022-02,176.4699,66.8181
2022-03,181.6802,72.1992
2022-04,119.9181,56.2223
2022-05,98.678,55.8933
2022-06,76.895,42.4002
2022-07,100.1275,54.8512
2022-08,73.2285,47.8158
2022-09,61.5136,33.7039
2022-10,77.4555,44.0824
2022-11,108.8149,51.4429
2022-12,98.7511,42.1877
2023-01,132.6648,50.5828
2023-02,127.6295,46.2373
2023-03,138.975,52.2586
2023-04,133.6428,54.0684
2023-05,119.2521,54.1996
2023-06,135.4388,63.548
2023-07,158.3543,68.1942
2023-08,136.6698,64.7317
2023-09,101.1598,56.2636
2023-10,82.8325,52.2886
2023-11,112.1452,65.5989
2023-12,151.2815,72.448
2024-01,131.7559,74.4576
2024-02,157.2698,82.7177
2024-03,140.0268,89.0282
2024-04,117.8395,80.6052
2024-05,118.5877,88.8335
2024-06,113.1619,96.0415
2024-07,107.265,97.3583
2024-08,108.4846,101.128
2024-09,117.7356,105.7758
2024-10,74.5413,102.865
2024-11,80.1455,113.7798
2024-12,75.8714,107.7813
2025-01,78.817,112.3595
2025-02,84.4395,108.6721
2025-03,76.4744,96.0839
2025-04,81.1009,93.6359
2025-05,113.8844,104.9003
2025-06,122.3999,114.5225
2025-07,120.4878,118.4064
2025-08,165.7256,121.8959
2025-09,160.9664,128.6764
2025-10,155.8262,133.0211
2025-11,204.2798,132.409
2025-12,171.9496,131.4906
2026-01,168.1059,133.7386
2026-02,161.2694,130.7823
2026-03,152.0443,129.7769
