Date,rate_SO_5D,rate_VOO_20D
2016-01,3.4101,1.4254
2016-02,-1.352,0.6142
2016-03,6.0265,6.1243
2016-04,1.2164,4.6014
2016-05,0.7087,5.2878
2016-06,9.0548,4.687
2016-07,7.4653,7.7174
2016-08,3.5207,6.8637
2016-09,2.9573,5.9421
2016-10,3.3386,3.4868
2016-11,-5.1788,6.843
2016-12,0.1056,8.2789
2017-01,0.5024,9.3935
2017-02,4.5162,12.821
2017-03,2.1714,12.0413
2017-04,2.0494,12.4367
2017-05,4.7539,13.2406
2017-06,-1.1725,14.1802
2017-07,-0.9438,15.6892
2017-08,0.9048,15.2834
2017-09,2.5379,16.8657
2017-10,8.7519,18.7799
2017-11,9.7942,21.509
2017-12,2.7482,22.1709
2018-01,-3.4178,27.9258
2018-02,-2.6622,22.2578
2018-03,0.9633,18.4465
2018-04,4.2369,18.162
2018-05,5.4664,20.337
2018-06,8.6415,20.5057
2018-07,13.7089,24.0401
2018-08,6.2186,27.2093
2018-09,5.4336,27.1082
2018-10,8.7516,17.9327
2018-11,18.3201,19.5577
2018-12,9.3187,8.5722
2019-01,20.655,16.8959
2019-02,28.6719,20.2219
2019-03,32.9943,21.9603
2019-04,36.0652,26.2654
2019-05,40.5757,20.4953
2019-06,41.5185,25.3574
2019-07,42.8445,26.514
2019-08,51.7246,24.0717
2019-09,59.4535,25.9454
2019-10,60.4313,27.4086
2019-11,62.206,31.384
2019-12,65.2892,34.5804
2020-01,81.1996,33.8021
2020-02,71.0954,22.3336
2020-03,38.008,15.1867
2020-04,44.0737,29.6272
2020-05,46.4661,28.2305
2020-06,40.9484,28.0341
2020-07,45.4508,33.4885
2020-08,44.7301,42.106
2020-09,48.1948,38.2475
2020-10,57.5803,34.0563
2020-11,58.0226,42.9575
2020-12,58.3844,47.5016
2021-01,48.5426,45.1166
2021-02,48.4289,43.0879
2021-03,61.688,49.8512
2021-04,71.0864,56.911
2021-05,66.4848,54.6413
2021-06,55.6553,57.2758
2021-07,63.394,60.2291
2021-08,72.2747,64.0213
2021-09,61.4243,55.5224
2021-10,61.4321,65.5435
2021-11,62.4172,65.5034
2021-12,81.2726,68.4598
2022-01,78.3307,58.7763
2022-02,69.0346,53.2596
2022-03,88.1411,58.2953
2022-04,93.6373,52.2757
2022-05,95.5348,51.0659
2022-06,83.1466,38.0304
2022-07,96.3457,50.1558
2022-08,100.7789,43.3725
2022-09,75.8744,29.6913
2022-10,68.53,39.7003
2022-11,78.6485,46.8631
2022-12,87.6173,40.5677
2023-01,81.3102,48.7988
2023-02,74.9123,45.5387
2023-03,91.9586,49.6635
2023-04,101.8042,48.4614
2023-05,102.4869,48.1923
2023-06,102.8872,57.2072
2023-07,107.7383,61.7125
2023-08,99.3902,59.5229
2023-09,94.2753,51.3631
2023-10,97.6113,47.5518
2023-11,113.5934,60.474
2023-12,109.8278,67.125
2024-01,106.9082,69.1001
2024-02,107.3633,77.1309
2024-03,120.0562,83.2841
2024-04,118.7667,75.177
2024-05,143.6192,83.1784
2024-06,134.414,90.182
2024-07,150.9826,90.9416
2024-08,160.8889,97.1965
2024-09,165.0038,98.31
2024-10,152.965,95.5089
2024-11,153.57,105.9957
2024-12,132.8864,100.2436
2025-01,136.2535,104.6582
2025-02,153.4678,101.1287
2025-03,153.9106,89.045
2025-04,143.5485,88.6819
2025-05,139.2277,99.6712
2025-06,142.845,109.046
2025-07,148.579,112.823
2025-08,143.5421,112.1707
2025-09,148.8018,118.6779
2025-10,145.6329,122.8639
2025-11,138.7774,122.3204
2025-12,127.4165,121.4705
2026-01,131.8403,123.6468
2026-02,151.6115,120.852
