Date,rate_QBTS_5D,rate_VOO_20D
2020-12,0.0,0.0
2021-01,6.1238,1.3488
2021-02,-0.3938,4.6288
2021-03,-5.571,11.7883
2021-04,-4.0592,19.2134
2021-05,-4.3543,19.2802
2021-06,-3.1306,22.0192
2021-07,-4.0166,25.0941
2021-08,-3.3728,29.1022
2021-09,-3.056,19.7613
2021-10,-2.3,30.5024
2021-11,-1.5108,28.0783
2021-12,-1.9695,34.9876
2022-01,-2.0286,24.3137
2022-02,-0.9002,18.2015
2022-03,-0.9439,23.5826
2022-04,-0.8854,7.6057
2022-05,-0.9363,7.2767
2022-06,-0.5919,-6.2164
2022-07,-12.0903,6.2346
2022-08,-32.4983,-0.8008
2022-09,-18.2297,-14.9127
2022-10,-69.3877,-4.5342
2022-11,-73.1166,2.8263
2022-12,-81.6282,-6.4289
2023-01,-81.3138,1.9662
2023-02,-87.8396,-2.3793
2023-03,-85.253,3.6421
2023-04,-86.7365,5.4518
2023-05,-58.9538,5.583
2023-06,-29.7132,14.9315
2023-07,-28.4444,19.5776
2023-08,-60.3235,16.1151
2023-09,-65.4127,7.647
2023-10,-72.6986,3.672
2023-11,-67.0415,16.9824
2023-12,-63.0736,23.8314
2024-01,-62.9445,25.841
2024-02,-15.9149,34.1011
2024-03,-6.6432,40.4116
2024-04,-37.1207,31.9886
2024-05,-37.2328,40.2169
2024-06,-46.2496,47.4249
2024-07,-51.8054,48.7418
2024-08,-50.0827,52.5114
2024-09,-50.3548,57.1592
2024-10,-45.1616,54.2484
2024-11,58.8459,65.1632
2024-12,338.3052,59.1647
2025-01,205.1936,63.743
2025-02,177.8553,60.0555
2025-03,280.5614,47.4673
2025-04,241.2485,45.0193
2025-05,695.7083,56.2838
2025-06,602.0312,65.9059
2025-07,711.6419,69.7898
2025-08,626.2579,73.2793
2025-09,1031.7509,80.0598
2025-10,1571.0205,84.4046
2025-11,906.2085,83.7924
2025-12,1043.6276,82.874
2026-01,814.3835,85.122
2026-02,697.8149,82.1658
2026-03,692.3579,77.7988
