Date,rate_MRNA_5D,rate_VOO_20D
2018-12,0.0,-5.2034
2019-01,8.5377,3.1202
2019-02,44.9101,6.4463
2019-03,14.9242,8.1847
2019-04,42.8599,12.4897
2019-05,23.1904,6.7197
2019-06,14.4899,11.5818
2019-07,0.7629,12.7384
2019-08,19.2103,10.2961
2019-09,25.2684,12.1697
2019-10,36.4196,13.6329
2019-11,62.8262,17.6083
2019-12,51.9754,20.8048
2020-01,55.5116,20.0264
2020-02,44.3587,8.558
2020-03,23.1586,1.411
2020-04,62.5307,15.8515
2020-05,87.2573,14.4549
2020-06,78.8105,14.2584
2020-07,111.182,19.7129
2020-08,89.7415,28.3303
2020-09,95.5629,24.4718
2020-10,89.3621,20.2807
2020-11,298.2266,29.1818
2020-12,254.6472,33.726
2021-01,434.9018,31.3409
2021-02,413.418,29.3123
2021-03,354.6894,36.0755
2021-04,504.145,43.1353
2021-05,488.3138,40.8656
2021-06,576.0415,43.5002
2021-07,890.2197,46.4535
2021-08,966.9573,50.2456
2021-09,968.1235,41.7467
2021-10,943.954,51.7678
2021-11,939.0735,51.7278
2021-12,585.2016,54.6842
2022-01,347.0092,45.0006
2022-02,297.4074,39.484
2022-03,307.7673,44.5196
2022-04,255.5009,38.5
2022-05,241.1294,37.2902
2022-06,217.7862,24.2548
2022-07,263.0112,36.3802
2022-08,162.7818,29.5969
2022-09,136.9579,15.9157
2022-10,184.954,25.9246
2022-11,229.883,33.0874
2022-12,195.0395,26.7921
2023-01,189.1406,35.0231
2023-02,151.353,31.7631
2023-03,168.4649,35.8879
2023-04,129.5345,34.6857
2023-05,118.2351,34.4166
2023-06,105.5525,43.4316
2023-07,97.229,47.9368
2023-08,88.1051,45.7473
2023-09,70.6103,37.5875
2023-10,24.4779,33.7762
2023-11,26.8762,46.6983
2023-12,61.7699,53.3493
2024-01,63.3307,55.3245
2024-02,48.2043,63.3553
2024-03,70.287,69.5084
2024-04,61.1122,61.4013
2024-05,106.8864,69.4027
2024-06,71.2651,76.4064
2024-07,70.8959,77.1659
2024-08,10.6312,83.4208
2024-09,-4.6093,84.5344
2024-10,-22.2881,81.7332
2024-11,-38.1971,92.2201
2024-12,-39.8223,86.468
2025-01,-42.4395,90.8826
2025-02,-54.3813,87.353
2025-03,-57.2098,75.2693
2025-04,-53.6795,74.9063
2025-05,-58.962,85.8956
2025-06,-57.2344,95.2703
2025-07,-53.5115,99.0473
2025-08,-60.0779,98.3951
2025-09,-56.4646,104.9022
2025-10,-53.6788,109.0883
2025-11,-55.0811,108.5448
2025-12,-48.1777,107.6949
2026-01,-22.0207,109.8712
2026-02,-5.0006,107.0763
