Date,rate_CB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.4952,-3.7423
2016-03,3.6015,0.3764
2016-04,5.6811,5.1946
2016-05,1.6565,3.5695
2016-06,9.445,4.8356
2016-07,10.9713,4.3651
2016-08,5.1503,7.2005
2016-09,6.0205,6.5176
2016-10,4.7106,5.8316
2016-11,4.0963,2.6321
2016-12,6.6406,6.5262
2017-01,9.1865,8.6002
2017-02,5.4832,9.8701
2017-03,14.8174,14.9815
2017-04,11.0337,12.5254
2017-05,10.8556,13.1716
2017-06,16.6199,14.581
2017-07,16.6814,14.626
2017-08,17.9402,16.4591
2017-09,11.0468,15.9061
2017-10,12.695,17.2911
2017-11,19.0025,19.4181
2017-12,18.4297,21.7575
2018-01,13.9333,22.6249
2018-02,20.6254,28.3844
2018-03,7.7514,21.0506
2018-04,5.6697,18.8566
2018-05,4.8154,18.843
2018-06,0.6812,22.0592
2018-07,-1.6769,20.962
2018-08,7.2257,24.4135
2018-09,4.516,27.7869
2018-10,3.3419,28.1445
2018-11,-2.6905,19.3954
2018-12,3.7609,19.8359
2019-01,0.6853,8.7501
2019-02,4.0844,17.203
2019-03,4.4024,21.2677
2019-04,10.5619,23.6016
2019-05,12.4546,25.5902
2019-06,13.5791,17.8911
2019-07,15.2072,26.7327
2019-08,17.4299,25.8061
2019-09,20.9955,24.2046
2019-10,22.9175,24.595
2019-11,16.0962,29.5299
2019-12,16.5518,32.3145
2020-01,19.9869,35.5516
2020-02,16.7571,34.7733
2020-03,11.0888,23.2161
2020-04,-19.793,2.6957
2020-05,-21.4107,17.923
2020-06,-7.0361,27.1545
2020-07,-1.5507,29.2791
2020-08,-0.2867,35.3897
2020-09,-2.1485,45.4969
2020-10,-8.5412,38.8421
2020-11,2.6945,33.8054
2020-12,20.5991,49.4413
2021-01,21.8851,52.4925
2021-02,16.8816,52.5474
2021-03,31.8257,57.1165
2021-04,25.3634,62.2404
2021-05,34.8685,68.0147
2021-06,34.2522,67.9506
2021-07,26.8147,71.7835
2021-08,31.8182,73.9065
2021-09,42.4645,78.108
2021-10,36.5696,70.559
2021-11,49.1525,79.7147
2021-12,35.204,74.8714
2022-01,49.3049,83.8439
2022-02,53.6713,74.2485
2022-03,52.6921,64.4857
2022-04,65.554,72.8765
2022-05,57.0083,56.3809
2022-06,57.9243,54.7432
2022-07,49.7297,43.9638
2022-08,39.3503,54.5402
2022-09,44.2319,48.4061
2022-10,36.6327,33.808
2022-11,59.8449,43.6413
2022-12,62.7303,51.6237
2023-01,64.2898,42.3283
2023-02,58.2239,52.4008
2023-03,54.6375,45.8599
2023-04,43.3564,52.4428
2023-05,48.7183,54.1535
2023-06,37.5852,55.8684
2023-07,41.3465,63.7729
2023-08,48.69,67.9151
2023-09,48.2107,65.3142
2023-10,51.8686,56.4671
2023-11,60.1318,54.158
2023-12,65.543,66.8181
2024-01,63.5614,72.7134
2024-02,76.564,77.0248
2024-03,79.8506,84.7703
2024-04,84.5011,89.0895
2024-05,78.3246,80.3005
2024-06,92.3882,89.1407
2024-07,82.099,96.817
2024-08,93.4867,94.9948
2024-09,101.2477,101.4737
2024-10,107.8024,104.2286
2024-11,96.3698,104.0979
2024-12,103.4445,114.1559
2025-01,95.6832,108.1307
2025-02,91.6863,112.719
2025-03,100.3987,109.0154
2025-04,112.5259,97.097
2025-05,98.8091,95.2965
2025-06,107.6526,105.2137
2025-07,103.4385,114.7559
2025-08,87.0167,115.142
2025-09,91.6085,122.2543
2025-10,95.2229,129.8729
2025-11,91.3269,133.4127
2025-12,102.2148,131.7276
2026-01,113.86,131.8756
2026-02,75.2569,120.852
