Date,rate_DDOG_5D,rate_VOO_20D
2019-09,0.0,0.0
2019-10,-13.8278,-2.2346
2019-11,-2.2819,3.1921
2019-12,17.9783,4.7996
2020-01,5.1378,6.6531
2020-02,27.3164,5.2629
2020-03,19.9313,-4.0845
2020-04,-9.5594,-19.2843
2020-05,18.1538,-4.5124
2020-06,79.4034,3.7907
2020-07,120.5278,5.5483
2020-08,120.0655,10.4559
2020-09,91.9469,18.3103
2020-10,123.1027,12.1641
2020-11,87.8848,7.7722
2020-12,91.8873,20.2965
2021-01,91.5275,22.1266
2021-02,92.4721,21.5499
2021-03,79.6365,24.6456
2021-04,56.7294,28.1062
2021-05,51.3643,31.9977
2021-06,59.5218,31.238
2021-07,78.4698,33.5963
2021-08,85.3155,34.6049
2021-09,122.9186,37.2347
2021-10,132.3202,30.8205
2021-11,159.4368,37.4031
2021-12,152.4998,33.1816
2022-01,167.4409,39.5967
2022-02,117.1054,31.838
2022-03,130.7848,24.1623
2022-04,117.3993,30.356
2022-05,68.1694,17.7105
2022-06,34.0852,16.4901
2022-07,37.9253,8.4141
2022-08,40.0888,16.5693
2022-09,30.4958,11.9927
2022-10,18.5094,1.0897
2022-11,7.4114,8.8212
2022-12,3.4635,15.0493
2023-01,-2.552,8.0795
2023-02,9.7129,15.9212
2023-03,-0.4229,11.0256
2023-04,-3.8046,16.1867
2023-05,-13.3404,17.5768
2023-06,26.2958,18.9581
2023-07,30.2087,25.0544
2023-08,51.3861,28.2181
2023-09,27.7959,26.2069
2023-10,18.5825,19.4527
2023-11,3.947,17.7575
2023-12,53.8175,27.5218
2024-01,56.3354,32.0301
2024-02,62.3319,35.2927
2024-03,65.3925,41.1556
2024-04,55.2867,44.3574
2024-05,58.3948,37.5394
2024-06,37.1529,44.227
2024-07,61.6866,49.979
2024-08,39.2208,48.4593
2024-09,42.4369,53.2746
2024-10,38.9599,55.2287
2024-11,49.5925,54.9845
2024-12,84.405,62.48
2025-01,71.2665,57.7375
2025-02,69.9542,61.074
2025-03,37.9333,58.1211
2025-04,19.1091,48.9862
2025-05,25.0114,47.5595
2025-06,38.2001,54.9969
2025-07,54.5268,62.1102
2025-08,57.5569,62.2785
2025-09,58.0046,67.5218
2025-10,75.6348,73.1207
2025-11,86.1721,75.6234
2025-12,79.4419,74.1905
2026-01,53.6414,74.1492
2026-02,-2.5858,93.7031
