Date,rate_CAT_5D,rate_VOO_20D
2016-01,2.9467,1.4254
2016-02,9.9467,0.6142
2016-03,19.6801,6.1243
2016-04,16.827,4.6014
2016-05,7.7281,5.2878
2016-06,11.2164,4.687
2016-07,20.6694,7.7174
2016-08,17.0411,6.8637
2016-09,24.4891,5.9421
2016-10,15.7897,3.4868
2016-11,30.5891,6.843
2016-12,24.5075,8.2789
2017-01,27.3099,9.3935
2017-02,26.6122,12.821
2017-03,20.0375,12.0413
2017-04,31.9768,12.4367
2017-05,34.1411,13.2406
2017-06,34.6711,14.1802
2017-07,41.8232,15.6892
2017-08,44.1064,15.2834
2017-09,50.6939,16.8657
2017-10,64.225,18.7799
2017-11,67.6173,21.509
2017-12,83.9643,22.1709
2018-01,89.0362,27.9258
2018-02,71.3082,22.2578
2018-03,61.942,18.4465
2018-04,58.1517,18.162
2018-05,64.1747,20.337
2018-06,44.6253,20.5057
2018-07,52.6972,24.0401
2018-08,45.9625,27.2093
2018-09,58.7679,27.1082
2018-10,28.1479,17.9327
2018-11,42.1315,19.5577
2018-12,32.0223,8.5722
2019-01,40.9337,16.8959
2019-02,44.2452,20.2219
2019-03,41.2423,21.9603
2019-04,47.676,26.2654
2019-05,26.1905,20.4953
2019-06,42.8253,25.3574
2019-07,40.1482,26.514
2019-08,36.7976,24.0717
2019-09,45.7039,25.9454
2019-10,59.6638,27.4086
2019-11,66.2545,31.384
2019-12,68.203,34.5804
2020-01,52.4607,33.8021
2020-02,43.1324,22.3336
2020-03,33.2527,15.1867
2020-04,28.3761,29.6272
2020-05,29.965,28.2305
2020-06,33.2442,28.0341
2020-07,41.2018,33.4885
2020-08,50.3096,42.106
2020-09,53.6433,38.2475
2020-10,66.5967,34.0563
2020-11,70.8492,42.9575
2020-12,73.9889,47.5016
2021-01,79.8541,45.1166
2021-02,103.0294,43.0879
2021-03,101.0818,49.8512
2021-04,98.2813,56.911
2021-05,105.2666,54.6413
2021-06,82.7631,57.2758
2021-07,73.3686,60.2291
2021-08,75.7192,64.0213
2021-09,59.0443,55.5224
2021-10,70.9023,65.5435
2021-11,61.0143,65.5034
2021-12,67.3568,68.4598
2022-01,71.4543,58.7763
2022-02,60.7072,53.2596
2022-03,85.1345,58.2953
2022-04,76.5731,52.2757
2022-05,74.6162,51.0659
2022-06,64.1488,38.0304
2022-07,82.4032,50.1558
2022-08,69.0123,43.3725
2022-09,49.3499,29.6913
2022-10,99.8795,39.7003
2022-11,113.8551,46.8631
2022-12,112.4311,40.5677
2023-01,115.2832,48.7988
2023-02,108.9411,45.5387
2023-03,97.4647,49.6635
2023-04,83.3906,48.4614
2023-05,71.5947,48.1923
2023-06,104.13,57.2072
2023-07,119.8094,61.7125
2023-08,127.2823,59.5229
2023-09,119.805,51.3631
2023-10,98.9412,47.5518
2023-11,108.4765,60.474
2023-12,144.4903,67.125
2024-01,149.9827,69.1001
2024-02,164.2289,77.1309
2024-03,187.7282,83.2841
2024-04,178.6183,75.177
2024-05,173.7178,83.1784
2024-06,167.6959,90.182
2024-07,177.6653,90.9416
2024-08,176.2772,97.1965
2024-09,193.6376,98.31
2024-10,192.8353,95.5089
2024-11,185.0615,105.9957
2024-12,153.1037,100.2436
2025-01,158.632,104.6582
2025-02,138.2223,101.1287
2025-03,127.2331,89.045
2025-04,113.1577,88.6819
2025-05,138.7147,99.6712
2025-06,157.4747,109.046
2025-07,189.9505,112.823
2025-08,171.9001,112.1707
2025-09,207.9038,118.6779
2025-10,271.4159,122.8639
2025-11,268.1751,122.3204
2025-12,264.1139,121.4705
2026-01,316.2518,123.6468
2026-02,367.4333,120.852
