Date,rate_STE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.3775,-1.8027
2016-03,3.0242,4.5695
2016-04,1.3055,3.6217
2016-05,-0.7168,4.6859
2016-06,-1.2743,4.2011
2016-07,2.0196,7.3141
2016-08,2.4985,6.5393
2016-09,5.8161,5.8417
2016-10,-3.7458,3.4057
2016-11,-4.6786,7.0013
2016-12,-1.558,8.6582
2017-01,3.5633,9.9058
2017-02,3.4265,13.4199
2017-03,2.0982,12.5861
2017-04,8.3142,12.9516
2017-05,13.2795,13.7442
2017-06,18.524,14.6714
2017-07,18.0515,16.2352
2017-08,25.9898,15.7466
2017-09,26.542,17.3266
2017-10,32.3047,19.2474
2017-11,26.8112,22.0133
2017-12,22.2345,22.6523
2018-01,26.1199,28.4864
2018-02,26.0427,22.6807
2018-03,27.9455,18.8927
2018-04,28.5215,18.6249
2018-05,40.0518,20.8091
2018-06,40.6655,20.9812
2018-07,51.8953,24.5763
2018-08,50.6399,27.7899
2018-09,49.0788,27.6747
2018-10,41.0844,18.1983
2018-11,52.7591,19.8597
2018-12,35.7676,8.8011
2019-01,43.8816,17.1215
2019-02,51.7608,20.4441
2019-03,59.1695,22.1999
2019-04,61.3306,26.5012
2019-05,63.1121,17.9266
2019-06,80.3682,25.7011
2019-07,78.4559,26.9004
2019-08,83.2296,24.2426
2019-09,70.1863,26.142
2019-10,65.325,28.3311
2019-11,75.4104,32.3256
2019-12,75.3082,35.5485
2020-01,71.801,34.7719
2020-02,79.7275,23.2511
2020-03,57.2464,7.5779
2020-04,58.9931,21.2186
2020-05,83.7559,26.5774
2020-06,68.9642,28.3766
2020-07,74.4504,35.3325
2020-08,73.5646,44.0777
2020-09,90.1132,37.914
2020-10,89.6462,33.7633
2020-11,106.1851,47.7098
2020-12,99.9161,52.3667
2021-01,95.7406,49.9654
2021-02,81.8519,53.2453
2021-03,96.697,60.4049
2021-04,116.184,67.83
2021-05,94.3324,67.8968
2021-06,108.5053,70.6358
2021-07,118.5333,73.7106
2021-08,113.8673,77.7187
2021-09,102.0538,68.3779
2021-10,129.4379,79.119
2021-11,113.2156,76.6949
2021-12,135.7521,83.6042
2022-01,115.6376,72.9303
2022-02,129.3402,66.8181
2022-03,129.3149,72.1992
2022-04,110.9098,56.2223
2022-05,113.3446,55.8933
2022-06,91.8667,42.4002
2022-07,108.6859,54.8512
2022-08,85.0754,47.8158
2022-09,52.4377,33.7039
2022-10,57.5444,44.0824
2022-11,69.215,51.4429
2022-12,67.3858,42.1877
2023-01,86.2565,50.5828
2023-02,69.0913,46.2373
2023-03,71.1984,52.2586
2023-04,67.9602,54.0684
2023-05,77.2878,54.1996
2023-06,98.8661,63.548
2023-07,98.2797,68.1942
2023-08,100.7503,64.7317
2023-09,91.2774,56.2636
2023-10,82.1313,52.2886
2023-11,73.9059,65.5989
2023-12,89.3874,72.448
2024-01,87.6947,74.4576
2024-02,99.1184,82.7177
2024-03,91.2452,89.0282
2024-04,73.2116,80.6052
2024-05,87.9203,88.8335
2024-06,84.6946,96.0415
2024-07,99.9636,97.3583
2024-08,100.9423,101.128
2024-09,101.6464,105.7758
2024-10,83.6268,102.865
2024-11,81.0016,113.7798
2024-12,69.1511,107.7813
2025-01,80.8793,112.3595
2025-02,79.4755,108.6721
2025-03,84.7775,96.0839
2025-04,82.4755,93.6359
2025-05,98.2956,104.9003
2025-06,93.8779,114.5225
2025-07,82.0286,118.4064
2025-08,96.1757,121.8959
2025-09,97.7514,128.6764
2025-10,87.6215,133.0211
2025-11,111.1177,132.409
2025-12,100.1412,131.4906
2026-01,106.4425,133.7386
2026-02,97.5548,130.7823
2026-03,72.7727,126.4154
