Date,rate_LUV_5D,rate_VOO_20D
2016-01,0.0,1.4254
2016-02,15.3111,0.6142
2016-03,17.6582,6.1243
2016-04,12.1273,4.6014
2016-05,5.4794,5.2878
2016-06,-3.2748,4.687
2016-07,-8.4064,7.7174
2016-08,-7.7168,6.8637
2016-09,-1.7116,5.9421
2016-10,1.384,3.4868
2016-11,14.9598,6.843
2016-12,21.0654,8.2789
2017-01,22.3772,9.3935
2017-02,33.3821,12.821
2017-03,22.6178,12.0413
2017-04,26.7437,12.4367
2017-05,33.752,13.2406
2017-06,36.6234,14.1802
2017-07,20.3198,15.6892
2017-08,12.3459,15.2834
2017-09,19.9787,16.8657
2017-10,14.5556,18.7799
2017-11,28.3237,21.509
2017-12,37.4918,22.1709
2018-01,26.3002,27.9258
2018-02,19.3755,22.2578
2018-03,17.2688,18.4465
2018-04,10.6359,18.162
2018-05,6.6366,20.337
2018-06,6.3214,20.5057
2018-07,21.2456,24.0401
2018-08,27.5156,27.2093
2018-09,28.9346,27.1082
2018-10,0.8841,17.9327
2018-11,12.0049,19.5577
2018-12,-4.3778,8.5722
2019-01,16.9085,16.8959
2019-02,14.9667,20.2219
2019-03,6.7111,21.9603
2019-04,11.2776,26.2654
2019-05,0.85,20.4953
2019-06,3.6255,25.3574
2019-07,4.9607,26.514
2019-08,8.1459,24.0717
2019-09,12.4166,25.9454
2019-10,16.6038,27.4086
2019-11,19.3707,31.384
2019-12,11.8787,34.5804
2020-01,13.7023,33.8021
2020-02,10.0628,22.3336
2020-03,-3.5242,15.1867
2020-04,-25.9599,29.6272
2020-05,-23.4803,28.2305
2020-06,-20.0936,28.0341
2020-07,-28.6899,33.4885
2020-08,-16.2785,42.106
2020-09,-15.9992,38.2475
2020-10,-15.7283,34.0563
2020-11,-8.8848,42.9575
2020-12,-7.4166,47.5016
2021-01,-12.6867,45.1166
2021-02,7.7074,43.0879
2021-03,6.8835,49.8512
2021-04,6.8586,56.911
2021-05,1.6016,54.6413
2021-06,-12.2452,57.2758
2021-07,-16.3364,60.2291
2021-08,-17.3231,64.0213
2021-09,-14.3173,55.5224
2021-10,-16.0525,65.5435
2021-11,-23.1358,65.5034
2021-12,-25.5494,68.4598
2022-01,-22.4537,58.7763
2022-02,-22.6328,53.2596
2022-03,-17.0902,58.2953
2022-04,-21.9743,52.2757
2022-05,-22.8965,51.0659
2022-06,-38.9752,38.0304
2022-07,-35.0986,50.1558
2022-08,-37.1359,43.3725
2022-09,-46.8191,29.6913
2022-10,-36.7465,39.7003
2022-11,-33.3403,46.8631
2022-12,-37.6895,40.5677
2023-01,-35.3416,48.7988
2023-02,-38.3906,45.5387
2023-03,-40.2704,49.6635
2023-04,-43.9683,48.4614
2023-05,-45.0096,48.1923
2023-06,-32.3796,57.2072
2023-07,-35.8748,61.7125
2023-08,-40.4228,59.5229
2023-09,-48.2841,51.3631
2023-10,-57.1104,47.5518
2023-11,-50.0511,60.474
2023-12,-42.6922,67.125
2024-01,-40.2754,69.1001
2024-02,-31.1427,77.1309
2024-03,-34.5613,83.2841
2024-04,-39.8586,75.177
2024-05,-39.2235,83.1784
2024-06,-34.0144,90.182
2024-07,-37.5554,90.9416
2024-08,-33.2805,97.1965
2024-09,-32.1918,98.31
2024-10,-31.3177,95.5089
2024-11,-27.7483,105.9957
2024-12,-25.686,100.2436
2025-01,-31.8772,104.6582
2025-02,-30.8172,101.1287
2025-03,-27.9954,89.045
2025-04,-24.6618,88.6819
2025-05,-9.9695,99.6712
2025-06,-15.6053,109.046
2025-07,-19.7085,112.823
2025-08,-14.4098,112.1707
2025-09,-17.2664,118.6779
2025-10,-21.3392,122.8639
2025-11,-9.4898,122.3204
2025-12,8.9624,121.4705
2026-01,14.1853,123.6468
2026-02,18.2295,120.852
