Date,rate_PSX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.2239,-1.8027
2016-03,7.4199,4.5695
2016-04,0.4424,3.6217
2016-05,-1.0146,4.6859
2016-06,-2.1847,4.2011
2016-07,-5.9851,7.3141
2016-08,-1.2073,6.5393
2016-09,1.5869,5.8417
2016-10,2.1782,3.4057
2016-11,5.2974,7.0013
2016-12,8.8392,8.6582
2017-01,2.1903,9.9058
2017-02,-1.3717,13.4199
2017-03,-0.1004,12.5861
2017-04,0.3325,12.9516
2017-05,-3.1492,13.7442
2017-06,5.3534,14.6714
2017-07,6.416,16.2352
2017-08,6.9495,15.7466
2017-09,16.4562,17.3266
2017-10,15.0407,19.2474
2017-11,23.3187,22.0133
2017-12,26.8333,22.6523
2018-01,27.3097,28.4864
2018-02,14.9584,22.6807
2018-03,21.3714,18.8927
2018-04,39.9006,18.6249
2018-05,47.9175,20.8091
2018-06,40.9443,20.9812
2018-07,53.3219,24.5763
2018-08,46.7144,27.7899
2018-09,38.2094,27.6747
2018-10,25.0132,18.1983
2018-11,15.9875,19.8597
2018-12,6.4507,8.8011
2019-01,17.6885,17.1215
2019-02,22.3438,20.4441
2019-03,20.191,22.1999
2019-04,18.5592,26.5012
2019-05,4.696,17.9266
2019-06,21.0517,25.7011
2019-07,32.1502,26.9004
2019-08,27.5553,24.2426
2019-09,31.7842,26.142
2019-10,49.5554,28.3311
2019-11,49.235,32.3256
2019-12,43.9373,35.5485
2020-01,17.3566,34.7719
2020-02,0.5104,23.2511
2020-03,-27.9089,7.5779
2020-04,-0.7781,21.2186
2020-05,9.9972,26.5774
2020-06,0.8654,28.3766
2020-07,-12.9244,35.3325
2020-08,-16.4178,44.0777
2020-09,-25.6387,37.914
2020-10,-32.6093,33.7633
2020-11,-10.53,47.7098
2020-12,3.4029,52.3667
2021-01,0.1897,49.9654
2021-02,26.6875,53.2453
2021-03,23.8611,60.4049
2021-04,22.505,67.83
2021-05,31.22,67.8968
2021-06,33.0531,70.6358
2021-07,13.4361,73.7106
2021-08,11.0212,77.7187
2021-09,9.2849,68.3779
2021-10,16.4911,79.119
2021-11,8.9178,76.6949
2021-12,13.9807,83.6042
2022-01,33.1286,72.9303
2022-02,37.5278,66.8181
2022-03,40.6957,72.1992
2022-04,40.7667,56.2223
2022-05,67.6156,55.8933
2022-06,35.5301,42.4002
2022-07,46.5796,54.8512
2022-08,48.3615,47.8158
2022-09,33.437,33.7039
2022-10,71.8334,44.0824
2022-11,79.3176,51.4429
2022-12,71.2141,42.1877
2023-01,64.1458,50.5828
2023-02,73.9916,46.2373
2023-03,70.8044,52.2586
2023-04,66.0132,54.0684
2023-05,58.2084,54.1996
2023-06,63.9306,63.548
2023-07,90.8769,68.1942
2023-08,96.1096,64.7317
2023-09,105.2248,56.2636
2023-10,93.7822,52.2886
2023-11,119.5733,65.5989
2023-12,125.5022,72.448
2024-01,143.0016,74.4576
2024-02,145.5474,82.7177
2024-03,179.6187,89.0282
2024-04,143.6015,80.6052
2024-05,146.1722,88.8335
2024-06,143.1161,96.0415
2024-07,149.1012,97.3583
2024-08,140.8605,101.128
2024-09,124.4045,105.7758
2024-10,106.8754,102.865
2024-11,128.3678,113.7798
2024-12,93.2036,107.7813
2025-01,98.9959,112.3595
2025-02,119.8738,108.6721
2025-03,108.3244,96.0839
2025-04,74.7704,93.6359
2025-05,91.8673,104.9003
2025-06,100.8513,114.5225
2025-07,107.1156,118.4064
2025-08,124.8927,121.8959
2025-09,127.9087,128.6764
2025-10,127.0331,133.0211
2025-11,129.3163,132.409
2025-12,114.9939,131.4906
2026-01,138.1155,133.7386
2026-02,154.7538,130.7823
2026-03,178.3967,126.4154
