Date,rate_DOV_5D,rate_VOO_20D
2016-01,7.57,1.4254
2016-02,9.1781,0.6142
2016-03,11.3918,6.1243
2016-04,10.142,4.6014
2016-05,10.4163,5.2878
2016-06,12.6982,4.687
2016-07,14.0311,7.7174
2016-08,14.4289,6.8637
2016-09,14.9046,5.9421
2016-10,3.0096,3.4868
2016-11,12.1019,6.843
2016-12,14.2906,8.2789
2017-01,15.582,9.3935
2017-02,19.6986,12.821
2017-03,18.6052,12.0413
2017-04,15.2869,12.4367
2017-05,22.219,13.2406
2017-06,17.7285,14.1802
2017-07,22.2854,15.6892
2017-08,22.9686,15.2834
2017-09,31.1817,16.8657
2017-10,35.4459,18.7799
2017-11,37.7201,21.509
2017-12,40.7513,22.1709
2018-01,46.2436,27.9258
2018-02,34.1917,22.2578
2018-03,28.3798,18.4465
2018-04,23.6156,18.162
2018-05,27.3466,20.337
2018-06,20.0803,20.5057
2018-07,35.4112,24.0401
2018-08,39.8185,27.2093
2018-09,42.8948,27.1082
2018-10,32.7338,17.9327
2018-11,34.7985,19.5577
2018-12,14.2513,8.5722
2019-01,40.9522,16.8959
2019-02,44.943,20.2219
2019-03,48.9099,21.9603
2019-04,54.3016,26.2654
2019-05,47.0245,20.4953
2019-06,56.7627,25.3574
2019-07,50.1874,26.514
2019-08,48.6817,24.0717
2019-09,56.7631,25.9454
2019-10,62.3422,27.4086
2019-11,74.2301,31.384
2019-12,78.5046,34.5804
2020-01,74.6962,33.8021
2020-02,56.9769,22.3336
2020-03,55.5874,15.1867
2020-04,72.6066,29.6272
2020-05,78.9563,28.2305
2020-06,75.6448,28.0341
2020-07,85.7068,33.4885
2020-08,97.2316,42.106
2020-09,87.2164,38.2475
2020-10,86.3654,34.0563
2020-11,101.043,42.9575
2020-12,104.014,47.5016
2021-01,96.496,45.1166
2021-02,101.3098,43.0879
2021-03,115.4632,49.8512
2021-04,130.4326,56.911
2021-05,125.9827,54.6413
2021-06,124.0352,57.2758
2021-07,146.5506,60.2291
2021-08,155.7087,64.0213
2021-09,126.2716,55.5224
2021-10,143.976,65.5435
2021-11,141.8987,65.5034
2021-12,157.0169,68.4598
2022-01,146.662,58.7763
2022-02,136.7838,53.2596
2022-03,135.034,58.2953
2022-04,112.5514,52.2757
2022-05,115.5647,51.0659
2022-06,93.9571,38.0304
2022-07,112.3933,50.1558
2022-08,98.0347,43.3725
2022-09,83.5575,29.6913
2022-10,104.5813,39.7003
2022-11,117.5517,46.8631
2022-12,113.3785,40.5677
2023-01,131.6083,48.7988
2023-02,131.0786,45.5387
2023-03,131.5491,49.6635
2023-04,113.4127,48.4614
2023-05,100.9536,48.1923
2023-06,120.7356,57.2072
2023-07,116.9114,61.7125
2023-08,119.8651,59.5229
2023-09,105.6726,51.3631
2023-10,95.2458,47.5518
2023-11,107.3017,60.474
2023-12,124.6544,67.125
2024-01,117.5535,69.1001
2024-02,139.5716,77.1309
2024-03,155.1459,83.2841
2024-04,152.5045,75.177
2024-05,158.0512,83.1784
2024-06,153.201,90.182
2024-07,147.9685,90.9416
2024-08,148.1179,97.1965
2024-09,148.4782,98.31
2024-10,135.4944,95.5089
2024-11,143.5568,105.9957
2024-12,121.4471,100.2436
2025-01,139.2073,104.6582
2025-02,131.3333,101.1287
2025-03,117.1088,89.045
2025-04,109.9041,88.6819
2025-05,118.8781,99.6712
2025-06,121.7775,109.046
2025-07,120.4711,112.823
2025-08,117.6724,112.1707
2025-09,102.7787,118.6779
2025-10,119.6147,122.8639
2025-11,125.0941,122.3204
2025-12,136.074,121.4705
2026-01,142.4414,123.6468
2026-02,170.5685,120.852
