Date,rate_IYT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.8313,-1.8027
2016-03,9.1186,4.5695
2016-04,6.0179,3.6217
2016-05,3.9634,4.6859
2016-06,-0.5834,4.2011
2016-07,4.2585,7.3141
2016-08,4.4086,6.5393
2016-09,6.493,5.8417
2016-10,5.5597,3.4057
2016-11,17.434,7.0013
2016-12,16.6058,8.6582
2017-01,17.1353,9.9058
2017-02,19.036,13.4199
2017-03,14.488,12.5861
2017-04,13.4989,12.9516
2017-05,13.8005,13.7442
2017-06,17.8424,14.6714
2017-07,12.2748,16.2352
2017-08,13.5497,15.7466
2017-09,20.1487,17.3266
2017-10,17.3648,19.2474
2017-11,23.122,22.0133
2017-12,26.2555,22.6523
2018-01,29.137,28.4864
2018-02,21.3668,22.6807
2018-03,20.8063,18.8927
2018-04,20.4923,18.6249
2018-05,23.8745,20.8091
2018-06,18.3925,20.9812
2018-07,26.0457,24.5763
2018-08,28.0693,27.7899
2018-09,28.0192,27.6747
2018-10,13.9425,18.1983
2018-11,20.9574,19.8597
2018-12,2.0696,8.8011
2019-01,11.7893,17.1215
2019-02,16.3567,20.4441
2019-03,15.3599,22.1999
2019-04,19.677,26.5012
2019-05,7.372,17.9266
2019-06,15.2226,25.7011
2019-07,17.5553,26.9004
2019-08,11.0592,24.2426
2019-09,13.4912,26.142
2019-10,14.8256,28.3311
2019-11,18.4939,32.3256
2019-12,18.5837,35.5485
2020-01,14.5706,34.7719
2020-02,1.7515,23.2511
2020-03,-16.1376,7.5779
2020-04,-8.5911,21.2186
2020-05,-2.6053,26.5774
2020-06,-0.2769,28.3766
2020-07,8.6303,35.3325
2020-08,21.3077,44.0777
2020-09,21.3879,37.914
2020-10,19.6122,33.7633
2020-11,33.3435,47.7098
2020-12,33.2144,52.3667
2021-01,28.2118,49.9654
2021-02,40.8534,53.2453
2021-03,54.0333,60.4049
2021-04,60.5656,67.83
2021-05,62.7334,67.8968
2021-06,52.7632,70.6358
2021-07,46.4904,73.7106
2021-08,47.2307,77.7187
2021-09,41.8086,68.3779
2021-10,57.1558,79.119
2021-11,50.1339,76.6949
2021-12,59.2304,83.6042
2022-01,47.8999,72.9303
2022-02,47.8283,66.8181
2022-03,53.7236,72.1992
2022-04,37.7223,56.2223
2022-05,31.6089,55.8933
2022-06,20.3575,42.4002
2022-07,31.3517,54.8512
2022-08,28.5326,47.8158
2022-09,10.6183,33.7039
2022-10,19.4288,44.0824
2022-11,30.9262,51.4429
2022-12,19.9654,42.1877
2023-01,30.1684,50.5828
2023-02,29.1581,46.2373
2023-03,27.4704,52.2586
2023-04,24.1256,54.0684
2023-05,24.2874,54.1996
2023-06,39.1552,63.548
2023-07,48.3204,68.1942
2023-08,38.232,64.7317
2023-09,29.5234,56.2636
2023-10,20.4133,52.2886
2023-11,34.9142,65.5989
2023-12,44.8132,72.448
2024-01,42.0374,74.4576
2024-02,54.1802,82.7177
2024-03,54.2609,89.0282
2024-04,40.4429,80.6052
2024-05,39.76,88.8335
2024-06,42.4684,96.0415
2024-07,43.2609,97.3583
2024-08,45.658,101.128
2024-09,49.2031,105.7758
2024-10,49.5529,102.865
2024-11,60.7824,113.7798
2024-12,45.2514,107.7813
2025-01,50.3819,112.3595
2025-02,49.2832,108.6721
2025-03,36.8816,96.0839
2025-04,29.7363,93.6359
2025-05,39.1716,104.9003
2025-06,45.872,114.5225
2025-07,44.3081,118.4064
2025-08,50.9646,121.8959
2025-09,51.8026,128.6764
2025-10,52.7222,133.0211
2025-11,53.6043,132.409
2025-12,56.6794,131.4906
2026-01,60.5264,133.7386
2026-02,70.9115,130.7823
2026-03,55.947,117.6098
2026-04,69.372,139.3863
2026-05,74.0742,150.8374
2026-06,79.8972,146.5232
2026-07,75.4178,145.3136
2026-08,79.1294,151.9166
