Date,rate_NDSN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,19.8861,-0.6039
2016-03,19.2143,5.2168
2016-04,15.2013,3.9893
2016-05,26.9237,4.6886
2016-06,17.6214,4.1237
2016-07,21.2577,7.1795
2016-08,32.863,6.3603
2016-09,30.2754,5.6281
2016-10,27.8953,3.196
2016-11,33.7806,6.7601
2016-12,37.7353,8.3626
2017-01,39.5483,10.2536
2017-02,44.5882,13.6522
2017-03,44.3808,12.7005
2017-04,44.1357,12.9818
2017-05,31.134,13.693
2017-06,35.2375,13.5288
2017-07,39.5175,15.0481
2017-08,18.6445,14.5515
2017-09,27.5262,16.1037
2017-10,34.8615,17.9557
2017-11,35.0187,20.6805
2017-12,52.5244,21.3029
2018-01,49.7396,28.0338
2018-02,38.0477,22.1441
2018-03,38.8162,18.3021
2018-04,29.615,18.0902
2018-05,25.8703,20.2208
2018-06,27.6511,20.3415
2018-07,32.301,23.8746
2018-08,36.3813,27.0072
2018-09,36.2641,27.7347
2018-10,19.3531,18.1437
2018-11,16.4461,19.7418
2018-12,15.2146,8.5778
2019-01,25.0992,17.1263
2019-02,30.5203,20.3748
2019-03,26.5476,22.0514
2019-04,38.4536,26.2651
2019-05,18.64,17.5943
2019-06,32.8731,25.308
2019-07,32.3386,26.4355
2019-08,26.6385,23.7232
2019-09,36.1917,26.1617
2019-10,45.1319,28.2707
2019-11,52.2684,32.1761
2019-12,48.6749,35.3247
2020-01,54.1489,35.2749
2020-02,31.8925,23.5454
2020-03,21.8945,7.7105
2020-04,44.8386,21.425
2020-05,68.774,26.7132
2020-06,68.5739,28.4357
2020-07,70.6558,35.3124
2020-08,63.3173,43.9511
2020-09,66.6474,37.6938
2020-10,66.7445,33.4637
2020-11,74.3142,47.2943
2020-12,70.8341,51.8455
2021-01,52.2088,50.305
2021-02,62.861,53.4604
2021-03,66.9757,59.4101
2021-04,76.3677,66.6882
2021-05,83.8965,66.6274
2021-06,80.6733,69.2184
2021-07,84.7352,72.1455
2021-08,93.8443,75.992
2021-09,91.9399,66.6118
2021-10,103.2869,77.1553
2021-11,101.6208,74.6519
2021-12,101.3156,81.397
2022-01,82.0324,70.7122
2022-02,76.4901,64.6001
2022-03,75.8405,69.8532
2022-04,65.9809,54.0273
2022-05,67.0809,53.6333
2022-06,54.3835,40.2902
2022-07,75.2702,52.5094
2022-08,71.8471,45.531
2022-09,59.6799,31.5965
2022-10,68.3567,41.7445
2022-11,75.9893,48.9584
2022-12,76.3672,39.838
2023-01,80.4906,48.5632
2023-02,62.4658,44.2258
2023-03,63.595,48.9578
2023-04,58.4534,50.6836
2023-05,59.3709,50.7741
2023-06,80.5973,59.884
2023-07,82.1055,64.3798
2023-08,76.2443,60.953
2023-09,60.2799,52.6248
2023-10,52.0285,48.7132
2023-11,67.6171,61.6976
2023-12,87.7122,68.3392
2024-01,78.9053,71.0275
2024-02,88.2975,79.0476
2024-03,93.5691,83.99
2024-04,81.0844,75.7344
2024-05,64.2819,83.6813
2024-06,61.6808,89.2836
2024-07,73.7935,90.5002
2024-08,77.8816,94.0822
2024-09,82.0731,98.2932
2024-10,71.0568,95.412
2024-11,79.3089,105.8418
2024-12,43.1217,99.9875
2025-01,51.1617,105.351
2025-02,43.8721,101.7087
2025-03,38.1313,89.4719
2025-04,29.4637,87.0451
2025-05,44.4207,97.8575
2025-06,46.1279,107.0685
2025-07,45.5272,110.7404
2025-08,52.4795,114.0337
2025-09,54.2943,121.6081
2025-10,57.1507,125.7153
2025-11,60.4738,125.0226
2025-12,62.3325,124.0393
2026-01,85.2553,127.2713
2026-02,16.6148,125.3185
