Date,rate_HRL_5D,rate_VOO_20D
2016-01,3.044,1.4254
2016-02,6.3661,0.6142
2016-03,4.611,6.1243
2016-04,1.3346,4.6014
2016-05,-9.8182,5.2878
2016-06,-2.4884,4.687
2016-07,0.3803,7.7174
2016-08,2.7179,6.8637
2016-09,1.772,5.9421
2016-10,3.5065,3.4868
2016-11,-8.0407,6.843
2016-12,-5.8741,8.2789
2017-01,-1.0438,9.3935
2017-02,-3.9609,12.821
2017-03,-5.3609,12.0413
2017-04,-1.8921,12.4367
2017-05,-5.8158,13.2406
2017-06,-4.2288,14.1802
2017-07,-3.1671,15.6892
2017-08,-12.7422,15.2834
2017-09,-8.2741,16.8657
2017-10,-9.2474,18.7799
2017-11,6.6116,21.509
2017-12,6.0843,22.1709
2018-01,0.5253,27.9258
2018-02,-4.9398,22.2578
2018-03,0.6359,18.4465
2018-04,7.9709,18.162
2018-05,6.6087,20.337
2018-06,10.267,20.5057
2018-07,7.8824,24.0401
2018-08,17.0502,27.2093
2018-09,17.2743,27.1082
2018-10,30.989,17.9327
2018-11,34.4386,19.5577
2018-12,26.4935,8.5722
2019-01,26.5773,16.8959
2019-02,28.9789,20.2219
2019-03,32.3718,21.9603
2019-04,19.2935,26.2654
2019-05,17.4963,20.4953
2019-06,20.0345,25.3574
2019-07,20.1095,26.514
2019-08,24.3602,24.0717
2019-09,27.0691,25.9454
2019-10,20.1095,27.4086
2019-11,30.3125,31.384
2019-12,31.368,34.5804
2020-01,39.0631,33.8021
2020-02,29.6451,22.3336
2020-03,28.0757,15.1867
2020-04,31.2182,29.6272
2020-05,34.2486,28.2305
2020-06,32.09,28.0341
2020-07,40.4741,33.4885
2020-08,40.6142,42.106
2020-09,38.228,38.2475
2020-10,38.8938,34.0563
2020-11,39.6636,42.9575
2020-12,37.1161,47.5016
2021-01,39.5205,45.1166
2021-02,38.7528,43.0879
2021-03,39.3559,49.8512
2021-04,36.2289,56.911
2021-05,42.5181,54.6413
2021-06,39.5316,57.2758
2021-07,37.0422,60.2291
2021-08,34.0357,64.0213
2021-09,20.2478,55.5224
2021-10,25.9654,65.5435
2021-11,22.8467,65.5034
2021-12,41.9584,68.4598
2022-01,43.8841,58.7763
2022-02,42.7832,53.2596
2022-03,50.4691,58.2953
2022-04,54.3777,52.2757
2022-05,41.2512,51.0659
2022-06,37.029,38.0304
2022-07,44.5909,50.1558
2022-08,46.7766,43.3725
2022-09,32.2266,29.6913
2022-10,37.0869,39.7003
2022-11,38.1638,46.8631
2022-12,36.2032,40.5677
2023-01,37.1133,48.7988
2023-02,33.8799,45.5387
2023-03,20.1081,49.6635
2023-04,24.0831,48.4614
2023-05,17.1032,48.1923
2023-06,22.8689,57.2072
2023-07,27.1885,61.7125
2023-08,18.9095,59.5229
2023-09,16.9899,51.3631
2023-10,2.7259,47.5518
2023-11,-3.4934,60.474
2023-12,1.2951,67.125
2024-01,-0.7061,69.1001
2024-02,15.4677,77.1309
2024-03,13.9648,83.2841
2024-04,15.5304,75.177
2024-05,0.5222,83.1784
2024-06,-1.0623,90.182
2024-07,5.1644,90.9416
2024-08,3.2504,97.1965
2024-09,-2.0852,98.31
2024-10,-4.5861,95.5089
2024-11,1.319,105.9957
2024-12,-1.9901,100.2436
2025-01,-5.3758,104.6582
2025-02,-9.557,101.1287
2025-03,-2.1726,89.045
2025-04,-9.0148,88.6819
2025-05,-5.8191,99.6712
2025-06,-7.3357,109.046
2025-07,-13.9488,112.823
2025-08,-21.9835,112.1707
2025-09,-23.9454,118.6779
2025-10,-32.6464,122.8639
2025-11,-27.3166,122.3204
2025-12,-25.5538,121.4705
2026-01,-21.5895,123.6468
2026-02,-18.2733,120.852
