Date,rate_MDLZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.5514,-0.6039
2016-03,-5.0663,5.2168
2016-04,2.1164,3.9893
2016-05,4.5819,4.6886
2016-06,6.3682,4.1237
2016-07,1.9749,7.1795
2016-08,4.2143,6.3603
2016-09,1.8149,5.6281
2016-10,4.0121,3.196
2016-11,-4.7991,6.7601
2016-12,3.2403,8.3626
2017-01,3.1245,10.2536
2017-02,2.0793,13.6522
2017-03,0.373,12.7005
2017-04,4.8543,12.9818
2017-05,8.2712,13.693
2017-06,0.287,13.5288
2017-07,2.1637,15.0481
2017-08,-5.7092,14.5515
2017-09,-4.9643,16.1037
2017-10,-3.0105,17.9557
2017-11,0.656,20.6805
2017-12,0.7952,21.3029
2018-01,4.5378,28.0338
2018-02,2.9988,22.1441
2018-03,-1.6787,18.3021
2018-04,-6.7839,18.0902
2018-05,-7.0466,20.2208
2018-06,-2.2142,20.3415
2018-07,3.5351,23.8746
2018-08,1.87,27.0072
2018-09,3.0617,27.7347
2018-10,0.6099,18.1437
2018-11,7.7269,19.7418
2018-12,-3.7247,8.5778
2019-01,11.1518,17.1263
2019-02,13.0138,20.3748
2019-03,19.8285,22.0514
2019-04,21.4981,26.2651
2019-05,20.8632,17.5943
2019-06,28.0879,25.308
2019-07,26.3355,26.4355
2019-08,29.72,23.7232
2019-09,30.6237,26.1617
2019-10,23.1656,28.2707
2019-11,22.8315,32.1761
2019-12,28.8454,35.3247
2020-01,34.1942,35.2749
2020-02,22.7561,23.5454
2020-03,16.4998,7.7105
2020-04,19.3636,21.425
2020-05,20.5449,26.7132
2020-06,18.477,28.4357
2020-07,28.153,35.3124
2020-08,34.3131,43.9511
2020-09,32.1404,37.6938
2020-10,21.5787,33.4637
2020-11,30.9901,47.2943
2020-12,33.4036,51.8455
2021-01,26.53,50.305
2021-02,20.8619,53.4604
2021-03,33.3372,59.4101
2021-04,37.9118,66.6882
2021-05,43.3672,66.6274
2021-06,40.8898,69.2184
2021-07,42.0361,72.1455
2021-08,38.6772,75.992
2021-09,30.1707,66.6118
2021-10,35.3837,77.1553
2021-11,30.8252,74.6519
2021-12,47.4204,81.397
2022-01,48.295,70.7122
2022-02,44.1623,64.6001
2022-03,38.3816,69.8532
2022-04,41.5184,54.0273
2022-05,38.9236,53.6333
2022-06,35.9458,40.2902
2022-07,39.6442,52.5094
2022-08,34.3437,45.531
2022-09,19.494,31.5965
2022-10,33.6171,41.7445
2022-11,46.4363,48.9584
2022-12,44.5787,39.838
2023-01,41.9702,48.5632
2023-02,40.8184,44.2258
2023-03,50.9125,48.9578
2023-04,65.3355,50.6836
2023-05,57.4218,50.7741
2023-06,56.5304,59.884
2023-07,58.3654,64.3798
2023-08,51.5592,60.953
2023-09,47.9339,52.6248
2023-10,40.6205,48.7132
2023-11,50.4004,61.6976
2023-12,53.6096,68.3392
2024-01,59.5962,71.0275
2024-02,54.2416,79.0476
2024-03,48.0838,83.99
2024-04,51.6413,75.7344
2024-05,43.9326,83.6813
2024-06,37.8945,89.2836
2024-07,43.5987,90.5002
2024-08,50.3792,94.0822
2024-09,55.2575,98.2932
2024-10,43.7968,95.412
2024-11,35.952,105.8418
2024-12,25.6639,99.9875
2025-01,22.033,105.351
2025-02,34.9245,101.7087
2025-03,43.1115,89.4719
2025-04,43.2692,87.0451
2025-05,41.5024,97.8575
2025-06,41.9722,107.0685
2025-07,35.7469,110.7404
2025-08,28.6125,114.0337
2025-09,31.8138,121.6081
2025-10,20.9421,125.7153
2025-11,20.9864,125.0226
2025-12,14.0089,124.0393
2026-01,23.7443,127.2713
2026-02,19.6594,125.3185
