Date,rate_VICI_5D,rate_VOO_20D
2018-01,3.4304,5.7922
2018-02,-4.3272,0.1241
2018-03,-8.3081,-3.6871
2018-04,-6.8947,-3.9717
2018-05,0.6935,-1.7967
2018-06,7.5786,-1.6279
2018-07,4.6527,1.9065
2018-08,7.0669,5.0757
2018-09,11.3414,4.9745
2018-10,8.3246,-4.2009
2018-11,8.34,-2.5759
2018-12,-5.7157,-13.5614
2019-01,8.5988,-5.2378
2019-02,6.9541,-1.9117
2019-03,10.6638,-0.1733
2019-04,14.5453,4.1317
2019-05,10.5849,-1.6383
2019-06,10.6551,3.2238
2019-07,6.399,4.3804
2019-08,10.1899,1.9381
2019-09,13.603,3.8117
2019-10,17.3495,5.275
2019-11,22.2505,9.2503
2019-12,26.7961,12.4468
2020-01,31.871,11.6685
2020-02,22.1363,0.2
2020-03,-19.0438,-6.947
2020-04,-13.8931,7.4935
2020-05,-7.083,6.0969
2020-06,-2.0257,5.9004
2020-07,1.2077,11.3549
2020-08,4.6191,19.9723
2020-09,3.5111,16.1138
2020-10,-1.8861,11.9227
2020-11,4.5474,20.8238
2020-12,3.9726,25.368
2021-01,2.8649,22.9829
2021-02,10.6374,20.9543
2021-03,10.4394,27.7175
2021-04,23.2457,34.7773
2021-05,18.4777,32.5076
2021-06,18.3123,35.1422
2021-07,17.298,38.0955
2021-08,15.9647,41.8877
2021-09,10.0066,33.3887
2021-10,10.2754,43.4098
2021-11,2.0297,43.3698
2021-12,14.1886,46.3262
2022-01,8.3436,36.6426
2022-02,3.6939,31.126
2022-03,4.0764,36.1616
2022-04,8.8974,30.142
2022-05,11.4641,28.9322
2022-06,6.7031,15.8968
2022-07,22.2366,28.0222
2022-08,17.5747,21.2389
2022-09,7.4512,7.5577
2022-10,14.9627,17.5666
2022-11,22.5023,24.7295
2022-12,18.4419,18.4341
2023-01,22.9329,26.6651
2023-02,20.2161,23.4051
2023-03,16.4057,27.5299
2023-04,20.8529,26.3277
2023-05,12.9117,26.0586
2023-06,14.9372,35.0736
2023-07,14.887,39.5788
2023-08,12.3802,37.3893
2023-09,7.3722,29.2295
2023-10,2.8324,25.4182
2023-11,10.0981,38.3403
2023-12,18.7571,44.9913
2024-01,11.9025,46.9665
2024-02,10.9965,54.9973
2024-03,11.9169,61.1505
2024-04,7.1162,53.0433
2024-05,7.6087,61.0447
2024-06,10.4536,68.0484
2024-07,20.4469,68.8079
2024-08,28.7162,75.0628
2024-09,28.615,76.1764
2024-10,23.3456,73.3752
2024-11,26.3721,83.8621
2024-12,14.6086,78.11
2025-01,16.6294,82.5246
2025-02,27.0732,78.9951
2025-03,25.8145,66.9114
2025-04,21.2171,66.5483
2025-05,19.8036,77.5376
2025-06,26.2398,86.9123
2025-07,26.2482,90.6893
2025-08,27.737,90.0371
2025-09,24.741,96.5442
2025-10,14.4669,100.7303
2025-11,9.8478,100.1868
2025-12,8.8044,99.3369
2026-01,8.5578,101.5132
2026-02,16.6718,98.7183
