Date,rate_GRMN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,14.6847,-0.6039
2016-03,8.7734,5.2168
2016-04,13.7021,3.9893
2016-05,10.4041,4.6886
2016-06,9.715,4.1237
2016-07,38.5189,7.1795
2016-08,20.4593,6.3603
2016-09,17.0766,5.6281
2016-10,15.8811,3.196
2016-11,23.2237,6.7601
2016-12,14.0018,8.3626
2017-01,13.5368,10.2536
2017-02,20.1938,13.6522
2017-03,18.6398,12.7005
2017-04,16.8728,12.9818
2017-05,18.3921,13.693
2017-06,16.0846,13.5288
2017-07,13.167,15.0481
2017-08,15.399,14.5515
2017-09,21.1896,16.1037
2017-10,26.001,17.9557
2017-11,36.5835,20.6805
2017-12,30.683,21.3029
2018-01,38.009,28.0338
2018-02,28.4042,22.1441
2018-03,27.7035,18.3021
2018-04,26.1268,18.0902
2018-05,28.1445,20.2208
2018-06,30.0869,20.3415
2018-07,32.0974,23.8746
2018-08,42.8199,27.0072
2018-09,47.9277,27.7347
2018-10,38.2537,18.1437
2018-11,38.0177,19.7418
2018-12,30.9985,8.5778
2019-01,43.0204,17.1263
2019-02,72.0028,20.3748
2019-03,75.7929,22.0514
2019-04,72.3804,26.2651
2019-05,52.1898,17.5943
2019-06,58.4634,25.308
2019-07,54.5621,26.4355
2019-08,59.0456,23.7232
2019-09,66.2319,26.1617
2019-10,82.1969,28.2707
2019-11,87.7793,32.1761
2019-12,86.5805,35.3247
2020-01,85.4215,35.2749
2020-02,67.2374,23.5454
2020-03,41.5165,7.7105
2020-04,52.3846,21.425
2020-05,68.0894,26.7132
2020-06,81.3245,28.4357
2020-07,81.6677,35.3124
2020-08,89.1533,43.9511
2020-09,72.6715,37.6938
2020-10,87.7882,33.4637
2020-11,108.7865,47.2943
2020-12,112.9253,51.8455
2021-01,104.4275,50.305
2021-02,118.5941,53.4604
2021-03,131.1313,59.4101
2021-04,138.155,66.6882
2021-05,144.3431,66.6274
2021-06,147.099,69.2184
2021-07,165.8338,72.1455
2021-08,191.9119,75.992
2021-09,158.5141,66.6118
2021-10,136.4687,77.1553
2021-11,117.9431,74.6519
2021-12,121.4775,81.397
2022-01,100.73,70.7122
2022-02,76.8398,64.6001
2022-03,89.7614,69.8532
2022-04,74.4131,54.0273
2022-05,66.8125,53.6333
2022-06,55.4663,40.2902
2022-07,53.6863,52.5094
2022-08,38.6399,45.531
2022-09,26.4795,31.5965
2022-10,38.1816,41.7445
2022-11,45.4173,48.9584
2022-12,44.8479,39.838
2023-01,55.1095,48.5632
2023-02,53.1696,44.2258
2023-03,57.9751,48.9578
2023-04,52.9601,50.6836
2023-05,60.0204,50.7741
2023-06,62.1604,59.884
2023-07,63.8871,64.3798
2023-08,63.316,60.953
2023-09,62.4267,52.6248
2023-10,57.6224,48.7132
2023-11,86.9851,61.6976
2023-12,96.667,68.3392
2024-01,82.9069,71.0275
2024-02,109.1262,79.0476
2024-03,126.446,83.99
2024-04,118.4192,75.7344
2024-05,146.0942,83.6813
2024-06,144.2537,89.2836
2024-07,155.1395,90.5002
2024-08,171.3215,94.0822
2024-09,161.6867,98.2932
2024-10,193.0014,95.412
2024-11,211.9124,105.8418
2024-12,201.6024,99.9875
2025-01,215.5666,105.351
2025-02,232.3677,101.7087
2025-03,214.1273,89.4719
2025-04,168.5196,87.0451
2025-05,189.8453,97.8575
2025-06,197.43,107.0685
2025-07,209.7054,110.7404
2025-08,240.1199,114.0337
2025-09,247.5702,121.6081
2025-10,199.9253,125.7153
2025-11,172.139,125.0226
2025-12,182.2027,124.0393
2026-01,180.5277,127.2713
2026-02,123.6994,125.3185
